artifact_id,glass_type,SiO2,K2O,CaO,Al2O3,PbO,BaO,pb_ba_sum,log_ratio_pbba_to_k,threshold_prediction,threshold_correct,loo_threshold_prediction,loo_threshold_correct,centroid_loo_prediction,centroid_loo_correct
01,高钾,71.02755865177748,10.23460710992726,6.474746439913943,4.026226821022436,0.0,0.0,0.0,-4.638083269916758,高钾,True,高钾,True,高钾,True
02,铅钡,69.09706416661756,1.684117550062634,0.7446212262368684,7.825382394431765,17.903816463319703,0.061240563551070284,17.965057026870774,2.315055598076901,铅钡,True,铅钡,True,高钾,False
03,高钾,74.798873692679,8.829444891391793,3.9621882542236517,4.806918744971841,0.8346741753821398,1.4380530973451326,2.2727272727272725,-1.3253141892078155,高钾,True,高钾,True,高钾,True
04,高钾,68.58213616489692,10.066625026025399,7.412034145325837,6.704143243805954,0.0,0.0,0.0,-4.621695392130134,高钾,True,高钾,True,高钾,True
05,高钾,63.80685939280903,11.345974510413429,7.615791109729562,7.77121541809139,0.0,0.0,0.0,-4.740223190035739,高钾,True,高钾,True,高钾,True
06,高钾,64.45186084142394,7.610234627831714,2.735639158576051,10.720064724919093,0.2781148867313915,1.1883090614886727,1.466423948220064,-1.5937533373601067,高钾,True,高钾,True,高钾,True
07,高钾,69.92097842829237,1.5621473411239126,9.120555412108253,7.996300664745903,0.2274720799362799,0.1174494257101469,0.3449215056464268,-1.317967749586838,高钾,True,高钾,True,高钾,True
08,铅钡,31.68150285315449,0.21504191628138133,1.1462115881105688,2.579007490686465,17.11147850497639,27.86029895812448,44.97177746310087,4.963305855206452,铅钡,True,铅钡,True,铅钡,True
09,高钾,70.21651853902496,10.552401294674162,5.494752493524505,5.344343188306542,0.2226938956221702,0.1149823317099222,0.3376762273320924,-3.192061189376649,高钾,True,高钾,True,高钾,True
10,高钾,72.4970962120517,15.814892369828371,2.398508120868311,3.4722520875955167,0.22577308827266407,0.11657219455617888,0.34234528282884297,-3.582919816896297,高钾,True,高钾,True,高钾,True
11,铅钡,69.22541036772633,0.4911383903556008,1.1918467460069233,4.051434713379172,10.387601149242938,9.745844522229904,20.133445671472842,3.533042087463713,铅钡,True,铅钡,True,铅钡,True
12,高钾,65.42362087362987,15.939192879542663,5.8758490487696164,5.5127935924310405,0.2090977944769471,0.10796233052186063,0.31706012499880776,-3.6495601648693303,高钾,True,高钾,True,高钾,True
13,高钾,60.128388017118404,12.76747503566334,8.864886896270633,6.276747503566335,0.0,0.0,0.0,-4.857287905429172,高钾,True,高钾,True,高钾,True
14,高钾,63.101010101010104,12.404040404040403,8.313131313131313,9.323232323232324,1.6363636363636365,0.0,1.6363636363636365,-1.974258762148961,高钾,True,高钾,True,高钾,True
16,高钾,66.23310639162689,14.754598109948178,8.403617518544864,6.279849608779596,0.11177725840869832,0.0,0.11177725840869832,-4.250529678886643,高钾,True,高钾,True,高钾,True
18,高钾,81.706940874036,9.686375321336763,0.0,3.1362467866323915,0.0,0.0,0.0,-4.583576238010949,高钾,True,高钾,True,高钾,True
19,铅钡,65.74446512666414,0.17044956336585756,1.0762410330007117,5.733560641207034,18.8173666864872,3.8846957690315564,22.702062455518757,4.434520645583356,铅钡,True,铅钡,True,铅钡,True
