glass_type,component_a,component_b,correlation,abs_correlation,zero_rate_a,zero_rate_b,max_zero_rate,reliable_pair
铅钡,Na2O,P2O5,-0.703836821213197,0.703836821213197,0.25,0.1,0.25,True
铅钡,MgO,BaO,-0.5264327278653859,0.5264327278653859,0.2,0.0,0.2,True
铅钡,CuO,SnO2,-0.509172263228708,0.509172263228708,0.025,0.425,0.425,True
铅钡,CuO,BaO,0.48170225926045107,0.48170225926045107,0.025,0.0,0.025,True
铅钡,Al2O3,BaO,-0.4753659733206475,0.4753659733206475,0.0,0.0,0.0,True
铅钡,Al2O3,PbO,-0.4406895977301012,0.4406895977301012,0.0,0.0,0.0,True
铅钡,Al2O3,SO2,-0.4371779349976308,0.4371779349976308,0.0,0.45,0.45,True
铅钡,MgO,SO2,-0.4198568801417729,0.4198568801417729,0.2,0.45,0.45,True
铅钡,Fe2O3,CuO,-0.40872282852381864,0.40872282852381864,0.25,0.025,0.25,True
铅钡,CaO,CuO,-0.4086381881961137,0.4086381881961137,0.05,0.025,0.05,True
铅钡,MgO,Al2O3,0.40617457001922064,0.40617457001922064,0.2,0.0,0.2,True
铅钡,Fe2O3,SO2,-0.3914259351828659,0.3914259351828659,0.25,0.45,0.45,True
铅钡,MgO,CuO,-0.37017829427005644,0.37017829427005644,0.2,0.025,0.2,True
铅钡,Fe2O3,P2O5,0.3647919623243014,0.3647919623243014,0.25,0.1,0.25,True
铅钡,SiO2,SO2,-0.3568930425735056,0.3568930425735056,0.0,0.45,0.45,True
铅钡,CaO,BaO,-0.35674580768684344,0.35674580768684344,0.05,0.0,0.05,True
铅钡,Fe2O3,SrO,-0.35417674106237906,0.35417674106237906,0.25,0.125,0.25,True
铅钡,Fe2O3,BaO,-0.34206557981674673,0.34206557981674673,0.25,0.0,0.25,True
铅钡,K2O,Al2O3,0.34127718512945165,0.34127718512945165,0.15,0.0,0.15,True
铅钡,SiO2,PbO,0.3349684422049095,0.3349684422049095,0.0,0.0,0.0,True
高钾,CaO,SnO2,-0.8478385165362602,0.8478385165362602,0.0625,0.5625,0.5625,True
高钾,Fe2O3,CuO,0.7807793221154581,0.7807793221154581,0.0625,0.0625,0.0625,True
高钾,SrO,SnO2,0.7441854202059647,0.7441854202059647,0.3125,0.5625,0.5625,True
高钾,Fe2O3,SnO2,-0.7425923206829201,0.7425923206829201,0.0625,0.5625,0.5625,True
高钾,SiO2,SnO2,0.7314774904675331,0.7314774904675331,0.0,0.5625,0.5625,True
高钾,CuO,SnO2,-0.7017844169931524,0.7017844169931524,0.0625,0.5625,0.5625,True
高钾,CaO,SrO,-0.7007743349972928,0.7007743349972928,0.0625,0.3125,0.3125,True
高钾,SiO2,Fe2O3,-0.6654730796854247,0.6654730796854247,0.0,0.0625,0.0625,True
高钾,SiO2,CaO,-0.6618707474532417,0.6618707474532417,0.0,0.0625,0.0625,True
高钾,PbO,SO2,-0.6407440077270213,0.6407440077270213,0.3125,0.4375,0.4375,True
高钾,CaO,CuO,0.6218531071170199,0.6218531071170199,0.0625,0.0625,0.0625,True
高钾,Na2O,P2O5,-0.5940765092687593,0.5940765092687593,0.4375,0.0625,0.4375,True
高钾,PbO,BaO,0.5874796663508655,0.5874796663508655,0.3125,0.4375,0.4375,True
高钾,K2O,BaO,-0.5852167412671742,0.5852167412671742,0.0625,0.4375,0.4375,True
高钾,Na2O,MgO,-0.5636515689815549,0.5636515689815549,0.4375,0.0625,0.4375,True
高钾,BaO,SO2,-0.5346253135048962,0.5346253135048962,0.4375,0.4375,0.4375,True
高钾,CaO,Fe2O3,0.5336425253938183,0.5336425253938183,0.0625,0.0625,0.0625,True
高钾,CuO,SrO,-0.5087381471300875,0.5087381471300875,0.0625,0.3125,0.3125,True
高钾,Fe2O3,SrO,-0.4983088193983938,0.4983088193983938,0.0625,0.3125,0.3125,True
高钾,CaO,P2O5,-0.4610834713528756,0.4610834713528756,0.0625,0.0625,0.0625,True
