artifact_id,glass_type,source,pca1,pca2,pca1_explained,pca2_explained
1,高钾,known,-5.818270453311102,-0.17356726151864849,0.8074447835874282,0.09267785069094042
2,铅钡,known,-0.9933856724035487,0.37800533134702863,0.8074447835874282,0.09267785069094042
3,高钾,known,-2.843436419156939,-1.008007068732506,0.8074447835874282,0.09267785069094042
4,高钾,known,-5.916677749506623,-0.03166904096942442,0.8074447835874282,0.09267785069094042
5,高钾,known,-6.028062089719677,-0.06268274470022973,0.8074447835874282,0.09267785069094042
6,高钾,known,-3.4113185151878955,-1.230192899198943,0.8074447835874282,0.09267785069094042
7,高钾,known,-3.9487165716846846,1.1088320072106133,0.8074447835874282,0.09267785069094042
8,铅钡,known,2.655131323412973,-0.4233161138760821,0.8074447835874282,0.09267785069094042
9,高钾,known,-4.690945276985296,-0.33224914569685804,0.8074447835874282,0.09267785069094042
10,高钾,known,-4.563134372097629,-1.1559509412876952,0.8074447835874282,0.09267785069094042
11,铅钡,known,1.3134969061499966,-0.46429901653030997,0.8074447835874282,0.09267785069094042
12,高钾,known,-4.957736767888413,-0.5131548105079065,0.8074447835874282,0.09267785069094042
13,高钾,known,-6.124444391432016,-0.037420484159111846,0.8074447835874282,0.09267785069094042
14,高钾,known,-4.364707461987434,0.5696621154264236,0.8074447835874282,0.09267785069094042
16,高钾,known,-5.644867275825144,-0.008583357782523317,0.8074447835874282,0.09267785069094042
18,高钾,known,-4.424736142289312,-3.0874226807761134,0.8074447835874282,0.09267785069094042
19,铅钡,known,1.5914306171757313,0.42716032475599564,0.8074447835874282,0.09267785069094042
20,铅钡,known,2.4303621867727974,-2.8966226209499166,0.8074447835874282,0.09267785069094042
21,高钾,known,-0.3339406439302759,1.663122107076087,0.8074447835874282,0.09267785069094042
22,高钾,known,-5.142843697193567,0.22315739757143777,0.8074447835874282,0.09267785069094042
23,铅钡,known,3.129876295821768,0.04680192931158225,0.8074447835874282,0.09267785069094042
24,铅钡,known,3.869432110728895,-0.18442400214615642,0.8074447835874282,0.09267785069094042
25,铅钡,known,3.0668072072750356,0.5251756678812207,0.8074447835874282,0.09267785069094042
26,铅钡,known,2.236937721859502,-1.070445281007216,0.8074447835874282,0.09267785069094042
27,高钾,known,-3.9449880115729945,1.0458060659015458,0.8074447835874282,0.09267785069094042
28,铅钡,known,1.3716153619455547,0.3494879032678913,0.8074447835874282,0.09267785069094042
29,铅钡,known,0.3817205650918677,1.0948413503788637,0.8074447835874282,0.09267785069094042
30,铅钡,known,1.63829537104729,0.4861661045728135,0.8074447835874282,0.09267785069094042
31,铅钡,known,1.9901297027151368,1.2642579619945273,0.8074447835874282,0.09267785069094042
32,铅钡,known,2.0212783305949547,-0.3160923165259816,0.8074447835874282,0.09267785069094042
33,铅钡,known,1.7615044681079028,0.07429038134268554,0.8074447835874282,0.09267785069094042
34,铅钡,known,1.8570686406766548,-1.1142685414137565,0.8074447835874282,0.09267785069094042
35,铅钡,known,2.893367537291811,0.16875958866640353,0.8074447835874282,0.09267785069094042
36,铅钡,known,2.0969963182437725,-1.2772814282699796,0.8074447835874282,0.09267785069094042
37,铅钡,known,2.1103542754945748,-0.2530656375926259,0.8074447835874282,0.09267785069094042
38,铅钡,known,2.332920660030456,-0.5897117514158957,0.8074447835874282,0.09267785069094042
