glass_type,merge_step,cluster_a,cluster_b,merged_size,ward_cost
高钾,1,[6],[8],2,0.11261992462649278
高钾,2,[2],[3],2,0.17321630804769442
高钾,3,"[6, 8]","[2, 3]",4,0.5160835485127963
高钾,4,[0],[1],2,0.9222030556566543
高钾,5,[10],[11],2,1.2062588406153876
高钾,6,"[2, 3, 6, 8]","[0, 1]",6,1.6148050568273078
高钾,7,[7],"[0, 1, 2, 3, 6, 8]",7,1.9379082420861131
高钾,8,[5],[15],2,2.292910654205438
高钾,9,[4],[14],2,4.241065418139886
高钾,10,"[5, 15]","[4, 14]",4,5.227523058229577
高钾,11,[9],"[0, 1, 2, 3, 6, 7, 8]",8,8.207748268936843
高钾,12,[13],"[4, 5, 14, 15]",5,10.434936113771547
高钾,13,"[10, 11]","[0, 1, 2, 3, 6, 7, 8, 9]",10,14.853904331146959
高钾,14,"[4, 5, 13, 14, 15]","[0, 1, 2, 3, 6, 7, 8, 9, 10, 11]",15,17.57384848754583
铅钡,1,[1],[8],2,0.05813152905767107
铅钡,2,[26],[34],2,0.10371071645737893
铅钡,3,[17],[25],2,0.14039522418754108
铅钡,4,[3],[39],2,0.16089460015149346
铅钡,5,[12],[30],2,0.18056143999362081
铅钡,6,[19],"[17, 25]",3,0.23191208254859347
铅钡,7,[13],[16],2,0.29358146758539866
铅钡,8,[15],"[17, 19, 25]",4,0.43277813930956033
铅钡,9,[20],[28],2,0.47953206182829494
铅钡,10,[5],[23],2,0.5199611233459707
铅钡,11,[22],[33],2,0.6165425498252092
铅钡,12,[2],[18],2,0.6678284732936078
铅钡,13,[27],"[20, 28]",3,0.7417647168422372
铅钡,14,[9],[32],2,0.761519726517295
铅钡,15,"[26, 34]","[15, 17, 19, 25]",6,0.8395460957088678
铅钡,16,[37],[38],2,0.9546742143784678
铅钡,17,[10],"[3, 39]",3,1.0870623663200516
铅钡,18,"[12, 30]","[9, 32]",4,1.3118163921021724
铅钡,19,[14],"[13, 16]",3,1.457897725326291
铅钡,20,[24],[35],2,1.640039392997974
铅钡,21,[11],[21],2,1.787690165481652
铅钡,22,[7],"[37, 38]",3,1.818240158448557
铅钡,23,[31],"[9, 12, 30, 32]",5,2.0230885184994274
铅钡,24,[6],"[1, 8]",3,2.1043191044342464
铅钡,25,[36],"[13, 14, 16]",4,2.4472057400179024
铅钡,26,"[22, 33]","[20, 27, 28]",5,2.866929130164838
铅钡,27,"[2, 18]","[3, 10, 39]",5,3.5823589353881693
铅钡,28,"[5, 23]","[7, 37, 38]",5,4.426515173955495
铅钡,29,"[24, 35]","[20, 22, 27, 28, 33]",7,5.378575676224473
铅钡,30,"[15, 17, 19, 25, 26, 34]","[5, 7, 23, 37, 38]",11,5.778425307444641
铅钡,31,"[9, 12, 30, 31, 32]","[2, 3, 10, 18, 39]",10,8.283830583909321
铅钡,32,[29],"[5, 7, 15, 17, 19, 23, 25, 26, 34, 37, 38]",12,8.676303657704663
铅钡,33,"[11, 21]","[20, 22, 24, 27, 28, 33, 35]",9,10.524609202685678
铅钡,34,"[13, 14, 16, 36]","[5, 7, 15, 17, 19, 23, 25, 26, 29, 34, 37, 38]",16,17.64943030275061
铅钡,35,[4],"[1, 6, 8]",4,17.916682750913473
铅钡,36,[0],"[11, 20, 21, 22, 24, 27, 28, 33, 35]",10,21.47566119710192
铅钡,37,"[2, 3, 9, 10, 12, 18, 30, 31, 32, 39]","[0, 11, 20, 21, 22, 24, 27, 28, 33, 35]",20,24.3425825575545
