sample_id,artifact_id,glass_type,pattern,color,surface_weathering,point_weathering,component_sum,is_valid,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
01,01,高钾,C,蓝绿,无风化,无风化,97.61,True,69.33,0.0,9.99,6.32,0.87,3.93,1.74,3.87,0.0,0.0,1.17,0.0,0.0,0.39
02,02,铅钡,A,浅蓝,风化,风化,99.88999999999999,True,36.28,0.0,1.05,2.34,1.18,5.73,1.86,0.26,47.43,0.0,3.57,0.19,0.0,0.0
03部位1,03,高钾,A,蓝绿,无风化,无风化,100.0,True,87.05,0.0,5.19,2.01,0.0,4.06,0.0,0.78,0.25,0.0,0.66,0.0,0.0,0.0
03部位2,03,高钾,A,蓝绿,无风化,无风化,98.88,True,61.71,0.0,12.37,5.87,1.11,5.5,2.16,5.09,1.41,2.86,0.7,0.1,0.0,0.0
04,04,高钾,A,蓝绿,无风化,无风化,96.06000000000002,True,65.88,0.0,9.67,7.12,1.56,6.44,2.06,2.18,0.0,0.0,0.79,0.0,0.0,0.36
05,05,高钾,A,蓝绿,无风化,无风化,96.50999999999999,True,61.58,0.0,10.95,7.35,1.77,7.5,2.62,3.27,0.0,0.0,0.94,0.06,0.0,0.47
06部位1,06,高钾,A,蓝绿,无风化,无风化,98.92000000000003,True,67.65,0.0,7.37,0.0,1.98,11.15,2.39,2.51,0.2,1.38,4.18,0.11,0.0,0.0
06部位2,06,高钾,A,蓝绿,无风化,无风化,98.84000000000002,True,59.81,0.0,7.68,5.41,1.73,10.05,6.04,2.18,0.35,0.97,4.5,0.12,0.0,0.0
07,07,高钾,B,蓝绿,风化,风化,99.69999999999999,True,92.63,0.0,0.0,1.07,0.0,1.98,0.17,3.24,0.0,0.0,0.61,0.0,0.0,0.0
08,08,铅钡,C,紫,风化,风化,99.82000000000001,True,20.14,0.0,0.0,1.48,0.0,1.34,0.0,10.41,28.68,31.23,3.59,0.37,0.0,2.58
08严重风化点,08,铅钡,C,紫,风化,风化,98.24000000000001,True,4.61,0.0,0.0,3.19,0.0,1.11,0.0,3.14,32.45,30.62,7.56,0.53,0.0,15.03
09,09,高钾,B,蓝绿,风化,风化,99.76999999999998,True,95.02,0.0,0.59,0.62,0.0,1.32,0.32,1.55,0.0,0.0,0.35,0.0,0.0,0.0
10,10,高钾,B,蓝绿,风化,风化,99.81,True,96.77,0.0,0.92,0.21,0.0,0.81,0.26,0.84,0.0,0.0,0.0,0.0,0.0,0.0
11,11,铅钡,C,浅蓝,风化,风化,95.39,True,33.59,0.0,0.21,3.51,0.71,2.69,0.0,4.93,25.39,14.61,9.38,0.37,0.0,0.0
12,12,高钾,B,蓝绿,风化,风化,99.57000000000002,True,94.29,0.0,1.01,0.72,0.0,1.46,0.29,1.65,0.0,0.0,0.15,0.0,0.0,0.0
13,13,高钾,C,浅蓝,无风化,无风化,98.13999999999999,True,59.01,2.86,12.53,8.7,0.0,6.16,2.88,4.73,0.0,0.0,1.27,0.0,0.0,0.0
14,14,高钾,C,深绿,无风化,无风化,99.0,True,62.47,3.38,12.28,8.23,0.66,9.23,0.5,0.47,1.62,0.0,0.16,0.0,0.0,0.0
15,15,高钾,C,浅蓝,无风化,无风化,79.47000000000001,False,61.87,3.21,7.44,0.0,1.02,3.15,1.04,1.29,0.19,0.0,0.26,0.0,0.0,0.0
16,16,高钾,C,浅蓝,无风化,无风化,98.40999999999998,True,65.18,2.1,14.52,8.27,0.52,6.18,0.42,1.07,0.11,0.0,0.0,0.04,0.0,0.0
17,17,高钾,C,浅蓝,无风化,无风化,71.89,False,60.71,2.12,5.71,0.0,0.85,0.0,1.04,1.09,0.19,0.0,0.18,0.0,0.0,0.0
18,18,高钾,A,深蓝,无风化,无风化,97.24999999999999,True,79.46,0.0,9.42,0.0,1.53,3.05,0.0,0.0,0.0,0.0,1.36,0.07,2.36,0.0
19,19,铅钡,A,未知,风化,风化,98.75999999999999,True,29.64,0.0,0.0,2.93,0.59,3.57,1.33,3.51,42.82,5.35,8.83,0.19,0.0,0.0
20,20,铅钡,A,浅蓝,无风化,无风化,88.41,True,37.36,0.0,0.71,0.0,0.0,5.45,1.51,4.78,9.3,23.55,5.75,0.0,0.0,0.0
21,21,高钾,A,蓝绿,无风化,无风化,98.52,True,76.68,0.0,0.0,4.71,1.22,6.19,2.37,3.28,1.0,1.97,1.1,0.0,0.0,0.0
22,22,高钾,B,蓝绿,风化,风化,99.99999999999997,True,92.35,0.0,0.74,1.66,0.64,3.5,0.35,0.55,0.0,0.0,0.21,0.0,0.0,0.0
23未风化点,23,铅钡,A,蓝绿,风化,无风化,96.5,True,53.79,7.92,0.0,0.5,0.71,1.42,0.0,2.99,16.98,11.86,0.0,0.33,0.0,0.0
24,24,铅钡,C,紫,无风化,无风化,98.88000000000001,True,31.94,0.0,0.0,0.47,0.0,1.59,0.0,8.46,29.14,26.23,0.14,0.91,0.0,0.0
25未风化点,25,铅钡,C,浅蓝,风化,无风化,97.06,True,50.61,2.31,0.0,0.63,0.0,1.9,1.55,1.12,31.9,6.65,0.19,0.2,0.0,0.0
26,26,铅钡,C,紫,风化,风化,99.82,True,19.79,0.0,0.0,1.44,0.0,0.7,0.0,10.57,29.53,32.25,3.13,0.45,0.0,1.96
26严重风化点,26,铅钡,C,紫,风化,风化,99.89000000000001,True,3.72,0.0,0.4,3.01,0.0,1.18,0.0,3.6,29.92,35.45,6.04,0.62,0.0,15.95
27,27,高钾,B,蓝绿,风化,风化,98.81000000000002,True,92.72,0.0,0.0,0.94,0.54,2.51,0.2,1.54,0.0,0.0,0.36,0.0,0.0,0.0
28未风化点,28,铅钡,A,浅蓝,风化,无风化,98.69000000000003,True,68.08,0.0,0.26,1.34,1.0,4.7,0.41,0.33,17.14,4.04,1.04,0.12,0.23,0.0
29未风化点,29,铅钡,A,浅蓝,风化,无风化,99.88,True,63.3,0.92,0.3,2.98,1.49,14.34,0.81,0.74,12.31,2.03,0.41,0.25,0.0,0.0
30部位1,30,铅钡,A,深蓝,无风化,无风化,97.94999999999999,True,34.34,0.0,1.41,4.49,0.98,4.35,2.12,0.0,39.22,10.29,0.0,0.35,0.4,0.0
30部位2,30,铅钡,A,深蓝,无风化,无风化,98.7,True,36.93,0.0,0.0,4.24,0.51,3.86,2.74,0.0,37.74,10.35,1.41,0.48,0.44,0.0
31,31,铅钡,C,紫,无风化,无风化,98.42999999999999,True,65.91,0.0,0.0,1.6,0.89,3.11,4.59,0.44,16.55,3.42,1.62,0.3,0.0,0.0
32,32,铅钡,C,浅绿,无风化,无风化,98.65999999999998,True,69.71,0.0,0.21,0.46,0.0,2.36,1.0,0.11,19.76,4.88,0.17,0.0,0.0,0.0
33,33,铅钡,C,深绿,无风化,无风化,99.96,True,75.51,0.0,0.15,0.64,1.0,2.35,0.0,0.47,16.16,3.55,0.13,0.0,0.0,0.0
34,34,铅钡,C,深绿,风化,风化,97.52,True,35.78,0.0,0.25,0.78,0.0,1.62,0.47,1.51,46.55,10.0,0.34,0.22,0.0,0.0
35,35,铅钡,C,浅绿,无风化,无风化,96.21,True,65.91,0.0,0.0,0.38,0.0,1.44,0.17,0.16,22.05,5.68,0.42,0.0,0.0,0.0
36,36,铅钡,C,深绿,风化,风化,97.62999999999998,True,39.57,2.22,0.14,0.37,0.0,1.6,0.32,0.68,41.61,10.83,0.07,0.22,0.0,0.0
37,37,铅钡,C,深绿,无风化,无风化,99.97999999999999,True,60.12,0.0,0.23,0.89,0.0,2.72,0.0,3.01,17.24,10.34,1.46,0.31,0.0,3.66
38,38,铅钡,C,深绿,风化,风化,98.57000000000001,True,32.93,1.38,0.0,0.68,0.0,2.57,0.29,0.73,49.31,9.79,0.48,0.41,0.0,0.0
39,39,铅钡,C,深绿,风化,风化,98.75999999999999,True,26.25,0.0,0.0,1.11,0.0,0.5,0.0,0.88,61.03,7.22,1.16,0.61,0.0,0.0
40,40,铅钡,C,未知,风化,风化,98.57,True,16.71,0.0,0.0,1.87,0.0,0.45,0.19,0.0,70.21,6.69,1.77,0.68,0.0,0.0
41,41,铅钡,C,浅绿,风化,风化,93.71,True,18.46,0.0,0.44,4.96,2.73,3.33,1.79,0.19,44.12,9.76,7.46,0.47,0.0,0.0
42未风化点1,42,铅钡,A,浅蓝,风化,无风化,98.00999999999999,True,51.26,5.74,0.15,0.79,1.09,3.53,0.0,2.67,21.88,10.47,0.08,0.35,0.0,0.0
42未风化点2,42,铅钡,A,浅蓝,风化,无风化,97.89999999999999,True,51.33,5.68,0.35,0.0,1.16,5.66,0.0,2.72,20.12,10.88,0.0,0.0,0.0,0.0
43部位1,43,铅钡,C,浅蓝,风化,风化,94.68,True,12.41,0.0,0.0,5.24,0.89,2.25,0.76,5.35,59.85,7.29,0.0,0.64,0.0,0.0
43部位2,43,铅钡,C,浅蓝,风化,风化,96.67,True,21.7,0.0,0.0,6.4,0.95,3.41,1.39,1.51,44.75,3.26,12.83,0.47,0.0,0.0
44未风化点,44,铅钡,A,浅蓝,风化,无风化,99.12,True,60.74,3.06,0.2,2.14,0.0,12.69,0.77,0.43,13.61,5.22,0.0,0.26,0.0,0.0
45,45,铅钡,A,浅蓝,无风化,无风化,98.33999999999999,True,61.28,2.66,0.11,0.84,0.74,5.0,0.0,0.53,15.99,10.96,0.0,0.23,0.0,0.0
46,46,铅钡,A,浅蓝,无风化,无风化,98.63000000000001,True,55.21,0.0,0.25,0.0,1.67,4.79,0.0,0.77,25.25,10.06,0.2,0.43,0.0,0.0
47,47,铅钡,A,浅蓝,无风化,无风化,97.25999999999999,True,51.54,4.66,0.29,0.87,0.61,3.06,0.0,0.65,25.4,9.23,0.1,0.85,0.0,0.0
48,48,铅钡,A,未知,风化,风化,99.16999999999999,True,53.33,0.8,0.32,2.82,1.54,13.65,1.03,0.0,15.71,7.31,1.1,0.25,1.31,0.0
49,49,铅钡,A,黑,风化,风化,95.49999999999999,True,28.79,0.0,0.0,4.58,1.47,5.38,2.74,0.7,34.18,6.1,11.1,0.46,0.0,0.0
49未风化点,49,铅钡,A,黑,风化,无风化,98.24,True,54.61,0.0,0.3,2.08,1.2,6.5,1.27,0.45,23.02,4.19,4.32,0.3,0.0,0.0
50,50,铅钡,A,黑,风化,风化,90.17,True,17.98,0.0,0.0,3.19,0.47,1.87,0.33,1.13,44.0,14.2,6.34,0.66,0.0,0.0
50未风化点,50,铅钡,A,黑,风化,无风化,96.94000000000001,True,45.02,0.0,0.0,3.12,0.54,4.16,0.0,0.7,30.61,6.22,6.34,0.23,0.0,0.0
51部位1,51,铅钡,C,浅蓝,风化,风化,95.32999999999998,True,24.61,0.0,0.0,3.58,1.19,5.25,1.19,1.37,40.24,8.94,8.1,0.39,0.47,0.0
