factor,level,reference,term,coefficient,adjusted_odds_ratio,or_ci_low,or_ci_high,positive_coefficient_probability
glass_type,铅钡,高钾,glass_type=铅钡,4.8975114211291855,133.95600446188556,10.686369363135924,303.68342811239575,1.0
pattern,B,A,pattern=B,6.030943832837776,416.1075800998618,10.60649587247667,5632.569698797391,1.0
pattern,C,A,pattern=C,2.0044246421042455,7.42182246391885,0.9051603509940042,29.891569832814113,0.9672213817448311
color,未知,浅蓝,color=未知,1.1640281008044706,3.2028085629795062,0.24026078219690902,9.679013090687983,0.7332324760463943
color,浅绿,浅蓝,color=浅绿,-2.9525722768138287,0.05220524674366469,0.005186324392574986,0.9874742476132253,0.024710035300050427
color,深绿,浅蓝,color=深绿,-1.8462626685681223,0.15782591320339534,0.02213595642035391,2.4097614996543673,0.09480584972264246
color,深蓝,浅蓝,color=深蓝,-1.5236946479206899,0.21790531445206635,0.06905337669982876,24.081338169193614,0.2718103883005547
color,紫,浅蓝,color=紫,-2.441746653047838,0.08700874457277451,0.007140925864336917,1.4998900798786063,0.04387291981845688
color,绿,浅蓝,color=绿,-3.540358795858181,0.029002919087892192,0.009251280474747284,0.9309939768141337,0.02118003025718608
color,蓝绿,浅蓝,color=蓝绿,0.9941949348093526,2.7025477381332648,0.19182511998867197,21.261930231887398,0.751386787695411
color,黑,浅蓝,color=黑,1.1721159014905072,3.2288172751379722,0.18153353934423622,9.880867130781882,0.7322239031770046
