sample_id,artifact_id,glass_type,pattern,color,surface_weathering,point_weathering,component_sum,source,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
01,01,高钾,C,蓝绿,无风化,无风化,97.61,raw_unweathered,69.33,0.0,9.99,6.32,0.87,3.93,1.74,3.87,0.0,0.0,1.17,0.0,0.0,0.39
02,02,铅钡,A,浅蓝,风化,风化,99.88999999999999,question1_preweathering_prediction,69.09706416661756,0.1422649900249378,1.6841175500626342,0.7446212262368685,1.208428740750942,7.825382394431767,0.5253844641803153,0.1750420142612465,17.903816463319707,0.0612405635510703,0.2541445874565192,0.1949565706898899,0.0918818009849767,0.0916544674315533
03部位1,03,高钾,A,蓝绿,无风化,无风化,100.0,raw_unweathered,87.05,0.0,5.19,2.01,0.0,4.06,0.0,0.78,0.25,0.0,0.66,0.0,0.0,0.0
03部位2,03,高钾,A,蓝绿,无风化,无风化,98.88,raw_unweathered,61.71,0.0,12.37,5.87,1.11,5.5,2.16,5.09,1.41,2.86,0.7,0.1,0.0,0.0
04,04,高钾,A,蓝绿,无风化,无风化,96.06000000000002,raw_unweathered,65.88,0.0,9.67,7.12,1.56,6.44,2.06,2.18,0.0,0.0,0.79,0.0,0.0,0.36
05,05,高钾,A,蓝绿,无风化,无风化,96.50999999999999,raw_unweathered,61.58,0.0,10.95,7.35,1.77,7.5,2.62,3.27,0.0,0.0,0.94,0.06,0.0,0.47
06部位1,06,高钾,A,蓝绿,无风化,无风化,98.92000000000003,raw_unweathered,67.65,0.0,7.37,0.0,1.98,11.15,2.39,2.51,0.2,1.38,4.18,0.11,0.0,0.0
06部位2,06,高钾,A,蓝绿,无风化,无风化,98.84000000000002,raw_unweathered,59.81,0.0,7.68,5.41,1.73,10.05,6.04,2.18,0.35,0.97,4.5,0.12,0.0,0.0
07,07,高钾,B,蓝绿,风化,风化,99.69999999999999,question1_preweathering_prediction,69.92097842829237,0.1103607768293255,1.5621473411239126,9.120555412108253,1.0997467851045195,7.996300664745903,1.5439414547983716,5.535273485092048,0.2274720799362799,0.1174494257101469,2.4165559861278885,0.1265137124560139,0.1046946318561941,0.1180098158187633
08,08,铅钡,C,紫,风化,风化,99.82000000000001,question1_preweathering_prediction,48.33985853763757,0.17889409449628,0.1841503411534358,0.6063182480790331,0.1187159419138939,2.430510338528301,0.0337069239756047,6.425996489787048,13.632219143114948,24.12667865747033,0.321321017332452,0.3973156788214798,0.1155386970822092,3.088775890607431
08严重风化点,08,铅钡,C,紫,风化,风化,98.24000000000001,question1_preweathering_prediction,15.023147168671423,0.2389137537101942,0.245933491409327,1.6861049281421043,0.1585455986557429,2.7275046428446306,0.0450157270742289,2.645622806365456,20.59073786683783,31.593919258778637,0.8908132832642301,0.7112520686698064,0.1543023759192322,23.288187029657184
09,09,高钾,B,蓝绿,风化,风化,99.76999999999998,question1_preweathering_prediction,70.21651853902496,0.1080425840520557,10.552401294674162,5.494752493524505,1.0766459595458358,5.344343188306542,2.351237871034513,2.677051798511508,0.2226938956221702,0.1149823317099222,1.4994474159220226,0.1238562178019604,0.1024954597738582,0.1155309504959766
