artifact_id,glass_type,pattern,color,surface_weathering,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2,sample_count,closed_sum,subclass_id,cluster_number,ward_cluster,pca1,pca2,pca1_explained,pca2_explained,subclass_name
01,高钾,C,蓝绿,无风化,71.02755865177748,0.0,10.23460710992726,6.474746439913943,0.8913021206843561,4.026226821022436,1.7826042413687122,3.9647577092511015,0.0,0.0,1.1986476795410306,0.0,0.0,0.3995492265136769,1,100.0,K-1,1,1,-1.1686107337177274,0.9775621222053225,0.47024153648078926,0.21885469812086097,高钾钙铝型
03,高钾,A,蓝绿,无风化,74.798873692679,0.0,8.829444891391793,3.9621882542236517,0.5581255028157683,4.806918744971841,1.0860820595333869,2.9515285599356393,0.8346741753821398,1.4380530973451326,0.6838294448913916,0.05028157683024939,0.0,0.0,2,99.99999999999996,K-1,1,1,-0.2967827166994716,0.5950610389646085,0.47024153648078926,0.21885469812086097,高钾钙铝型
04,高钾,A,蓝绿,无风化,68.58213616489692,0.0,10.066625026025399,7.412034145325837,1.623985009369144,6.704143243805954,2.1444930251925878,2.2694149489902142,0.0,0.0,0.8224026650010409,0.0,0.0,0.37476577139287937,1,99.99999999999999,K-1,1,1,-0.46540498365845256,0.3943190398330504,0.47024153648078926,0.21885469812086097,高钾钙铝型
05,高钾,A,蓝绿,无风化,63.80685939280903,0.0,11.345974510413429,7.615791109729562,1.834006838669568,7.77121541809139,2.7147445860532593,3.388249922287846,0.0,0.0,0.9739923324007875,0.06216972334473112,0.0,0.48699616620039377,1,99.99999999999999,K-1,1,1,-0.8074438537199421,0.3794648334173276,0.47024153648078926,0.21885469812086097,高钾钙铝型
06,高钾,A,蓝绿,无风化,64.45186084142394,0.0,7.610234627831714,2.735639158576051,1.8760113268608407,10.720064724919093,4.262742718446601,2.371561488673138,0.2781148867313915,1.1883090614886727,4.389158576051779,0.11630258899676371,0.0,0.0,2,99.99999999999999,K-1,1,1,-0.1313760992781598,-0.5667220538715362,0.47024153648078926,0.21885469812086097,高钾钙铝型
07,高钾,B,蓝绿,风化,69.92097842829237,0.11036077682932552,1.5621473411239126,9.120555412108253,1.0997467851045195,7.996300664745903,1.5439414547983716,5.535273485092048,0.2274720799362799,0.1174494257101469,2.4165559861278885,0.1265137124560139,0.1046946318561941,0.1180098158187633,1,100.0,K-1,1,1,-1.1364376830579417,-1.1738297076860456,0.47024153648078926,0.21885469812086097,高钾钙铝型
09,高钾,B,蓝绿,风化,70.21651853902496,0.10804258405205572,10.552401294674162,5.494752493524505,1.0766459595458358,5.344343188306542,2.351237871034513,2.677051798511508,0.2226938956221702,0.1149823317099222,1.4994474159220226,0.12385621780196039,0.1024954597738582,0.1155309504959766,1,100.0,K-1,1,1,-0.7500026140271185,0.6355586481938512,0.47024153648078926,0.21885469812086097,高钾钙铝型
10,高钾,B,蓝绿,风化,72.4970962120517,0.10953649087794329,15.814892369828371,2.398508120868311,1.0915327633199372,3.4722520875955167,2.043212983674968,1.5461959982213518,0.22577308827266407,0.11657219455617888,0.33781784518297847,0.1255687800368086,0.10391266640883538,0.11712839910442589,1,100.0,K-1,1,1,-0.09378038639528312,1.147829552943144,0.47024153648078926,0.21885469812086097,高钾钙铝型
12,高钾,B,蓝绿,风化,65.42362087362987,0.10144627436579784,15.939192879542663,5.8758490487696164,1.0109136352596928,5.5127935924310405,2.049996050393879,2.665950113323923,0.2090977944769471,0.10796233052186063,0.7821676943778166,0.11629444041243862,0.09623781793720973,0.10847745455726404,1,100.0,K-1,1,1,-0.6690250077592393,0.9923800569646334,0.47024153648078926,0.21885469812086097,高钾钙铝型
13,高钾,C,浅蓝,无风化,60.128388017118404,2.9142041980843696,12.76747503566334,8.864886896270633,0.0,6.276747503566335,2.934583248420624,4.819645404524151,0.0,0.0,1.2940696963521503,0.0,0.0,0.0,1,100.00000000000001,K-1,1,1,-2.2843917673369196,1.1336626668354146,0.47024153648078926,0.21885469812086097,高钾钙铝型
