component,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
SiO2,1.0,0.1962606609778887,0.053103665856562905,-0.16835028838037103,-0.016331533894197302,0.20973573074561505,0.09914323462391265,-0.22071732132540794,0.3349684422049095,-0.10400184088170926,-0.24754649235148782,-0.29028327959017475,0.1812239250745595,-0.3568930425735056
Na2O,0.1962606609778887,1.0,-0.26770351877864007,-0.0849138680011777,-0.04914250957673136,0.004213910475411655,-0.297488769395292,0.007234735746949046,0.012139514291423152,0.07752151831161855,-0.703836821213197,0.057375842057492826,-0.1909363252585557,-0.2395574791867623
K2O,0.053103665856562905,-0.26770351877864007,1.0,-0.26492647380780004,0.16026627991355843,0.34127718512945165,0.08466027926106283,-0.3091071547438534,-0.23435935654313056,-0.3296800981992743,0.002681931322939306,-0.12579942042207698,0.33354318010874906,0.07123112774020772
CaO,-0.16835028838037103,-0.0849138680011777,-0.26492647380780004,1.0,0.1827941637043732,0.03743773519672413,0.211350603092863,-0.4086381881961137,0.01166565275214747,-0.35674580768684344,0.05512420145631875,0.007989875351491047,0.05060194703641605,-0.11606231506600895
MgO,-0.016331533894197302,-0.04914250957673136,0.16026627991355843,0.1827941637043732,1.0,0.40617457001922064,-0.06085440203536156,-0.37017829427005644,-0.23487644425482151,-0.5264327278653859,-0.029420806747747313,0.09485685899186641,0.10415224173849513,-0.4198568801417729
Al2O3,0.20973573074561505,0.004213910475411655,0.34127718512945165,0.03743773519672413,0.40617457001922064,1.0,0.28060076970318637,-0.31698565236741244,-0.4406895977301012,-0.4753659733206475,-0.04827125794423913,-0.3248834652046545,0.07705500872692296,-0.4371779349976308
Fe2O3,0.09914323462391265,-0.297488769395292,0.08466027926106283,0.211350603092863,-0.06085440203536156,0.28060076970318637,1.0,-0.40872282852381864,-0.014857694703905433,-0.34206557981674673,0.3647919623243014,-0.35417674106237906,0.04211913956391752,-0.3914259351828659
CuO,-0.22071732132540794,0.007234735746949046,-0.3091071547438534,-0.4086381881961137,-0.37017829427005644,-0.31698565236741244,-0.40872282852381864,1.0,-0.04056373070437686,0.48170225926045107,0.060828485437090435,0.026232123218589743,-0.509172263228708,0.30547858878056133
PbO,0.3349684422049095,0.012139514291423152,-0.23435935654313056,0.01166565275214747,-0.23487644425482151,-0.4406895977301012,-0.014857694703905433,-0.04056373070437686,1.0,0.19642076165604222,-0.05877996201357222,0.2226840726553871,-0.03928714303090403,-0.18353875226310307
BaO,-0.10400184088170926,0.07752151831161855,-0.3296800981992743,-0.35674580768684344,-0.5264327278653859,-0.4753659733206475,-0.34206557981674673,0.48170225926045107,0.19642076165604222,1.0,-0.09145733510163749,0.0345919236456262,-0.1799044499685907,0.2285505384702029
P2O5,-0.24754649235148782,-0.703836821213197,0.002681931322939306,0.05512420145631875,-0.029420806747747313,-0.04827125794423913,0.3647919623243014,0.060828485437090435,-0.05877996201357222,-0.09145733510163749,1.0,-0.26640922765555103,-0.11622714719401238,0.036641554084397496
SrO,-0.29028327959017475,0.057375842057492826,-0.12579942042207698,0.007989875351491047,0.09485685899186641,-0.3248834652046545,-0.35417674106237906,0.026232123218589743,0.2226840726553871,0.0345919236456262,-0.26640922765555103,1.0,-0.021121599588910432,0.1137294013863228
SnO2,0.1812239250745595,-0.1909363252585557,0.33354318010874906,0.05060194703641605,0.10415224173849513,0.07705500872692296,0.04211913956391752,-0.509172263228708,-0.03928714303090403,-0.1799044499685907,-0.11622714719401238,-0.021121599588910432,1.0,0.04582049980323431
SO2,-0.3568930425735056,-0.2395574791867623,0.07123112774020772,-0.11606231506600895,-0.4198568801417729,-0.4371779349976308,-0.3914259351828659,0.30547858878056133,-0.18353875226310307,0.2285505384702029,0.036641554084397496,0.1137294013863228,0.04582049980323431,1.0
