component,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
SiO2,1.0,0.06780852985640706,0.08121363203341074,-0.6618707474532417,0.029029853568091006,-0.21160066952917161,-0.6654730796854247,-0.4352965053882274,0.04875144866794804,0.0818974071783637,0.03347863817425509,0.3252887845910388,0.7314774904675331,0.1358667616128857
Na2O,0.06780852985640706,1.0,0.3077901671215904,0.27648357902181653,-0.5636515689815549,0.29261489894662074,-0.3282707024255677,-0.19311143791035862,0.16501698000019427,-0.4255195871414833,-0.5940765092687593,-0.23377844128684655,-0.05380615137774953,-0.38854426089361055
K2O,0.08121363203341074,0.3077901671215904,1.0,-0.16041046276303203,-0.21848020234166393,-0.22041776015216147,-0.288830530764504,-0.37040048394215874,-0.4002115578965811,-0.5852167412671742,-0.3182045149566317,0.2002615722801369,0.19043494880802989,0.21401267651987754
CaO,-0.6618707474532417,0.27648357902181653,-0.16041046276303203,1.0,-0.2796394010507852,0.23311109600912233,0.5336425253938183,0.6218531071170199,-0.011230335881377677,-0.25417957521518575,-0.4610834713528756,-0.7007743349972928,-0.8478385165362602,0.0796048486177766
MgO,0.029029853568091006,-0.5636515689815549,-0.21848020234166393,-0.2796394010507852,1.0,0.26773656165117216,-0.2115001675505381,-0.44180102021639706,-0.017443192966198225,0.045318849451420395,0.17264476808226437,0.4278544352153409,0.33293747236295307,0.29012543903138427
Al2O3,-0.21160066952917161,0.29261489894662074,-0.22041776015216147,0.23311109600912233,0.26773656165117216,1.0,-0.15508630244874547,-0.277828107780458,0.11634705782211302,-0.09899486237040779,-0.07204867036340605,-0.2516581789041346,-0.13289762442167455,-0.25574697312407985
Fe2O3,-0.6654730796854247,-0.3282707024255677,-0.288830530764504,0.5336425253938183,-0.2115001675505381,-0.15508630244874547,1.0,0.7807793221154581,-0.24240325956384703,0.16141250187693193,0.20447188500316452,-0.4983088193983938,-0.7425923206829201,0.1342721498511876
CuO,-0.4352965053882274,-0.19311143791035862,-0.37040048394215874,0.6218531071170199,-0.44180102021639706,-0.277828107780458,0.7807793221154581,1.0,-0.2070326287285221,0.13833921778178276,0.13015272194119915,-0.5087381471300875,-0.7017844169931524,0.1718320635940087
PbO,0.04875144866794804,0.16501698000019427,-0.4002115578965811,-0.011230335881377677,-0.017443192966198225,0.11634705782211302,-0.24240325956384703,-0.2070326287285221,1.0,0.5874796663508655,-0.3051948226361901,-0.10561650327870067,-0.10823779977459438,-0.6407440077270213
BaO,0.0818974071783637,-0.4255195871414833,-0.5852167412671742,-0.25417957521518575,0.045318849451420395,-0.09899486237040779,0.16141250187693193,0.13833921778178276,0.5874796663508655,1.0,0.2736527236389434,0.007640967007386709,-0.10348761098476347,-0.5346253135048962
P2O5,0.03347863817425509,-0.5940765092687593,-0.3182045149566317,-0.4610834713528756,0.17264476808226437,-0.07204867036340605,0.20447188500316452,0.13015272194119915,-0.3051948226361901,0.2736527236389434,1.0,0.1738634681514137,0.28735779658236016,0.0784993750455127
SrO,0.3252887845910388,-0.23377844128684655,0.2002615722801369,-0.7007743349972928,0.4278544352153409,-0.2516581789041346,-0.4983088193983938,-0.5087381471300875,-0.10561650327870067,0.007640967007386709,0.1738634681514137,1.0,0.7441854202059647,-0.02459648588013971
SnO2,0.7314774904675331,-0.05380615137774953,0.19043494880802989,-0.8478385165362602,0.33293747236295307,-0.13289762442167455,-0.7425923206829201,-0.7017844169931524,-0.10823779977459438,-0.10348761098476347,0.28735779658236016,0.7441854202059647,1.0,0.07179830392629108
SO2,0.1358667616128857,-0.38854426089361055,0.21401267651987754,0.0796048486177766,0.29012543903138427,-0.25574697312407985,0.1342721498511876,0.1718320635940087,-0.6407440077270213,-0.5346253135048962,0.0784993750455127,-0.02459648588013971,0.07179830392629108,1.0
