glass_type,component_a,component_b,correlation,abs_correlation,zero_rate_a,zero_rate_b,max_zero_rate,reliable_pair
高钾,SiO2,Na2O,0.06780852985640706,0.06780852985640706,0.0,0.4375,0.4375,True
高钾,SiO2,K2O,0.08121363203341074,0.08121363203341074,0.0,0.0625,0.0625,True
高钾,SiO2,CaO,-0.6618707474532417,0.6618707474532417,0.0,0.0625,0.0625,True
高钾,SiO2,MgO,0.029029853568091006,0.029029853568091006,0.0,0.0625,0.0625,True
高钾,SiO2,Al2O3,-0.21160066952917161,0.21160066952917161,0.0,0.0,0.0,True
高钾,SiO2,Fe2O3,-0.6654730796854247,0.6654730796854247,0.0,0.0625,0.0625,True
高钾,SiO2,CuO,-0.4352965053882274,0.4352965053882274,0.0,0.0625,0.0625,True
高钾,SiO2,PbO,0.04875144866794804,0.04875144866794804,0.0,0.3125,0.3125,True
高钾,SiO2,BaO,0.0818974071783637,0.0818974071783637,0.0,0.4375,0.4375,True
高钾,SiO2,P2O5,0.03347863817425509,0.03347863817425509,0.0,0.0625,0.0625,True
高钾,SiO2,SrO,0.3252887845910388,0.3252887845910388,0.0,0.3125,0.3125,True
高钾,SiO2,SnO2,0.7314774904675331,0.7314774904675331,0.0,0.5625,0.5625,True
高钾,SiO2,SO2,0.1358667616128857,0.1358667616128857,0.0,0.4375,0.4375,True
高钾,Na2O,K2O,0.3077901671215904,0.3077901671215904,0.4375,0.0625,0.4375,True
高钾,Na2O,CaO,0.27648357902181653,0.27648357902181653,0.4375,0.0625,0.4375,True
高钾,Na2O,MgO,-0.5636515689815549,0.5636515689815549,0.4375,0.0625,0.4375,True
高钾,Na2O,Al2O3,0.29261489894662074,0.29261489894662074,0.4375,0.0,0.4375,True
高钾,Na2O,Fe2O3,-0.3282707024255677,0.3282707024255677,0.4375,0.0625,0.4375,True
高钾,Na2O,CuO,-0.19311143791035862,0.19311143791035862,0.4375,0.0625,0.4375,True
高钾,Na2O,PbO,0.16501698000019427,0.16501698000019427,0.4375,0.3125,0.4375,True
高钾,Na2O,BaO,-0.4255195871414833,0.4255195871414833,0.4375,0.4375,0.4375,True
高钾,Na2O,P2O5,-0.5940765092687593,0.5940765092687593,0.4375,0.0625,0.4375,True
高钾,Na2O,SrO,-0.23377844128684655,0.23377844128684655,0.4375,0.3125,0.4375,True
高钾,Na2O,SnO2,-0.05380615137774953,0.05380615137774953,0.4375,0.5625,0.5625,True
高钾,Na2O,SO2,-0.38854426089361055,0.38854426089361055,0.4375,0.4375,0.4375,True
