factor,level,reference,adjusted_probability,probability_ci_low,probability_ci_high,average_marginal_effect_vs_reference,ame_ci_low,ame_ci_high
glass_type,铅钡,高钾,0.7360641455403925,0.5991368318610446,0.8068866166556532,0.5991524438402571,0.38673346234746864,0.6553688346201072
glass_type,高钾,高钾,0.13691170170013536,0.1098064675966919,0.2824118827931228,0.0,0.0,0.0
pattern,A,A,0.3400942449151848,0.22503167348283476,0.5296929417797452,0.0,0.0,0.0
pattern,B,A,0.949919640068301,0.7475773630559602,0.9791325341091158,0.6098253951531162,0.3321718650946923,0.724194757580077
pattern,C,A,0.5867472453870203,0.4626590479117135,0.7330168808660706,0.24665300047183547,-0.015759379498848012,0.43354315043220726
color,未知,浅蓝,0.7555590358661289,0.43244752534446196,0.8355883209888076,0.11226775726288862,-0.19205279077920923,0.2958420086874033
color,浅绿,浅蓝,0.19709331446412465,0.05607429922951357,0.6106155995382607,-0.44619796413911567,-0.6391884468647631,-0.0021607009364299277
color,浅蓝,浅蓝,0.6432912786032403,0.47256606403786405,0.7459387614682512,0.0,0.0,0.0
color,深绿,浅蓝,0.3671340964723537,0.13958587698334224,0.7156572271352023,-0.27615718213088664,-0.5095159675439801,0.12442182474660832
color,深蓝,浅蓝,0.42041517739830997,0.21497559952789969,0.8751097230423449,-0.22287610120493034,-0.42967108721230923,0.2900296242524198
color,紫,浅蓝,0.27104485340311607,0.04941384762852442,0.6628673493245183,-0.37224642520012424,-0.5996533098649697,0.05906628936990821
color,绿,浅蓝,0.12826220385471074,0.10810897110643804,0.5774506545827642,-0.5150290747485295,-0.5947935567440553,-0.01336877657063043
color,蓝绿,浅蓝,0.742210084678758,0.5034835061576036,0.8596223142061556,0.09891880607551773,-0.20553898859458022,0.308725320955759
color,黑,浅蓝,0.7561740242523951,0.3813057043911832,0.8331404185283742,0.11288274564915479,-0.24625364770994207,0.2906213817539226
