artifact_id,surface_weathering,candidate_correction,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2,log_ratio_pbba_to_k,threshold_type,centroid_type,centroid_margin,final_type,type_agreement,subclass_id,subclass_name,subclass_distance,subclass_margin
A1,无风化,raw_unweathered,78.86007237635705,0.0,0.0,6.111781262565338,1.8697225572979492,7.26779252110977,2.161238439887414,2.1210293526336947,0.0,0.0,1.0655408122235623,0.0301568154402895,0.0,0.5126658624849215,0.0,高钾,高钾,25.17030380545971,高钾,True,K-1,高钾钙铝型,20.100229987461546,43.05302337280171
A2,风化,高钾,12.45830024445561,0.04638730998107499,0.6566083986604523,26.293852680107566,0.4622502349745898,4.0720683278756065,0.2403540826933203,0.06965897118531901,34.157645915123304,0.049366840956017184,21.34672213517749,0.05317678042108766,0.044005691884340864,0.0496023865042233,3.814259253119669,铅钡,铅钡,6.036589161352872,铅钡,True,LB-3,富铅型,46.85809051957431,26.656142120501805
A2,风化,铅钡,77.9717165681354,0.1485768396054797,0.15294230800568634,2.5576023687399823,0.09859710299559854,3.5326037800235848,0.02799459787210397,0.05078002144010444,14.054204717519974,0.06395761449448387,1.0791358590160036,0.07020902750551825,0.09595830713666442,0.09572088750940402,4.029114032657262,铅钡,高钾,0.2550864980728562,铅钡,False,LB-3,富铅型,19.976869074179007,12.959724327337284
A3,无风化,raw_unweathered,32.279248332996566,0.0,1.3740149525156597,7.2640937563144075,0.8183471408365327,2.9601939785815317,7.132754091735703,0.21216407355021216,39.987876338654274,4.738330975954739,2.707617700545565,0.5253586583148111,0.0,0.0,3.4148030151933297,铅钡,铅钡,19.475888833746716,铅钡,True,LB-3,富铅型,5.321363482307715,10.0925789547088
A4,无风化,raw_unweathered,36.94791666666666,0.0,0.8229166666666666,3.0104166666666665,1.09375,7.364583333333333,6.71875,0.9999999999999999,25.29166666666666,8.656249999999998,8.80208333333333,0.29166666666666663,0.0,0.0,3.607985180047922,铅钡,铅钡,18.31200535500255,铅钡,True,LB-3,富铅型,9.923172742852566,4.495050747633355
A5,风化,高钾,25.984459761578705,0.7676119509761143,3.926261042735791,7.257723341416552,14.359042430568039,26.437881868708708,2.7837976085940164,0.9220996027299668,15.010265816084301,1.4203549865256804,0.5275670393183096,0.2096414713051853,0.33037502823360315,0.06291805122504406,1.4123763028998886,铅钡,铅钡,5.590503133046884,铅钡,True,LB-3,富铅型,2.8508046199491646,5.9060486115345565
A5,风化,铅钡,80.16623503416801,1.2119735696324063,0.4508165701779535,0.34799956641153573,1.5097741537043934,11.305923011681362,0.1598305819764524,0.3313547131560986,3.044431590437388,0.9070961290888367,0.013146861113021168,0.13644185349029153,0.35512433278903455,0.05985203217320649,1.9954474534308808,铅钡,高钾,0.5054222592411968,铅钡,False,LB-1,铅钡均衡型,12.692983831363629,0.17921417987572852
A6,风化,高钾,60.97348183938425,0.09482096609659045,19.62620464524591,4.995219759987322,2.947186904033015,5.3965403151586315,1.8298988397300326,2.6281251286487537,0.19544192238621005,0.10091146812557207,0.9121231746115757,0.10869942006749096,0.08995266636337496,0.10139295016127893,-3.9073970022672193,高钾,高钾,18.032635807867543,高钾,True,K-1,高钾钙铝型,2.2164747904045674,45.35153314298814
A6,风化,铅钡,96.56052380746331,0.07684871653686291,1.1567455678903942,0.12294580488201023,0.15906513838695227,1.1846105971740064,0.05392996353756537,0.4847771907464893,0.020347749563166834,0.033080933742510914,0.011667524786336377,0.03631436546521744,0.049632720443400655,0.04950991938178117,-2.103044920729032,高钾,高钾,16.36220354186777,高钾,True,K-2,高硅含锡特殊型,20.139806272862675,7.418957387539759
A7,风化,高钾,56.371795734856654,0.09041024132384634,13.866604256920462,7.816930390324534,0.9009394015972825,16.308512176386916,1.5968166670839996,1.7299851436534113,0.18635067849587195,0.09621743545918855,0.6426214407416557,0.10364312034168764,0.08576839710061335,0.20340491571386995,-3.5975176356413874,高钾,高钾,21.048722263461144,高钾,True,K-1,高钾钙铝型,7.105564935575574,36.471402316668495
A7,风化,铅钡,94.37779473247113,0.077463873508032,0.86401440040823,0.20339707263692108,0.05140581489679066,3.784633839399158,0.04975164446921075,0.33735554347626645,0.020510628795969373,0.03334573929713232,0.008690200406688624,0.03660505392530114,0.05003001938806421,0.10500143692107426,-1.835086740199968,高钾,高钾,19.378300223815437,高钾,True,K-2,高硅含锡特殊型,19.012814589543417,18.307192135659193
A8,无风化,raw_unweathered,51.13022604520905,0.0,0.2300460092018404,0.8901780356071216,0.0,2.120424084816964,0.0,9.011802360472094,21.244248849769953,11.342268453690739,1.4602920584116825,0.31006201240248055,0.0,2.2604520904180836,4.5954858904153495,铅钡,铅钡,22.354414710759205,铅钡,True,LB-2,富钡铜型,3.458089411779364,9.99373644941566
