artifact_id,pseudocount,threshold,threshold_type,centroid_type,agreement
A1,0.05,0.4998561217088001,高钾,高钾,True
A2,0.05,0.4998561217088001,铅钡,铅钡,True
A3,0.05,0.4998561217088001,铅钡,铅钡,True
A4,0.05,0.4998561217088001,铅钡,铅钡,True
A5,0.05,0.4998561217088001,铅钡,铅钡,True
A6,0.05,0.4998561217088001,高钾,高钾,True
A7,0.05,0.4998561217088001,高钾,高钾,True
A8,0.05,0.4998561217088001,铅钡,铅钡,True
A1,0.1,0.5014376968597961,高钾,高钾,True
A2,0.1,0.5014376968597961,铅钡,铅钡,True
A3,0.1,0.5014376968597961,铅钡,铅钡,True
A4,0.1,0.5014376968597961,铅钡,铅钡,True
A5,0.1,0.5014376968597961,铅钡,铅钡,True
A6,0.1,0.5014376968597961,高钾,高钾,True
A7,0.1,0.5014376968597961,高钾,高钾,True
A8,0.1,0.5014376968597961,铅钡,铅钡,True
A1,0.5,2.042372901105868,高钾,高钾,True
A2,0.5,2.042372901105868,铅钡,铅钡,True
A3,0.5,2.042372901105868,铅钡,铅钡,True
A4,0.5,2.042372901105868,铅钡,铅钡,True
A5,0.5,2.042372901105868,铅钡,铅钡,True
A6,0.5,2.042372901105868,高钾,高钾,True
A7,0.5,2.042372901105868,高钾,高钾,True
A8,0.5,2.042372901105868,铅钡,铅钡,True
