scenario,year,month,pred_mean_flow_m3s,pred_mean_sediment_flux_kg_s,pred_water_volume_1e8_m3,pred_sediment_mass_1e4_t
low,2022,1,788.4554480684467,2820.478543489965,21.117990721065276,755.4369730883523
low,2022,2,427.24024195583195,751.1908155677517,10.335795933395486,181.72808210215047
low,2022,3,327.6519782735608,497.48521259565507,8.775830586079053,133.24643934162026
low,2022,4,270.06123400588325,448.7982220505155,6.999987185432494,116.32849915549362
low,2022,5,235.7551064319383,356.6374848669738,6.314464770673036,95.52178394677028
low,2022,6,230.271369035222,167.74809885765927,5.968633885392953,43.480307223905285
low,2022,7,225.805433687482,128.3862812066239,6.047972735885518,34.386981558382146
low,2022,8,224.67978298371452,128.98889868751678,6.01782330743581,34.54838662446449
low,2022,9,224.5526908385609,126.36825257245451,5.8204057465354975,32.754651066780205
low,2022,10,225.66951177706935,128.65583772649182,6.044332203437025,34.45917957666357
low,2022,11,221.66714365003497,129.1593974020586,5.745612363408907,33.47811580661359
low,2022,12,194.00826297287318,117.95681035159224,5.196317315465435,31.593552084570465
low,2023,1,186.84686040610057,97.20095336644802,5.004506309116998,26.03430334966944
low,2023,2,195.17580808224517,102.14981341751255,4.7216931491256755,24.712082861964635
low,2023,3,205.0943804698449,121.45266953889748,5.493247886504326,32.529883009298295
low,2023,4,221.3187111577061,128.1606022498028,5.736580993207742,33.219228103148886
low,2023,5,224.7354570961719,127.17969592719326,6.0193144828638685,34.063809757139445
low,2023,6,222.39789656289216,126.3067113216569,5.764553478910165,32.738699574573474
low,2023,7,221.66832319249173,127.51854549629829,5.937164368387699,34.154567225728535
low,2023,8,223.91272401579903,128.98889868751678,5.9972784000391615,34.54838662446449
low,2023,9,224.5526908385609,126.36825257245451,5.8204057465354975,32.754651066780205
low,2023,10,225.66951177706935,128.65583772649182,6.044332203437025,34.45917957666357
low,2023,11,221.66714365003497,129.1593974020586,5.745612363408907,33.47811580661359
low,2023,12,194.00826297287318,117.95681035159224,5.196317315465435,31.593552084570465
normal,2022,1,1095.1373084447728,4342.194447477311,29.3321576693848,1163.0133608123228
normal,2022,2,1051.3544118975412,4317.79151683673,25.434365932625315,1044.5601237531416
normal,2022,3,1042.9395833701553,4406.116625275493,27.93409380098624,1180.1342769137882
normal,2022,4,1084.628618803031,4451.932500487825,28.113573799374564,1153.9409041264444
normal,2022,5,1153.0637171842557,4419.918449430412,30.883658601063104,1183.8309574954417
normal,2022,6,1177.4306199225111,4441.3223303680425,30.51900166839149,1151.1907480313967
normal,2022,7,1293.279406823622,4671.341934769319,34.63919563236389,1251.1722238086143
normal,2022,8,1269.4686533058293,4416.173090794102,34.00144841014334,1182.8278006382923
normal,2022,9,1298.2744518420157,4807.600403665897,33.65127379174505,1246.1300246302005
normal,2022,10,1171.9704746324858,4481.6364331234745,31.390057192556498,1200.3615022477916
normal,2022,11,749.0767748949565,4154.999101745766,19.416070005277273,1076.9757671725026
normal,2022,12,586.526435277807,4212.694751535549,15.709524042480783,1128.3281622512814
normal,2023,1,581.5596131353603,4339.254229596308,15.576492678217491,1162.2258528550747
normal,2023,2,606.4147346233204,4317.79151683673,14.67038526000737,1044.5601237531416
normal,2023,3,701.1969614770576,4406.116625275493,18.78085941620151,1180.1342769137882
normal,2023,4,708.9971350866992,4451.932500487825,18.37720574144724,1153.9409041264444
normal,2023,5,680.8975370802241,4419.918449430412,18.23715963315672,1183.8309574954417
normal,2023,6,603.5014335673915,4441.3223303680425,15.642757158066788,1151.1907480313967
normal,2023,7,595.0452975429955,4671.341934769319,15.937693249391591,1251.1722238086143
normal,2023,8,591.3691450881098,4416.173090794102,15.839231182039933,1182.8278006382923
normal,2023,9,606.4337238900436,4807.600403665897,15.718762123229926,1246.1300246302005
normal,2023,10,599.7619914070303,4481.6364331234745,16.0640251778459,1200.3615022477916
normal,2023,11,586.6913959648207,4154.999101745766,15.207040983408152,1076.9757671725026
normal,2023,12,579.7514884463459,4212.694751535549,15.52806386654693,1128.3281622512814
high,2022,1,1175.5975139118589,6553.463879252833,31.487203812615224,1755.2797654190788
high,2022,2,1181.9818805243706,18523.369833312867,28.594505653645577,4481.173630075049
high,2022,3,1189.0688459479334,36839.412911360574,31.848019969869444,9867.068354178817
high,2022,4,1610.72500508437,36241.54086903908,41.74999213178687,9393.807393254929
high,2022,5,2796.6179441105514,35810.47093718991,74.90461501505702,9591.476535816946
high,2022,6,4010.3475783235176,37398.16003987469,103.94820923014558,9693.603082335518
high,2022,7,4004.1382583281797,41134.394386548396,107.24683911106197,11017.436192493124
high,2022,8,4011.0734085271897,43569.41100757825,107.43259017399225,11669.631044269758
high,2022,9,4264.831388607204,41365.5753935196,110.54442959269872,10721.95714200028
high,2022,10,4665.079391000611,34832.427272017914,124.94948640856036,9329.51732053728
high,2022,11,3792.722205825885,34905.335141107935,98.30735957500694,9047.462868575176
high,2022,12,3910.9301592543115,35834.71689895008,104.75035338546749,9597.970574214789
high,2023,1,3990.868605228018,36857.68580449693,106.89142472242725,9871.962565876456
high,2023,2,3985.3432088576346,36942.22741295145,96.41342290868391,8937.063655741214
high,2023,3,4013.938226367254,36743.88708518318,107.50932145502053,9841.482716895462
high,2023,4,4132.934159084941,36241.54086903908,107.12565340348166,9393.807393254929
high,2023,5,4016.2735581783604,35810.47093718991,107.5718709822492,9591.476535816946
high,2023,6,4081.6845136727998,37398.16003987469,105.79726259439897,9693.603082335518
high,2023,7,4002.1522687565284,41134.394386548396,107.19364636637485,11017.436192493124
high,2023,8,4011.126045168975,43569.41100757825,107.43399999380583,11669.631044269758
high,2023,9,4264.831388607204,41365.5753935196,110.54442959269872,10721.95714200028
high,2023,10,4665.079391000611,34832.427272017914,124.94948640856036,9329.51732053728
high,2023,11,3792.722205825885,34905.335141107935,98.30735957500694,9047.462868575176
high,2023,12,3910.9301592543115,35834.71689895008,104.75035338546749,9597.970574214789
