target,data_scope,template_weight,stl_weight,mean_rmse_log
mean_flow_m3s,all_available,0.0,1.0,0.5208076936817424
mean_flow_m3s,all_available,0.05,0.95,0.5191689700044307
mean_flow_m3s,all_available,0.1,0.9,0.5176363207628247
mean_flow_m3s,all_available,0.15000000000000002,0.85,0.5162063646084586
mean_flow_m3s,all_available,0.2,0.8,0.5148758728402643
mean_flow_m3s,all_available,0.25,0.75,0.513641756216058
mean_flow_m3s,all_available,0.30000000000000004,0.7,0.5125010533518309
mean_flow_m3s,all_available,0.35000000000000003,0.6499999999999999,0.5114509205060987
mean_flow_m3s,all_available,0.4,0.6,0.5104886225743442
mean_flow_m3s,all_available,0.45,0.55,0.509611525141893
mean_flow_m3s,all_available,0.5,0.5,0.508817087463228
mean_flow_m3s,all_available,0.55,0.44999999999999996,0.5081028562524722
mean_flow_m3s,all_available,0.6000000000000001,0.3999999999999999,0.5074664601840709
mean_flow_m3s,all_available,0.65,0.35,0.5069056050150168
mean_flow_m3s,all_available,0.7000000000000001,0.29999999999999993,0.5064180692506351
mean_flow_m3s,all_available,0.75,0.25,0.5060017002852412
mean_flow_m3s,all_available,0.8,0.19999999999999996,0.5056544109571256
mean_flow_m3s,all_available,0.8500000000000001,0.1499999999999999,0.5053741764645018
mean_flow_m3s,all_available,0.9,0.09999999999999998,0.5051590315953777
mean_flow_m3s,all_available,0.9500000000000001,0.04999999999999993,0.5050070682299496
mean_flow_m3s,all_available,1.0,0.0,0.5049164330791084
mean_flow_m3s,exclude_2016_2017,0.0,1.0,0.5195675502400777
mean_flow_m3s,exclude_2016_2017,0.05,0.95,0.5188648061792658
mean_flow_m3s,exclude_2016_2017,0.1,0.9,0.5182041060171879
mean_flow_m3s,exclude_2016_2017,0.15000000000000002,0.85,0.517584645777675
mean_flow_m3s,exclude_2016_2017,0.2,0.8,0.5170056537687582
mean_flow_m3s,exclude_2016_2017,0.25,0.75,0.516466388011395
mean_flow_m3s,exclude_2016_2017,0.30000000000000004,0.7,0.5159661338685367
mean_flow_m3s,exclude_2016_2017,0.35000000000000003,0.6499999999999999,0.5155042018574926
mean_flow_m3s,exclude_2016_2017,0.4,0.6,0.5150799256304395
mean_flow_m3s,exclude_2016_2017,0.45,0.55,0.5146926601095825
mean_flow_m3s,exclude_2016_2017,0.5,0.5,0.5143417797649122
mean_flow_m3s,exclude_2016_2017,0.55,0.44999999999999996,0.5140266770237726
mean_flow_m3s,exclude_2016_2017,0.6000000000000001,0.3999999999999999,0.5137467608025525
mean_flow_m3s,exclude_2016_2017,0.65,0.35,0.5135014551517858
