date,year,target,train_end,actual,hybrid_predicted,lower_80,upper_80
2018-01-01,2018,mean_flow_m3s,2017,407.3676075268817,259.61266406793493,197.79944925458702,420.2605504331623
2018-02-01,2018,mean_flow_m3s,2017,492.8407738095238,313.9272325197294,239.1818362226365,508.18488384748935
2018-03-01,2018,mean_flow_m3s,2017,704.6659946236558,604.3373866790089,460.44595966930177,978.300360211235
2018-04-01,2018,mean_flow_m3s,2017,1106.4208333333333,736.8677910968033,561.421160927079,1192.840359289158
2018-05-01,2018,mean_flow_m3s,2017,1338.8709677419354,582.5822203137577,443.87065144642344,943.0831329459542
2018-06-01,2018,mean_flow_m3s,2017,1558.6944444444446,599.6367337563647,456.864522058875,970.6909510487114
2018-07-01,2018,mean_flow_m3s,2017,2446.6532258064517,695.4369893168387,529.8549436022241,1125.7722460156895
2018-08-01,2018,mean_flow_m3s,2017,1695.1989247311826,502.96541745780326,383.2104374585654,814.1995844022041
2018-09-01,2018,mean_flow_m3s,2017,2063.948611111111,299.4163911287547,228.12599483808683,484.69475784722795
2018-10-01,2018,mean_flow_m3s,2017,1801.7876344086021,381.4531796660168,290.6300011412588,617.495775202132
2018-11-01,2018,mean_flow_m3s,2017,664.0784722222222,527.6970052283212,402.05348757618157,854.235037706609
2018-12-01,2018,mean_flow_m3s,2017,461.2600806451613,440.692373529899,335.76447084299645,713.3920840737871
2019-01-01,2019,mean_flow_m3s,2018,336.255376344086,391.8134581531093,298.52351968831545,634.2669768507811
2019-02-01,2019,mean_flow_m3s,2018,736.811755952381,498.33314492048896,379.6810990113541,806.7008692941511
2019-03-01,2019,mean_flow_m3s,2018,992.1444892473119,729.4696073780171,555.7844687791287,1180.8641917434595
2019-04-01,2019,mean_flow_m3s,2018,1159.4930555555554,1022.8541848679735,779.3148117831879,1655.7946596664935
2019-05-01,2019,mean_flow_m3s,2018,1211.8279569892472,1289.7713868967905,982.6796042805977,2087.8797840476236
2019-06-01,2019,mean_flow_m3s,2018,1723.6666666666667,1581.8519966863578,1205.2164514784768,2560.6993912178514
2019-07-01,2019,mean_flow_m3s,2018,2908.3131720430106,1932.0374181758139,1472.023480158227,3127.5789712922533
2019-08-01,2019,mean_flow_m3s,2018,1307.9543010752689,1738.0334504807681,1324.2114383186843,2813.525669838507
2019-09-01,2019,mean_flow_m3s,2018,1946.8125,1872.3585916083337,1426.5540533504552,3030.9709857284543
2019-10-01,2019,mean_flow_m3s,2018,1403.2399193548388,1488.361259221746,1133.9856567585923,2409.356740317745
2019-11-01,2019,mean_flow_m3s,2018,553.2729166666667,745.801023003233,568.2274096033489,1207.3014602975466
2019-12-01,2019,mean_flow_m3s,2018,421.8635752688172,461.5398778429514,351.648229388671,747.1399895129011
2020-01-01,2020,mean_flow_m3s,2019,375.0295698924731,385.7982472738114,293.94051753259635,624.529563446157
2020-02-01,2020,mean_flow_m3s,2019,390.94181034482756,612.8856897244959,466.9589302153618,992.1383390173297
2020-03-01,2020,mean_flow_m3s,2019,733.5389784946236,884.2691885079649,673.7266038528325,1431.4534971845494
2020-04-01,2020,mean_flow_m3s,2019,1239.4048611111111,1073.1776236062672,817.6563484057107,1737.2581589136282
2020-05-01,2020,mean_flow_m3s,2019,1130.7547043010754,1283.4911781572273,977.8946996830147,2077.713392545885
2020-06-01,2020,mean_flow_m3s,2019,1680.1152777777777,1752.6541099253504,1335.3509503153737,2837.1935691219874
2020-07-01,2020,mean_flow_m3s,2019,2801.5389784946233,2232.612849074008,1701.0325498990053,3614.1499807978016
2020-08-01,2020,mean_flow_m3s,2019,2919.7311827956987,1676.4759306908009,1277.310631088619,2713.876458799009
2020-09-01,2020,mean_flow_m3s,2019,2342.8958333333335,1825.1856496414705,1390.6128870199773,2954.607505434759
2020-10-01,2020,mean_flow_m3s,2019,1518.263440860215,1433.4644096015368,1092.1596285111882,2320.4898111127873
2020-11-01,2020,mean_flow_m3s,2019,721.1194444444444,687.4954171692543,523.8042426372023,1112.916442181809
2020-12-01,2020,mean_flow_m3s,2019,560.983870967742,419.15162099099354,319.35252497732824,678.521949555326
2021-01-01,2021,mean_flow_m3s,2020,375.81451612903226,396.5251724779647,302.1133850049684,641.8942921928763
2021-02-01,2021,mean_flow_m3s,2020,440.6450892857143,553.3713567693367,421.6148314459575,895.7966354406014
2021-03-01,2021,mean_flow_m3s,2020,1038.6337365591398,849.9710641523183,647.5947888569469,1375.9317503072198
2021-04-01,2021,mean_flow_m3s,2020,945.1958333333333,1147.2303415713704,874.0772741024238,1857.1345760553677
2021-05-01,2021,mean_flow_m3s,2020,1530.2486559139786,1312.5060257429734,1000.0011747013696,2124.6825797421193
2021-06-01,2021,mean_flow_m3s,2020,2304.8958333333335,1781.9496322437067,1357.671272018478,2884.617112110313
2021-07-01,2021,mean_flow_m3s,2020,1914.9139784946235,2483.243409234243,1891.9885147940402,4019.8703163078967
2021-08-01,2021,mean_flow_m3s,2020,640.2654569892474,2272.23923742306,1731.2239807351366,3678.2971125990957
2021-09-01,2021,mean_flow_m3s,2020,1881.08125,2111.1845840918913,1608.5160926466824,3417.582106642886
2021-10-01,2021,mean_flow_m3s,2020,4024.6774193548385,1501.7621721886246,1144.1958412804984,2431.0501160241533
2021-11-01,2021,mean_flow_m3s,2020,1788.1875,759.1204633205086,578.3755199376238,1228.8629482137721
2021-12-01,2021,mean_flow_m3s,2020,1029.7560483870968,482.90285373026904,367.92472683967634,781.7223394823353
2018-01-01,2018,mean_sediment_flux_kg_s,2017,413.51504856687234,174.24252822361223,110.33314722973881,393.4856507702914
2018-02-01,2018,mean_sediment_flux_kg_s,2017,653.0733839992987,273.61791271882066,173.25922526764867,617.9015166171349
2018-03-01,2018,mean_sediment_flux_kg_s,2017,1632.5568746786698,1044.8206718123959,661.5971094256075,2359.481041613129
2018-04-01,2018,mean_sediment_flux_kg_s,2017,4257.794090829908,1456.6846176623956,922.3959272536604,3289.5786154593143
2018-05-01,2018,mean_sediment_flux_kg_s,2017,6801.0832091389375,846.5080955627859,536.0224239804045,1911.6388648664292
2018-06-01,2018,mean_sediment_flux_kg_s,2017,9183.004887462053,973.6115238904182,616.5063415064405,2198.6719773936384
2018-07-01,2018,mean_sediment_flux_kg_s,2017,29659.695765573106,1477.9978568222873,935.8918101368168,3337.709538870218
2018-08-01,2018,mean_sediment_flux_kg_s,2017,16411.95517889481,751.7130150487233,475.9966674579181,1697.5665351879427
2018-09-01,2018,mean_sediment_flux_kg_s,2017,19916.34306978879,230.43203353624253,145.91323795517002,520.3763948946349
