month,records,observed_sediment_records,mean_flow_m3s,mean_water_level_m,mean_observed_sediment_kgm3,mean_used_sediment_kgm3,mean_sediment_flux_kg_s
1,1165,176,345.90128755364805,42.438309012875536,0.8643693181818182,0.8736601583583851,321.82386564014695
2,1320,143,476.43333333333334,42.55840909090909,1.4750699300699301,1.319226049369314,775.6060502621319
3,1279,159,766.017200938233,42.84473807662236,2.6087169811320754,2.4055598633713786,2095.12130010654
4,1121,148,985.0954504906333,43.051061552185544,3.023554054054054,3.389314280169264,3716.90700861207
5,1128,158,1069.8244680851064,43.0842109929078,2.4668734177215192,3.8808086202727448,4926.414231714455
6,1451,191,1803.9014472777394,43.729255685733975,3.118,6.156394991174547,15520.514256511125
7,1939,276,2254.2893243940175,44.16352294997421,13.200471014492754,9.473002332531035,25658.793262523526
8,1618,213,1672.150803461063,43.57830037082818,7.867319248826291,7.371155168510134,19645.372307741483
9,1582,189,1786.1510745891276,43.70640960809103,4.642380952380952,6.9126324166341995,18065.2297926677
10,1478,199,1981.605548037889,43.89087956698241,3.70751256281407,5.523827147671292,14412.195121858336
11,1246,148,774.2054574638844,42.8639165329053,1.6907972972972973,2.660972608452456,3404.083635511442
12,1408,154,552.8728693181819,42.711079545454545,1.1724480519480518,1.5620477600531457,1103.9641691340205
