date,year,month,mean_flow_m3s,mean_sediment_kgm3,mean_sediment_flux_kg_s,flow_contrast_z,sediment_contrast_z,abrupt_score,main_direction
2016-06-21,2016,6,607.9166666666666,1.660561394430139,1024.1643904189516,3.464855388980443,3.403439749264723,3.464855388980443,flow_rise
2018-07-28,2018,7,1591.875,8.213217361551335,13136.390521048204,-3.2877946100113102,-3.290956455104073,3.290956455104073,sediment_fall
2019-06-24,2019,6,2576.25,13.300586044043632,34373.49294554237,3.4517609707169994,3.207392876685875,3.4517609707169994,flow_rise
2019-08-14,2019,8,825.25,3.0148108863491743,2518.9756722647985,-5.601722902667587,-5.609832453449882,5.609832453449882,sediment_fall
2019-09-16,2019,9,2460.2083333333335,14.90715351039267,36875.94167750172,3.7236148251801806,3.5954819507137685,3.7236148251801806,flow_rise
2019-10-23,2019,10,956.6458333333334,3.308363667784476,3208.9501075465346,-2.6706169268734223,-3.049786505231073,3.049786505231073,sediment_fall
2021-07-10,2021,7,988.375,3.500974991692521,3580.6123440059623,-4.304882251807106,-4.488825406942437,4.488825406942437,sediment_fall
2021-07-30,2021,7,1014.8125,3.3468424352932957,3402.680093056057,-3.029386549355446,-3.518444124472928,3.518444124472928,sediment_fall
2021-08-31,2021,8,755.5833333333334,2.135904210373186,1635.1332768215982,3.296423019030078,3.885954953109571,3.885954953109571,sediment_rise
2021-09-20,2021,9,1782.5,8.336051524934359,15148.116889066876,5.083706576684864,5.441996071577946,5.441996071577946,sediment_rise
2021-10-24,2021,10,2416.6666666666665,9.969032003433815,24162.11821616745,-3.0271026659876155,-1.4814789172093548,3.0271026659876155,flow_fall
