date,mean_flow_m3s,mean_sediment_kgm3,mean_sediment_flux_kg_s,water_volume_m3,sediment_mass_kg,water_volume_1e8_m3,sediment_mass_1e4_t,year,month,day_of_year
2016-01-01,361.1666666666667,0.8613655867472244,311.3180918324055,31204800.0,26897883.134319838,0.312048,2.689788313431984,2016,1,1
2016-01-02,343.3958333333333,0.8377437383881685,288.6086063451385,29669400.0,24935783.58821997,0.296694,2.493578358821997,2016,1,2
2016-01-03,333.2083333333333,0.7896448662311867,263.67774828546777,28789200.0,22781757.451864414,0.287892,2.2781757451864415,2016,1,3
2016-01-04,315.6458333333333,0.7596821880870185,240.2756987497496,27271800.0,20759820.371978365,0.272718,2.0759820371978366,2016,1,4
2016-01-05,329.7083333333333,0.7922052602198946,261.56016233147216,28486800.0,22598798.025439195,0.284868,2.2598798025439195,2016,1,5
2016-01-06,358.0625,0.8590999202443573,308.6800545393259,30936600.0,26669956.71219776,0.309366,2.6669956712197758,2016,1,6
2016-01-07,380.5208333333333,0.8992868806013951,342.344286942131,32877000.0,29578546.39180012,0.32877,2.9578546391800122,2016,1,7
2016-01-08,391.6666666666667,0.9607791157757918,376.67847594624624,33840000.0,32545020.321755674,0.3384,3.2545020321755675,2016,1,8
2016-01-09,392.3333333333333,0.9621761946092623,377.5600790671008,33897600.0,32621190.831397507,0.338976,3.262119083139751,2016,1,9
2016-01-10,372.0833333333333,0.9207613419451812,342.93261617649483,32148000.0,29629378.037649155,0.32148,2.9629378037649157,2016,1,10
2016-01-11,334.5,0.8388961497156724,280.9052626830049,28900800.0,24270214.69581162,0.289008,2.4270214695811623,2016,1,11
2016-01-12,334.3541666666667,0.834350718584511,279.148601881625,28888200.0,24118439.202572398,0.288882,2.41184392025724,2016,1,12
2016-01-13,361.2708333333333,0.8828211216918703,319.181671442134,31213800.0,27577296.41260038,0.312138,2.757729641260038,2016,1,13
2016-01-14,365.2083333333333,0.8989731957529689,328.6874643806625,31554000.0,28398596.92248924,0.31554,2.839859692248924,2016,1,14
2016-01-15,359.6666666666667,0.8772671274637243,315.76746407652337,31075200.0,27282308.89621162,0.310752,2.728230889621162,2016,1,15
2016-01-16,356.875,0.8789191556202662,313.75299420909204,30834000.0,27108258.699665554,0.30834,2.7108258699665555,2016,1,16
2016-01-17,329.6458333333333,0.8267745919176912,272.7827507118523,28481400.0,23568429.66150404,0.284814,2.356842966150404,2016,1,17
