series,lag_days,autocorrelation
water_flux,7,0.9000063268382702
water_flux,15,0.7979097055938257
water_flux,30,0.6468638269851269
water_flux,60,0.41739926497527946
water_flux,90,0.304401540094208
water_flux,120,0.15839216383941954
water_flux,180,-0.07189246098359652
water_flux,365,0.5521900102428136
sediment_flux,7,0.9058046926682294
sediment_flux,15,0.814926621926031
sediment_flux,30,0.6676267431013584
sediment_flux,60,0.4510481282339173
sediment_flux,90,0.3087261624741619
sediment_flux,120,0.15484199747843422
sediment_flux,180,-0.06704516634351583
sediment_flux,365,0.5474875322461693
