month,days,mean_flow_m3s,mean_sediment_kgm3,mean_sediment_flux_kg_s,water_volume_1e8_m3,sediment_mass_1e4_t,water_share,sediment_share,sediment_to_water_share_ratio
1,186,336.38922491039426,0.8498490045165097,304.2630698086847,54.059094,488.9629237053487,0.02730652497440107,0.003721661441270779,0.13629201975570707
2,170,436.00208333333336,1.1916268645773953,642.7506245164781,64.039986,944.0721172898029,0.03234810922042635,0.007185650744377472,0.22213510828138489
3,186,769.236559139785,2.427181724783635,2129.2976899082378,123.619392,3421.866559590134,0.0624430741471227,0.02604497849345053,0.4170995558624439
4,180,977.5362268518519,3.351325007983161,3661.797061234458,152.026434,5694.826789631828,0.0767921418881,0.04334524408738272,0.5644489530002244
5,186,1045.8314292114696,3.7697372622054597,4750.901030695374,168.069294,7634.8879923686945,0.08489576932312176,0.058111703100708983,0.6845064667419415
6,180,1397.514699074074,4.884387292946947,9782.121776157333,217.341486,15213.155786279884,0.1097843170555622,0.11579245080750064,1.0547267033496024
7,186,1911.0094086021506,7.8453651407137555,20249.124609889306,307.106856,32541.153213076508,0.15512692523433325,0.24768167338710384,1.5966388363139299
8,186,1257.5063844086021,5.335733539304882,12299.76503605303,202.086306,19766.214403538663,0.10207856538945059,0.1504473129129734,1.4738384335534707
9,180,1459.8987268518517,5.588332843675264,13624.514186776378,227.04345,21188.84446327462,0.11468500818195695,0.1612754292830043,1.4062468306853841
10,186,1585.6546818996414,4.698961370332606,10741.713641549326,254.82104999999999,17262.36349051543,0.12871612990458373,0.131389660592274,1.0207707510292
11,180,778.4931712962964,2.682772778955709,3466.495410746368,121.071258,5391.093662792752,0.06115595149003339,0.04103342899509,0.6709637900372989
12,186,550.2589605734768,1.5739759417667871,1142.1781469002497,88.428816,1835.525969194577,0.04466748319090802,0.013970806154863286,0.31277352464996316
