scenario,year,month,pred_mean_flow_m3s,pred_mean_sediment_flux_kg_s,pred_water_volume_1e8_m3,pred_sediment_mass_1e4_t
low,2022,1,319.6624532503903,280.6865029471802,8.561839147858453,75.17907294937274
low,2022,2,352.0445559835313,363.3694623145188,8.516661898353592,87.90634032312838
low,2022,3,690.4431797938797,1596.7304819944827,18.492830127599273,427.6682922974022
low,2022,4,879.5246312062459,2726.4825436150395,22.79727844086589,706.7042753050182
low,2022,5,1118.9834591017986,4940.098234033884,29.97085296858257,1323.1559110036358
low,2022,6,1296.959358516903,7814.5750051013,33.61718657275812,2025.537841322257
low,2022,7,1504.5325312190928,13014.398279706647,40.29739931617218,3485.7764352366285
low,2022,8,613.8681712735427,1144.642922210292,16.441845099390566,306.58116028480464
low,2022,9,1151.422081959444,6087.485303844559,29.84486036438879,1577.8761907565097
low,2022,10,1286.2146373489472,7904.810358577647,34.44997284675421,2117.224406441437
low,2022,11,608.6008097130141,1137.9046778300096,15.774932987761325,294.9448924935385
low,2022,12,434.9780440087935,543.2672766362391,11.650451930731526,145.5087073742503
low,2023,1,329.39762428656877,292.9276402409256,8.822585968891458,78.45773916212953
low,2023,2,362.76590886688257,379.20850186408967,8.776032867307622,91.73812077096058
low,2023,3,711.4703050558865,1666.2550106881797,19.056020650616862,446.28974206272204
low,2023,4,906.3101439502708,2845.2390925530835,23.49155893119102,737.4859727897592
low,2023,5,1153.0615788504379,5155.730773545002,30.88360132793013,1380.9109303862933
low,2023,6,1336.4576513371874,8155.016550818309,34.640982322659895,2113.7802899721055
low,2023,7,1550.3523682752755,13580.102830353142,41.524637831884974,3637.2947420817854
low,2023,8,632.563240338576,1194.3515615338313,16.94257382922842,319.8951222412214
low,2023,9,1186.488104849307,6352.468184711415,30.753771677694036,1646.559753477199
low,2023,10,1325.3857046936012,8249.550694672986,35.49913071451341,2209.5596580612128
low,2023,11,627.1354637365569,1187.5369736339856,16.255351220051555,307.8095835659291
low,2023,12,448.2250976190936,566.9832714726778,12.005261014629802,151.86079943124201
normal,2022,1,413.514725375768,503.949610484544,11.07557840446457,134.97786367218026
normal,2022,2,512.9138549640517,831.8104704789484,12.408411979290339,201.2315890182672
normal,2022,3,913.5413760227742,2934.858625701021,24.468292215393987,786.0725343077614
normal,2022,4,1114.3858249924765,4617.105650284223,28.88488058380499,1196.7537845536706
normal,2022,5,1361.6276447822568,7358.303459321471,36.46983483784796,1970.8479985446627
normal,2022,6,1950.3468724386892,15112.787959793082,50.55299093361083,3917.2346391783667
normal,2022,7,2381.338443089489,24427.155529417592,63.78176885970886,6542.569336999208
normal,2022,8,1596.0837201606735,14329.945418993571,42.749506360783485,3838.132581023238
normal,2022,9,2085.4661009377282,17637.037079514543,54.05528133630591,4571.52001101017
normal,2022,10,2535.0108782907687,17896.31345466184,67.89773136413996,4793.348595696626
normal,2022,11,1157.1903204839412,6348.76909397765,29.994373106943755,1645.6009491590069
normal,2022,12,729.5859920703682,1864.3446341905067,19.54123121161274,499.3460668215853
normal,2023,1,434.71607871341416,539.8008155026594,11.643435452260086,144.5802504242323
normal,2023,2,539.2115106545116,890.9184018492795,13.044604865753945,215.5309797753777
normal,2023,3,960.3796439563235,3143.929510756466,25.72280838372617,842.0700801610118
normal,2023,4,1171.5216080257408,4946.588179670214,30.3658400800272,1282.1556561705195
normal,2023,5,1431.4397869861464,7883.386824334635,38.339683254636945,2111.4863270297888
normal,2023,6,2050.3432949021703,16185.659756698109,53.14489820386426,4195.32300893615
normal,2023,7,2503.4322759090605,26154.900139778463,67.05193007794828,7005.328453438263
normal,2023,8,1677.9166824012345,15332.042808315984,44.94132042143467,4106.534345779353
normal,2023,9,2192.390234387837,18879.138285230252,56.826754875332746,4893.472643531682
normal,2023,10,2664.9836653458838,19164.623443117533,71.37892249262416,5133.0527430046
normal,2023,11,1216.5207369308753,6795.376292814637,31.532217501248294,1761.361535097554
normal,2023,12,766.9926657844051,1996.317376004873,20.543131560369506,534.6936459891452
high,2022,1,480.0783957438836,573.8040361303346,12.85841975160418,153.6876730371488
high,2022,2,686.7040104828956,1287.062105256329,16.61274342160221,311.36606450361114
high,2022,3,1146.2794404372976,4036.1148201995425,30.701948532672578,1081.0329934422455
high,2022,4,1410.0180593403159,7034.807046124602,36.547668098100985,1823.4219863554968
high,2022,5,1750.810046091112,11469.312450130641,46.89369627450434,3071.9406466429905
high,2022,6,2751.8448417163763,26235.475485495743,71.32781829728847,6800.235245840497
high,2022,7,3577.9181859702817,45538.20554506028,95.83096069302802,12196.952973188945
high,2022,8,2610.257977905539,34191.83696161032,69.91314968022196,9157.941611797709
high,2022,9,3105.6568767445015,35510.01852640484,80.49862624521748,9204.196802044135
high,2022,10,4411.170438917476,33479.357087561606,118.14878903596568,8967.111002332502
high,2022,11,1897.111949204839,14701.95180904024,49.17314172338943,3810.74590890323
high,2022,12,1106.4310269088983,3679.1914325235016,29.634648624727934,985.4346332870947
high,2023,1,509.76478580772186,619.40812928065,13.653540023074022,165.90227334652926
high,2023,2,728.1547268768273,1398.4408382784552,17.615519152604207,338.3108075963239
high,2023,3,1217.1614024098874,4385.443199412501,32.60045100214643,1174.5971065306444
high,2023,4,1497.208706696511,7643.518089076229,38.807649677573565,1981.1998886885588
high,2023,5,1859.0740929983083,12459.73099843942,49.79344050686669,3337.214350622014
high,2023,6,2868.4827471539566,28502.280717343732,74.35107280623056,7387.791161935495
high,2023,7,3799.1642904125215,49478.053175137895,101.75681635440898,13252.201762428935
high,2023,8,2771.6673168516913,37152.81753862001,74.2363374145557,9951.010649543985
high,2023,9,3297.699972757229,38581.885585096294,85.47638329386739,10000.424743656959
high,2023,10,4683.941985083111,36371.030490428595,125.45470212846604,9741.616806556394
high,2023,11,2014.422800553602,15971.249871483165,52.213838990349366,4139.7479666884365
high,2023,12,1173.530999054091,3981.1302759928217,31.43185427866477,1066.3059331219174
