scenario,year,month,pred_mean_flow_m3s,pred_mean_sediment_flux_kg_s,pred_water_volume_1e8_m3,pred_sediment_mass_1e4_t
low,2022,1,297.2165086330518,283.6712729129471,7.960646967227659,75.97851373700375
low,2022,2,369.49568665557484,516.2152630042955,8.938839651571666,124.88279642599917
low,2022,3,749.9445551537176,2427.842060614984,20.08651496523717,650.2732175151172
low,2022,4,773.4240178881739,2595.3788702977995,20.047150543661466,672.7222031811897
low,2022,5,1140.8243204384257,6392.061121763519,30.555838598622792,1712.049650853141
low,2022,6,1665.9406177139786,13162.957086532988,43.18118081114632,3411.8384768293504
low,2022,7,1564.5462671344314,14222.107946216092,41.90480721892862,3809.2493923145184
low,2022,8,739.9441488776472,2318.0346668869656,19.818664083538902,620.8624051790049
low,2022,9,1485.5021475172534,12066.718812251078,38.50421566364721,3127.6935161354795
low,2022,10,2407.332849446338,15275.836157876429,64.47800303957072,4091.4799565256226
low,2022,11,1139.9057266588595,6691.3490475555645,29.546356434997637,1734.3976731264024
low,2022,12,642.7726292800768,1576.8706944487851,17.216022102637577,422.34904680116256
low,2023,1,313.36551580190746,310.87250285547896,8.393181975238289,83.26409116481149
low,2023,2,389.59915619672785,566.150443499849,9.42518278671124,136.96311529148346
low,2023,3,790.6775251570984,2661.0194056982787,21.177506833807723,712.727437622227
low,2023,4,815.4445903000176,2845.501702472898,21.136323780576454,737.5540412809752
low,2023,5,1202.8536562945312,7010.042602446103,32.21723233019272,1877.5698106391642
low,2023,6,1756.4772064871092,14434.15592139269,45.52788919214587,3741.3332148249856
low,2023,7,1649.4549093708058,15586.208040966658,44.179000292587666,4174.60996169251
low,2023,8,780.2171679051673,2542.580140048962,20.897336625172002,681.0046647107141
low,2023,9,1566.1648690271593,13228.302271514038,40.59499340518397,3428.775948776439
low,2023,10,2537.7324800593856,16735.29344240672,67.97062674591058,4482.380995614217
low,2023,11,1201.8111416271859,7326.34075851848,31.15094479097666,1898.98752460799
low,2023,12,677.5912838861425,1724.4815925376759,18.14860494760644,461.8851497452911
normal,2022,1,390.0980002825138,447.98504364098886,10.448384839566849,119.98831408880245
normal,2022,2,484.9647455327287,815.2278330844301,11.732267123927775,197.21991737978536
normal,2022,3,984.3055913472618,3834.145489281903,26.36364095864506,1026.9375278492648
normal,2022,4,1015.1224914667886,4098.72633395651,26.31197497881916,1062.3898657615273
normal,2022,5,1497.3370359656994,10094.599115321285,40.104675171305296,2703.737427047653
normal,2022,6,2186.5545307309662,20787.469398300876,56.675493436546645,5388.112068039587
normal,2022,7,2053.473990948908,22460.122886351237,55.00024737357555,6015.719313880315
