date,period,actual_mean_flow_m3s,actual_mean_sediment_flux_kg_s,low_pred_mean_flow_m3s,low_pred_mean_sediment_flux_kg_s,normal_pred_mean_flow_m3s,normal_pred_mean_sediment_flux_kg_s,high_pred_mean_flow_m3s,high_pred_mean_sediment_flux_kg_s
2016-01-01,historical,329.57862903225805,279.93826738288635,,,,,,
2016-02-01,historical,275.69252873563215,208.02524757556822,,,,,,
2016-03-01,historical,619.4684139784946,1163.0642256066135,,,,,,
2016-04-01,historical,614.8868055555556,1038.6975907019355,,,,,,
2016-05-01,historical,397.37701612903226,370.3785444853145,,,,,,
2016-06-01,historical,444.81041666666664,636.7830941794805,,,,,,
2016-07-01,historical,927.8024193548387,2880.2325527542644,,,,,,
2016-08-01,historical,571.921370967742,1171.9691322969609,,,,,,
2016-09-01,historical,284.91875,192.31266775625508,,,,,,
2016-10-01,historical,368.75,338.0765444831715,,,,,,
2016-11-01,historical,358.0965277777778,326.51838352859636,,,,,,
2016-12-01,historical,246.5920698924731,150.78727389980827,,,,,,
2017-01-01,historical,194.2896505376344,100.89247041048684,,,,,,
2017-02-01,historical,286.41517857142856,242.81495421817627,,,,,,
2017-03-01,historical,526.9677419354839,723.0368164460912,,,,,,
2017-04-01,historical,799.8159722222223,1885.4699606860825,,,,,,
2017-05-01,historical,665.9092741935484,1150.2312048015165,,,,,,
2017-06-01,historical,672.9055555555556,1215.9906413209103,,,,,,
2017-07-01,historical,466.8346774193548,567.779023297225,,,,,,
2017-08-01,historical,409.9670698924731,465.84007098611914,,,,,,
2017-09-01,historical,239.73541666666668,140.64892824556776,,,,,,
2017-10-01,historical,397.2096774193548,427.8851125075608,,,,,,
2017-11-01,historical,586.2041666666667,944.3321013202643,,,,,,
2017-12-01,historical,581.0981182795699,1072.836480435807,,,,,,
2018-01-01,historical,407.3676075268817,413.51504856687234,,,,,,
2018-02-01,historical,492.8407738095238,653.0733839992987,,,,,,
2018-03-01,historical,704.6659946236558,1632.5568746786698,,,,,,
2018-04-01,historical,1106.4208333333333,4257.794090829908,,,,,,
2018-05-01,historical,1338.8709677419354,6801.0832091389375,,,,,,
2018-06-01,historical,1558.6944444444446,9183.004887462053,,,,,,
2018-07-01,historical,2446.6532258064517,29659.695765573106,,,,,,
2018-08-01,historical,1695.1989247311826,16411.95517889481,,,,,,
2018-09-01,historical,2063.948611111111,19916.34306978879,,,,,,
2018-10-01,historical,1801.7876344086021,14109.679930226246,,,,,,
2018-11-01,historical,664.0784722222222,1361.6590086703427,,,,,,
2018-12-01,historical,461.2600806451613,567.3691234419067,,,,,,
2019-01-01,historical,336.255376344086,285.33017646410025,,,,,,
2019-02-01,historical,736.811755952381,1722.312967427119,,,,,,
2019-03-01,historical,992.1444892473119,3372.624326053606,,,,,,
2019-04-01,historical,1159.4930555555554,4773.468638071195,,,,,,
2019-05-01,historical,1211.8279569892472,5353.943987684396,,,,,,
2019-06-01,historical,1723.6666666666667,13793.264076222531,,,,,,
2019-07-01,historical,2908.3131720430106,38915.09992635781,,,,,,
2019-08-01,historical,1307.9543010752689,14047.129117033819,,,,,,
2019-09-01,historical,1946.8125,20975.726943232632,,,,,,
2019-10-01,historical,1403.2399193548388,9401.039097133626,,,,,,
2019-11-01,historical,553.2729166666667,902.3194379022262,,,,,,
2019-12-01,historical,421.8635752688172,476.1913555032662,,,,,,
2020-01-01,historical,375.0295698924731,362.56037417281453,,,,,,
2020-02-01,historical,390.94181034482756,415.8561694552996,,,,,,
2020-03-01,historical,733.5389784946236,1771.6581456350702,,,,,,
2020-04-01,historical,1239.4048611111111,6797.622253501421,,,,,,
2020-05-01,historical,1130.7547043010754,4831.13348943142,,,,,,
2020-06-01,historical,1680.1152777777777,12971.289598458423,,,,,,
2020-07-01,historical,2801.5389784946233,30223.033061381175,,,,,,
2020-08-01,historical,2919.7311827956987,40594.167733933136,,,,,,
2020-09-01,historical,2342.8958333333335,23458.70297666826,,,,,,
2020-10-01,historical,1518.263440860215,11851.223843746286,,,,,,
2020-11-01,historical,721.1194444444444,1822.4529537736419,,,,,,
2020-12-01,historical,560.983870967742,908.58637048141,,,,,,
2021-01-01,historical,375.81451612903226,383.34208185494793,,,,,,
2021-02-01,historical,440.6450892857143,638.0701718012903,,,,,,
2021-03-01,historical,1038.6337365591398,4112.845751029374,,,,,,
2021-04-01,historical,945.1958333333333,3217.729833616205,,,,,,
2021-05-01,historical,1530.2486559139786,9998.635748630662,,,,,,
2021-06-01,historical,2304.8958333333335,20892.39835930059,,,,,,
2021-07-01,historical,1914.9139784946235,19248.90732997225,,,,,,
2021-08-01,historical,640.2654569892474,1107.5289831733362,,,,,,
2021-09-01,historical,1881.08125,17063.350534966758,,,,,,
2021-10-01,historical,4024.6774193548385,28322.37732119907,,,,,,
2021-11-01,historical,1788.1875,15441.69057928314,,,,,,
2021-12-01,historical,1029.7560483870968,3677.2982776392996,,,,,,
2022-01-01,forecast,,,297.2165086330518,283.6712729129471,390.0980002825138,447.98504364098886,631.4899964922547,1011.6685531916204
2022-02-01,forecast,,,369.49568665557484,516.2152630042955,484.9647455327287,815.2278330844301,785.0601265157468,1840.999770249037
2022-03-01,forecast,,,749.9445551537176,2427.842060614984,984.3055913472618,3834.145489281903,1593.3922603474864,8658.513213616352
2022-04-01,forecast,,,773.4240178881739,2595.3788702977995,1015.1224914667886,4098.72633395651,1643.2786071995301,9256.00664366194
2022-05-01,forecast,,,1140.8243204384257,6392.061121763519,1497.3370359656994,10094.599115321285,2423.886712838623,22796.27105192068
2022-06-01,forecast,,,1665.9406177139786,13162.957086532988,2186.5545307309662,20787.469398300876,3539.5908513794952,46943.59641958808
2022-07-01,forecast,,,1564.5462671344314,14222.107946216092,2053.473990948908,22460.122886351237,3324.1602940854373,50720.88978745086
