date,year,month,pred_sediment_mass_1e4_t,upper95_sediment_mass_1e4_t,relative_interval_width,historical_abrupt_month_risk,is_flood,is_peak_window,risk_score,risk_level,recommended_sample_times
2022-01-01,2022,1,103.85891287316856,592.5421856330413,5.536521918199864,0.0,0.0,0.0,0.0032431355995812838,low,4
2022-02-01,2022,2,174.04804193647027,989.8399253330662,5.515229137339772,0.0,0.0,0.0,0.05059970439055966,low,3
2022-03-01,2022,3,832.9891512388847,4719.702609412951,5.490305377332167,0.0,0.0,0.0,0.1973604085194038,low,4
2022-04-01,2022,4,1196.6733794377476,6778.2966360982455,5.4883046636721735,0.0,0.0,0.0,0.23161857227340968,medium,12
2022-05-01,2022,5,2050.847181184624,11613.252209331671,5.486396073153681,0.0,0.0,0.0,0.2826450621878872,medium,14
2022-06-01,2022,6,4417.468275291835,25009.247058722194,5.484963563897497,0.75,1.0,0.0,0.592927591378254,medium,12
2022-07-01,2022,7,7251.430028416813,41050.57160482718,5.484478418037205,1.0,1.0,1.0,0.7524751518475694,high,48
2022-08-01,2022,8,1631.7449395254525,9240.970695990303,5.48708284084251,0.5,1.0,1.0,0.5859819287343522,medium,14
2022-09-01,2022,9,5409.832297249357,30626.412966675976,5.484735850169118,1.0,1.0,1.0,0.724661809860864,high,45
2022-10-01,2022,10,5029.027229153945,28470.90833455305,5.4848126058229285,0.5,1.0,1.0,0.6927335569058141,medium,14
2022-11-01,2022,11,1216.5688775085068,6890.912884785276,5.488229722940517,0.0,0.0,0.0,0.23317909654193977,medium,12
2022-12-01,2022,12,437.4632679335918,2480.872444013311,5.496257466326313,0.0,0.0,0.0,0.13665009877093848,low,4
2023-01-01,2023,1,111.04309692014073,977.2343424474298,8.69393411698352,0.0,0.0,0.0,0.2474670617400294,low,4
2023-02-01,2023,2,186.0873858088031,1632.4366941617843,8.662642215656314,0.0,0.0,0.0,0.2942240415389179,low,3
2023-03-01,2023,3,890.6091205422348,7783.528326412025,8.626014222160048,0.0,0.0,0.0,0.4402831351940889,low,4
2023-04-01,2023,4,1279.4503079088904,11178.452366321544,8.623073970492413,0.0,0.0,0.0,0.4744849889008055,medium,12
2023-05-01,2023,5,2192.7094748891323,19152.004555188363,8.620269103125816,0.0,0.0,0.0,0.5254577630441399,medium,14
2023-06-01,2023,6,4723.0357440185,41243.968469961925,8.618163885465917,0.75,1.0,0.0,0.8356999763392837,high,45
2023-07-01,2023,7,7753.029809183878,67698.46975949078,8.617450914412995,1.0,1.0,1.0,0.9952338832658986,high,48
2023-08-01,2023,8,1744.6168697138805,15239.763756528546,8.621278377907462,0.5,1.0,1.0,0.8288139579585723,high,48
2023-09-01,2023,9,5784.044098735816,50507.50043880691,8.617829237043715,1.0,1.0,1.0,0.9674277862240058,high,45
2023-10-01,2023,10,5376.897779615005,46952.756570481666,8.617942037262766,0.5,1.0,1.0,0.9355016934180291,high,48
2023-11-01,2023,11,1300.7220279705448,11364.173108243462,8.622963837485555,0.0,0.0,0.0,0.4760434039945717,medium,12
2023-12-01,2023,12,467.72371014005694,4091.368409855645,8.634761420692708,0.0,0.0,0.0,0.3797403561984609,low,4
