date,year,month,days,observation_count,max_gap_hours,water_volume_m3,sediment_mass_kg,water_volume_1e8_m3,sediment_mass_1e4_t,mean_flow_m3s,mean_sediment_flux_kg_s
2016-01-01,2016,1,31,211,4.0,882581400.0,749579206.6700597,8.825814,74.95792066700596,329.5181451612903,279.8608149156436
2016-02-01,2016,2,29,199,4.0,690757200.0,521213427.79259634,6.907572,52.121342779259635,275.6853448275862,208.01940764391617
2016-03-01,2016,3,31,218,8.0,1659911400.0,3117013227.046875,16.599114,311.7013227046875,619.7399193548387,1163.759418700297
2016-04-01,2016,4,30,178,6.0,1593403200.0,2691051549.2265844,15.934032,269.10515492265847,614.7388888888889,1038.2143322633428
2016-05-01,2016,5,31,158,6.0,1064142000.0,991620906.216775,10.64142,99.16209062167749,397.3051075268817,370.22883296623917
2016-06-01,2016,6,30,205,4.0,1153627200.0,1652675156.5941873,11.536272,165.26751565941873,445.0722222222222,637.6061560934364
2016-07-01,2016,7,31,207,4.0,2485521000.0,7717533620.851782,24.85521,771.7533620851782,927.9872311827957,2881.396961190181
2016-08-01,2016,8,31,213,4.0,1530586800.0,3133642911.691202,15.305868,313.36429116912024,571.4556451612904,1169.9682316648752
2016-09-01,2016,9,30,194,4.0,738619200.0,498652975.79811764,7.386192,49.86529757981177,284.9611111111111,192.38154930482935
2016-10-01,2016,10,31,192,6.0,987751800.0,905683613.7258422,9.877518,90.56836137258422,368.7842741935484,338.1435236431609
2016-11-01,2016,11,30,201,6.0,927950400.0,845930906.0407593,9.279504,84.59309060407593,358.00555555555553,326.36223226881145
2016-12-01,2016,12,31,191,6.0,660353400.0,403684455.98424387,6.603534,40.36844559842439,246.54771505376345,150.7185095520624
2017-01-01,2017,1,31,159,6.0,520326000.0,270216566.4579241,5.20326,27.02165664579241,194.26747311827958,100.887308265354
2017-02-01,2017,2,28,158,6.0,693363600.0,588144281.709508,6.933636,58.81442817095079,286.60863095238096,243.11519581246193
2017-03-01,2017,3,31,186,4.0,1411668000.0,1937267206.366035,14.11668,193.7267206366035,527.0564516129032,723.2927144437108
2017-04-01,2017,4,30,180,4.0,2073463200.0,4888637087.385883,20.734632,488.86370873858834,799.9472222222222,1886.0482590223314
2017-05-01,2017,5,31,186,4.0,1783260000.0,3079346416.7949524,17.8326,307.93464167949526,665.7930107526881,1149.6962428296567
2017-06-01,2017,6,30,180,4.0,1744531200.0,3153526024.8697124,17.445312,315.35260248697125,673.0444444444445,1216.638126878747
2017-07-01,2017,7,31,186,4.0,1249884000.0,1518645984.5629878,12.49884,151.86459845629878,466.6532258064516,566.9974554073282
2017-08-01,2017,8,31,187,4.0,1097618400.0,1246819740.1000938,10.976184,124.68197401000938,409.8037634408602,465.5091622237507
2017-09-01,2017,9,30,181,4.0,621291600.0,364447673.2236415,6.212916,36.44476732236415,239.69583333333333,140.604812200479
2017-10-01,2017,10,31,190,4.0,1064482200.0,1147229086.8516638,10.644822,114.72290868516639,397.432123655914,428.3262719726941
2017-11-01,2017,11,30,183,4.0,1519783200.0,2449166080.0884247,15.197832,244.91660800884247,586.3361111111111,944.8943210217687
2017-12-01,2017,12,31,206,4.0,1555695000.0,2871034562.7956142,15.55695,287.10345627956144,580.8299731182796,1071.9215064201069
2018-01-01,2018,1,31,196,4.0,1091372400.0,1108279209.295752,10.913724,110.8279209295752,407.4717741935484,413.7840536498477
2018-02-01,2018,2,28,275,4.0,1192321800.0,1580030245.921353,11.923218,158.00302459213532,492.8578869047619,653.1209680561149
2018-03-01,2018,3,31,243,4.0,1888200000.0,4377059944.351143,18.882,437.7059944351143,704.9731182795699,1634.2069684704088
2018-04-01,2018,4,30,193,4.0,2867992200.0,11037554327.721634,28.679922,1103.7554327721634,1106.4784722222223,4258.315712855569
2018-05-01,2018,5,31,201,4.0,3587292000.0,18234048863.857536,35.87292,1823.4048863857536,1339.3413978494623,6807.81394259914
2018-06-01,2018,6,30,186,4.0,4039578000.0,23792656843.62883,40.39578,2379.265684362883,1558.4791666666667,9179.265757572852
2018-07-01,2018,7,31,416,4.0,6552342000.0,79431519877.40173,65.52342,7943.151987740173,2446.364247311828,29656.332092817254
2018-08-01,2018,8,31,315,4.0,4541824800.0,43977158102.47257,45.418248,4397.715810247258,1695.72311827957,16419.18985307369
2018-09-01,2018,9,30,317,4.0,5352508800.0,51668017739.41812,53.525088,5166.801773941812,2065.011111111111,19933.648819219954
2018-10-01,2018,10,31,286,4.0,4821804000.0,37727633693.22999,48.21804,3772.7633693229986,1800.255376344086,14085.884742096023
2018-11-01,2018,11,30,234,4.0,1720299600.0,3523711317.0413737,17.202996,352.3711317041374,663.6958333333333,1359.4565266363325
2018-12-01,2018,12,31,308,4.0,1235242800.0,1519119936.5161314,12.352428,151.91199365161313,461.18682795698925,567.174408794852
2019-01-01,2019,1,31,195,6.0,901119600.0,765796191.9254491,9.011196,76.57961919254491,336.43951612903226,285.91554358029015
2019-02-01,2019,2,28,310,4.0,1782230400.0,4165679110.0494623,17.822304,416.5679110049462,736.702380952381,1721.9242353048373
2019-03-01,2019,3,31,216,4.0,2658535200.0,9041105441.37797,26.585352,904.110544137797,992.5833333333334,3375.5620674200904
2019-04-01,2019,4,30,183,6.0,3005316000.0,12371831153.910227,30.05316,1237.1831153910227,1159.4583333333333,4773.08300690981
2019-05-01,2019,5,31,192,4.0,3246084000.0,14343832465.547937,32.46084,1434.3832465547937,1211.9489247311828,5355.373531043883
2019-06-01,2019,6,30,321,4.0,4471866000.0,35812138424.51231,44.71866,3581.2138424512304,1725.2569444444443,13816.411429209995
2019-07-01,2019,7,31,378,3.0,7787682000.0,104223034713.90549,77.87682,10422.303471390549,2907.587365591398,38912.42335495276
2019-08-01,2019,8,31,350,4.0,3499646400.0,37560329613.924904,34.996464,3756.0329613924905,1306.6182795698924,14023.420554780803
2019-09-01,2019,9,30,339,4.0,5048780400.0,54402851204.94512,50.487804,5440.285120494512,1947.8319444444444,20988.754322895493
2019-10-01,2019,10,31,196,4.0,3756164400.0,25147419972.026413,37.561644,2514.7419972026414,1402.391129032258,9388.971017034952
2019-11-01,2019,11,30,182,4.0,1433545200.0,2336929143.1033344,14.335452,233.69291431033344,553.0652777777777,901.5930336046815
2019-12-01,2019,12,31,189,4.0,1130061600.0,1276185501.24207,11.300616,127.61855012420699,421.9166666666667,476.47308140758287
2020-01-01,2020,1,31,190,12.0,1004227200.0,970085182.7851322,10.042272,97.00851827851322,374.93548387096774,362.18831495860667
2020-02-01,2020,2,29,189,4.0,979905600.0,1042867901.906913,9.799056,104.2867901906913,391.08620689655174,416.2148395222354
2020-03-01,2020,3,31,202,4.0,1965542400.0,4750232089.327017,19.655424,475.02320893270166,733.8494623655914,1773.5334861585338
2020-04-01,2020,4,30,193,4.0,3212987400.0,17624476900.07745,32.129874,1762.447690007745,1239.5784722222222,6799.566705276794
2020-05-01,2020,5,31,195,4.0,3028026600.0,12933491538.371532,30.280266,1293.3491538371532,1130.53561827957,4828.812551662012
2020-06-01,2020,6,30,290,4.0,4361529600.0,33671137987.73505,43.615296,3367.113798773505,1682.6888888888889,12990.408174280497
2020-07-01,2020,7,31,386,4.0,7500330000.0,80973830627.7066,75.0033,8097.38306277066,2800.3024193548385,30232.16495956788
2020-08-01,2020,8,31,360,4.0,7822476000.0,108743196244.39914,78.22476,10874.319624439913,2920.5779569892475,40600.05833497579
2020-09-01,2020,9,30,219,4.0,6068160000.0,60727564706.278564,60.6816,6072.756470627856,2341.1111111111113,23428.844408286484
2020-10-01,2020,10,31,220,4.0,4065249600.0,31728087160.05233,40.652496,3172.808716005233,1517.7903225806451,11845.910678036264
2020-11-01,2020,11,30,241,4.0,1869886800.0,4730394221.055071,18.698868,473.0394221055071,721.4069444444444,1824.9977704687774
2020-12-01,2020,12,31,315,4.0,1501237800.0,2424683137.9815903,15.012378,242.46831379815902,560.4979838709677,905.2729756502354
2021-01-01,2021,1,31,208,4.0,1006133400.0,1025793386.0240744,10.061334,102.57933860240745,375.6471774193548,382.98737530767414
2021-02-01,2021,2,28,183,7.0,1066977000.0,1546612357.2463408,10.66977,154.66123572463408,441.0453869047619,639.3073566659808
2021-03-01,2021,3,31,208,8.0,2781975600.0,11016458597.271694,27.819756,1101.6458597271694,1038.6706989247311,4113.074446412669
2021-04-01,2021,4,30,188,4.0,2451025800.0,8352222007.648107,24.510258,835.2222007648106,945.6118055555555,3222.3078733210286
2021-05-01,2021,5,31,190,4.0,4098780000.0,26782801013.937805,40.9878,2678.2801013937806,1530.3091397849462,9999.552349887173
2021-06-01,2021,6,30,263,5.0,5979096000.0,54211288289.0284,59.79096,5421.12882890284,2306.75,20914.848876939966
2021-07-01,2021,7,31,360,4.0,5122960200.0,51484447557.934235,51.229602,5148.444755793424,1912.6942204301076,19222.09063542945
2021-08-01,2021,8,31,187,4.0,1714842000.0,2966019866.0824327,17.14842,296.6019866082433,640.2486559139785,1107.3849559746238
2021-09-01,2021,9,30,326,4.0,4882617000.0,44277753583.833534,48.82617,4427.775358383354,1883.7256944444443,17082.466660429604
2021-10-01,2021,10,31,388,4.0,10775484000.0,75854998232.73637,107.75484,7585.499823273637,4023.1048387096776,28321.011884982217
2021-11-01,2021,11,30,199,4.0,4633182000.0,39987868207.55273,46.33182,3998.786820755273,1787.4930555555557,15427.418289950898
2021-12-01,2021,12,31,193,4.0,2757612600.0,9843399325.723679,27.576126,984.3399325723678,1029.5745967741937,3675.1042882779566
