date,year,month,pred_sediment_mass_1e4_t,upper95_sediment_mass_1e4_t,relative_interval_width,historical_abrupt_month_risk,is_flood,is_peak_window,risk_score,risk_level,recommended_sample_times
2022-01-01,2022,1,140.3353890130766,858.0464396897994,5.955683120456212,0.0,0.0,0.0,0.0023093076776989877,low,4
2022-02-01,2022,2,250.77621065143427,1529.3135249353031,5.937125428683526,0.0,0.0,0.0,0.0579553859061259,low,3
2022-03-01,2022,3,765.8547230025623,4659.996967247237,5.921265962370285,0.0,0.0,0.0,0.16640327283164352,low,4
2022-04-01,2022,4,1612.7945766691976,9807.756993976343,5.91721111056031,0.0,0.0,0.0,0.23921681156853958,medium,12
2022-05-01,2022,5,2195.445921917903,13349.152869499509,5.916238016499582,0.0,0.0,0.0,0.26942229559486247,medium,14
2022-06-01,2022,6,4561.935199068873,27732.84121745133,5.914840745801233,0.6666666666666666,1.0,0.0,0.5744490538172237,medium,12
2022-07-01,2022,7,7978.893942854874,48501.35690140867,5.914285614395475,1.0,1.0,1.0,0.7459552953877358,high,48
2022-08-01,2022,8,4933.336104069277,29990.242052203677,5.914743156769754,0.6666666666666666,1.0,1.0,0.6821252671768345,medium,14
2022-09-01,2022,9,4671.461133744169,28398.547555358004,5.914810353542135,0.6666666666666666,1.0,1.0,0.6767758306927338,medium,12
2022-10-01,2022,10,5909.4901623049545,35923.375106647116,5.914545152063748,0.6666666666666666,1.0,1.0,0.699834154282436,high,48
2022-11-01,2022,11,853.384541041007,5192.009360446689,5.92047398508453,0.0,0.0,0.0,0.17696922310371127,medium,12
2022-12-01,2022,12,290.3887891954106,1770.0815647217642,5.933908697283034,0.0,0.0,0.0,0.07211968280882163,low,4
2023-01-01,2023,1,155.10208974481057,1488.7584984562948,9.49955980375643,0.0,0.0,0.0,0.25404470461226414,low,4
2023-02-01,2023,2,277.0817522431141,2652.870004860516,9.47276970798818,0.0,0.0,0.0,0.30923154856399365,low,3
2023-03-01,2023,3,845.9755920812039,8082.101823625473,9.44986219792338,0.0,0.0,0.0,0.41728626925567214,low,4
2023-04-01,2023,4,1781.403597541985,17009.34823722161,9.44400347953439,0.0,0.0,0.0,0.4899991815699437,medium,12
2023-05-01,2023,5,2424.930269956159,23150.837635470903,9.44259737572275,0.0,0.0,0.0,0.5201805106932917,medium,14
2023-06-01,2023,6,5038.669999980707,48095.032693477064,9.440578267570942,0.6666666666666666,1.0,0.0,0.8251725804973834,high,45
2023-07-01,2023,7,8812.632092570606,84111.79652718875,9.439776056979728,1.0,1.0,1.0,0.9966650390670758,high,48
2023-08-01,2023,8,5448.874817107669,52009.817648768905,9.440437244417057,0.6666666666666666,1.0,1.0,0.9328463709392418,high,48
2023-09-01,2023,9,5159.639188260122,49249.5007507928,9.44053434862268,0.6666666666666666,1.0,1.0,0.9274986028035943,high,45
2023-10-01,2023,10,6527.017308294831,62299.05811581598,9.440151112054295,0.6666666666666666,1.0,1.0,0.9505503419546306,high,48
2023-11-01,2023,11,942.6505126810273,9004.717816701648,9.44871795641972,0.0,0.0,0.0,0.42783256891251226,medium,12
2023-12-01,2023,12,320.8330471882398,3070.4099850716784,9.46812438085171,0.0,0.0,0.0,0.32331615305486694,low,4
