sample_datetime,date,year,month,sample_time,risk_level,monthly_risk_score,reason
2022-01-01 09:00,2022-01-01,2022,1,09:00,low,0.0023093076776989877,低风险月份，十日一次常规监测
2022-01-11 09:00,2022-01-11,2022,1,09:00,low,0.0023093076776989877,低风险月份，十日一次常规监测
2022-01-21 09:00,2022-01-21,2022,1,09:00,low,0.0023093076776989877,低风险月份，十日一次常规监测
2022-01-31 09:00,2022-01-31,2022,1,09:00,low,0.0023093076776989877,低风险月份，十日一次常规监测
2022-02-01 09:00,2022-02-01,2022,2,09:00,low,0.0579553859061259,低风险月份，十日一次常规监测
2022-02-11 09:00,2022-02-11,2022,2,09:00,low,0.0579553859061259,低风险月份，十日一次常规监测
2022-02-21 09:00,2022-02-21,2022,2,09:00,low,0.0579553859061259,低风险月份，十日一次常规监测
2022-03-01 09:00,2022-03-01,2022,3,09:00,low,0.16640327283164352,低风险月份，十日一次常规监测
2022-03-11 09:00,2022-03-11,2022,3,09:00,low,0.16640327283164352,低风险月份，十日一次常规监测
2022-03-21 09:00,2022-03-21,2022,3,09:00,low,0.16640327283164352,低风险月份，十日一次常规监测
2022-03-31 09:00,2022-03-31,2022,3,09:00,low,0.16640327283164352,低风险月份，十日一次常规监测
2022-04-01 08:00,2022-04-01,2022,4,08:00,medium,0.23921681156853958,过渡月份，五日一次并覆盖早晚变化
2022-04-01 20:00,2022-04-01,2022,4,20:00,medium,0.23921681156853958,过渡月份，五日一次并覆盖早晚变化
2022-04-06 08:00,2022-04-06,2022,4,08:00,medium,0.23921681156853958,过渡月份，五日一次并覆盖早晚变化
2022-04-06 20:00,2022-04-06,2022,4,20:00,medium,0.23921681156853958,过渡月份，五日一次并覆盖早晚变化
2022-04-11 08:00,2022-04-11,2022,4,08:00,medium,0.23921681156853958,过渡月份，五日一次并覆盖早晚变化
2022-04-11 20:00,2022-04-11,2022,4,20:00,medium,0.23921681156853958,过渡月份，五日一次并覆盖早晚变化
2022-04-16 08:00,2022-04-16,2022,4,08:00,medium,0.23921681156853958,过渡月份，五日一次并覆盖早晚变化
2022-04-16 20:00,2022-04-16,2022,4,20:00,medium,0.23921681156853958,过渡月份，五日一次并覆盖早晚变化
2022-04-21 08:00,2022-04-21,2022,4,08:00,medium,0.23921681156853958,过渡月份，五日一次并覆盖早晚变化
