date,year,month,pred_sediment_mass_1e4_t,upper95_sediment_mass_1e4_t,relative_interval_width,historical_abrupt_month_risk,is_flood,is_peak_window,risk_score,risk_level,recommended_sample_times
2022-01-01,2022,1,140.33476728134525,858.0452210182475,5.955702044914308,0.0,0.0,0.0,0.002309313792131904,low,4
2022-02-01,2022,2,250.77413005401445,1529.3054397675812,5.937144303710724,0.0,0.0,0.0,0.057954974560891194,low,3
2022-03-01,2022,3,765.8512521862945,4659.989762774698,5.921284626849383,0.0,0.0,0.0,0.1664031429806038,low,4
2022-04-01,2022,4,1612.7951575319423,9807.789758153047,5.9172297259677356,0.0,0.0,0.0,0.23921710758244966,medium,12
2022-05-01,2022,5,2195.4432159195408,13349.17621048345,5.916256633485994,0.0,0.0,0.0,0.2694224140855021,medium,14
2022-06-01,2022,6,4561.928988352251,27732.88612503836,5.9148593568363985,0.6666666666666666,1.0,0.0,0.574449108433317,medium,12
2022-07-01,2022,7,7978.882623746836,48501.43265742493,5.914304222970717,1.0,1.0,1.0,0.7459553052080555,high,48
2022-08-01,2022,8,4933.334425989735,29990.32123743044,5.91476176614083,0.6666666666666666,1.0,1.0,0.6821254164725884,medium,14
2022-09-01,2022,9,4671.453849167019,28398.58791997127,5.914828964690898,0.6666666666666666,1.0,1.0,0.6767758642316359,medium,12
2022-10-01,2022,10,5909.482979192903,35923.43851468044,5.914563761620486,0.6666666666666666,1.0,1.0,0.6998342050713217,high,48
2022-11-01,2022,11,853.3834729472196,5192.018345523224,5.920492620751195,0.0,0.0,0.0,0.17696940587072746,medium,12
2022-12-01,2022,12,290.38885715195084,1770.0872562309112,5.933927361779357,0.0,0.0,0.0,0.07212008447551083,low,4
2023-01-01,2023,1,155.10133250261606,1488.7568217228268,9.499596276795401,0.0,0.0,0.0,0.2540446947919445,low,4
2023-02-01,2023,2,277.07932858361954,2652.856761476447,9.472806079867754,0.0,0.0,0.0,0.3092311206866421,low,3
2023-03-01,2023,3,845.9713758348563,8082.091698994936,9.44989824020316,0.0,0.0,0.0,0.4172861181904326,low,4
2023-04-01,2023,4,1781.4034335128201,17009.410043062333,9.444039444384428,0.0,0.0,0.0,0.4899994552891349,medium,12
2023-05-01,2023,5,2424.9261848066635,23150.88489983702,9.442633341287518,0.0,0.0,0.0,0.520180606961358,medium,14
2023-06-01,2023,6,5038.66086262918,48095.12467046394,9.44061422228638,0.6666666666666666,1.0,0.0,0.8251726127905133,high,45
2023-07-01,2023,7,8812.61560741586,84111.95255900848,9.439812007246683,1.0,1.0,1.0,0.9966650265221803,high,48
2023-08-01,2023,8,5448.870500562919,52009.970217589536,9.440473196570656,0.6666666666666666,1.0,1.0,0.9328464978740254,high,48
2023-09-01,2023,9,5159.628810178245,49249.5851877565,9.440570303453343,0.6666666666666666,1.0,1.0,0.9274986140233838,high,45
2023-10-01,2023,10,6527.006424275072,62299.18633986514,9.440187064157419,0.6666666666666666,1.0,1.0,0.9505503703938691,high,48
2023-11-01,2023,11,942.6489064985875,9004.736038441557,9.448753955796573,0.0,0.0,0.0,0.4278327297772254,medium,12
2023-12-01,2023,12,320.8329767882785,3070.4207556022407,9.468160443525813,0.0,0.0,0.0,0.32331653308211245,low,4
