year,month,r04_risk_level,conservative_risk_level,base_interval_days,trigger_threshold,base_visits,expected_trigger_visits,worst_case_reserved_visits,trigger_score,action
2022,1,low,low,14,1.0,3,0.0,9,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
2022,2,low,low,14,1.0,2,0.0,6,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
2022,3,low,low,14,1.0,3,0.0,9,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
2022,4,medium,medium,10,1.0,3,0.0,9,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
2022,5,medium,medium,10,1.0,4,0.0,12,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
2022,6,medium,high,5,2.0,6,0.0,18,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
2022,7,high,high,3,2.5,11,0.0,31,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
2022,8,medium,high,5,1.0,7,2.6666666666666665,21,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
2022,9,high,high,5,1.5,6,0.0,18,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
2022,10,medium,high,3,1.5,11,0.0,31,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
2022,11,medium,medium,10,1.0,3,0.0,9,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
2022,12,low,low,14,1.0,3,0.0,9,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
2023,1,low,low,14,1.0,3,0.0,9,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
2023,2,low,low,14,1.0,2,0.0,6,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
2023,3,low,low,14,1.0,3,0.0,9,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
2023,4,medium,medium,10,1.0,3,0.0,9,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
2023,5,medium,medium,10,1.0,4,0.0,12,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
2023,6,high,high,5,2.0,6,0.0,18,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
2023,7,high,high,3,2.5,11,0.0,31,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
2023,8,high,high,5,1.0,7,2.6666666666666665,21,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
2023,9,high,high,5,1.5,6,0.0,18,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
2023,10,high,high,3,1.5,11,0.0,31,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
2023,11,medium,medium,10,1.0,3,0.0,9,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
2023,12,low,low,14,1.0,3,0.0,9,"max(unit-day log water change/q90_water, unit-day log sediment change/q90_sediment)",threshold reached: sample on each of next 2 days; merge duplicate dates
