date,year,month,pred_water_volume_1e8_m3,pred_sediment_mass_1e4_t,r04_risk_score,r04_risk_level,conservative_risk_level,base_interval_days,trigger_threshold,base_visits,expected_trigger_visits,expected_total_visits,base_cost_units,expected_cost_units,worst_case_reserved_visits,worst_case_cost_units
2022-01-01,2022,1,11.929785440995394,140.3353890130766,0.0023093076776989,low,low,14,1.0,3,0.0,3.0,15.0,15.0,9,45.0
2022-02-01,2022,2,15.09798228617376,250.77621065143427,0.0579553859061259,low,low,14,1.0,2,0.0,2.0,10.0,10.0,6,30.0
2022-03-01,2022,3,24.25099652429394,765.8547230025623,0.1664032728316435,low,low,14,1.0,3,0.0,3.0,15.0,15.0,9,45.0
2022-04-01,2022,4,33.97088535481522,1612.7945766691976,0.2392168115685395,medium,medium,10,1.0,3,0.0,3.0,15.0,15.0,9,45.0
2022-05-01,2022,5,39.41691461413284,2195.445921917903,0.2694222955948624,medium,medium,10,1.0,4,0.0,4.0,20.0,20.0,12,60.0
2022-06-01,2022,6,53.70500503419608,4561.935199068873,0.5786157204838903,medium,high,5,2.0,6,0.0,6.0,30.0,30.0,18,90.0
2022-07-01,2022,7,68.88589379004358,7978.893942854874,0.7459552953877358,high,high,3,2.5,11,0.0,11.0,55.0,55.0,31,155.0
2022-08-01,2022,8,51.88675593876046,4933.336104069277,0.6737919338435012,medium,high,5,1.0,7,2.6666666666666665,9.666666666666666,35.0,48.33333333333333,21,105.0
2022-09-01,2022,9,52.35931755316391,4671.461133744169,0.6934424973594006,high,high,5,1.5,6,0.0,6.0,30.0,30.0,18,90.0
2022-10-01,2022,10,64.28831188419572,5909.4901623049545,0.6915008209491027,medium,high,3,1.5,11,0.0,11.0,55.0,55.0,31,155.0
2022-11-01,2022,11,25.84691506771542,853.384541041007,0.1769692231037112,medium,medium,10,1.0,3,0.0,3.0,15.0,15.0,9,45.0
2022-12-01,2022,12,16.74677704627936,290.3887891954106,0.0721196828088216,low,low,14,1.0,3,0.0,3.0,15.0,15.0,9,45.0
2023-01-01,2023,1,12.630559607312945,155.10208974481057,0.2540447046122641,low,low,14,1.0,3,0.0,3.0,15.0,15.0,9,45.0
2023-02-01,2023,2,15.970467770752665,277.0817522431141,0.3092315485639936,low,low,14,1.0,2,0.0,2.0,10.0,10.0,6,30.0
2023-03-01,2023,3,25.619561077723763,845.9755920812039,0.4172862692556721,low,low,14,1.0,3,0.0,3.0,15.0,15.0,9,45.0
2023-04-01,2023,4,35.8662526941839,1781.403597541985,0.4899991815699437,medium,medium,10,1.0,3,0.0,3.0,15.0,15.0,9,45.0
2023-05-01,2023,5,41.60744822917988,2424.930269956159,0.5201805106932917,medium,medium,10,1.0,4,0.0,4.0,20.0,20.0,12,60.0
2023-06-01,2023,6,56.66993082288612,5038.669999980707,0.82933924716405,high,high,5,2.0,6,0.0,6.0,30.0,30.0,18,90.0
2023-07-01,2023,7,72.67360002705477,8812.632092570606,0.9966650390670758,high,high,3,2.5,11,0.0,11.0,55.0,55.0,31,155.0
2023-08-01,2023,8,54.753135467744464,5448.874817107669,0.9245130376059084,high,high,5,1.0,7,2.6666666666666665,9.666666666666666,35.0,48.33333333333333,21,105.0
2023-09-01,2023,9,55.25130918320544,5159.639188260122,0.944165269470261,high,high,5,1.5,6,0.0,6.0,30.0,30.0,18,90.0
2023-10-01,2023,10,67.82683636626982,6527.017308294831,0.9422170086212972,high,high,3,1.5,11,0.0,11.0,55.0,55.0,31,155.0
2023-11-01,2023,11,27.30197591235446,942.6505126810272,0.4278325689125122,medium,medium,10,1.0,3,0.0,3.0,15.0,15.0,9,45.0
2023-12-01,2023,12,17.708624630385323,320.8330471882398,0.3233161530548669,low,low,14,1.0,3,0.0,3.0,15.0,15.0,9,45.0
