month,risk_level,base_interval_days,trigger_threshold,trigger_rate,visits,base_visits,trigger_visits,cost_units,water_wape,sediment_wape,event_capture_rate,policy_signature
1,low,14,1.0,0.0,3.0,3.0,0.0,15.0,0.05937798905498983,0.13224342462469957,,01:14@1|02:14@1|03:14@1|04:10@1|05:10@1|06:5@2|07:3@2.5|08:5@1|09:5@1.5|10:3@1.5|11:10@1|12:14@1
2,low,14,1.0,0.0,2.3333333333333335,2.3333333333333335,0.0,11.666666666666666,0.10246006804046429,0.2927102284462526,,01:14@1|02:14@1|03:14@1|04:10@1|05:10@1|06:5@2|07:3@2.5|08:5@1|09:5@1.5|10:3@1.5|11:10@1|12:14@1
3,low,14,1.0,0.0,3.0,3.0,0.0,15.0,0.05329595425866262,0.1374612443838787,,01:14@1|02:14@1|03:14@1|04:10@1|05:10@1|06:5@2|07:3@2.5|08:5@1|09:5@1.5|10:3@1.5|11:10@1|12:14@1
4,medium,10,1.0,0.0,3.0,3.0,0.0,15.0,0.06791686997873668,0.17834538461503674,,01:14@1|02:14@1|03:14@1|04:10@1|05:10@1|06:5@2|07:3@2.5|08:5@1|09:5@1.5|10:3@1.5|11:10@1|12:14@1
5,medium,10,1.0,0.0,4.0,4.0,0.0,20.0,0.038966389759187786,0.0954775887647131,,01:14@1|02:14@1|03:14@1|04:10@1|05:10@1|06:5@2|07:3@2.5|08:5@1|09:5@1.5|10:3@1.5|11:10@1|12:14@1
6,high,5,2.0,0.0,6.0,6.0,0.0,30.0,0.08671437843393041,0.14911693758801933,0.5,01:14@1|02:14@1|03:14@1|04:10@1|05:10@1|06:5@2|07:3@2.5|08:5@1|09:5@1.5|10:3@1.5|11:10@1|12:14@1
7,high,3,2.5,0.0,11.0,11.0,0.0,55.0,0.036639564698670496,0.06526603894877775,1.0,01:14@1|02:14@1|03:14@1|04:10@1|05:10@1|06:5@2|07:3@2.5|08:5@1|09:5@1.5|10:3@1.5|11:10@1|12:14@1
8,high,5,1.0,0.38095238095238093,9.666666666666666,7.0,2.6666666666666665,48.333333333333336,0.10697683443069597,0.22619434067413044,1.0,01:14@1|02:14@1|03:14@1|04:10@1|05:10@1|06:5@2|07:3@2.5|08:5@1|09:5@1.5|10:3@1.5|11:10@1|12:14@1
9,high,5,1.5,0.0,6.0,6.0,0.0,30.0,0.0857118155707791,0.16497864327874112,1.0,01:14@1|02:14@1|03:14@1|04:10@1|05:10@1|06:5@2|07:3@2.5|08:5@1|09:5@1.5|10:3@1.5|11:10@1|12:14@1
10,high,3,1.5,0.0,11.0,11.0,0.0,55.0,0.03625336978997781,0.09084075334988742,1.0,01:14@1|02:14@1|03:14@1|04:10@1|05:10@1|06:5@2|07:3@2.5|08:5@1|09:5@1.5|10:3@1.5|11:10@1|12:14@1
11,medium,10,1.0,0.0,3.0,3.0,0.0,15.0,0.09649820627513524,0.27320488114039343,,01:14@1|02:14@1|03:14@1|04:10@1|05:10@1|06:5@2|07:3@2.5|08:5@1|09:5@1.5|10:3@1.5|11:10@1|12:14@1
12,low,14,1.0,0.0,3.0,3.0,0.0,15.0,0.11978892985318801,0.33346992824534627,,01:14@1|02:14@1|03:14@1|04:10@1|05:10@1|06:5@2|07:3@2.5|08:5@1|09:5@1.5|10:3@1.5|11:10@1|12:14@1
