survey_date,method,distance_m,bed_elevation_m
2016-06-08,linear,0.0,47.754999999999995
2016-06-08,linear,5.0,48.879999999999995
2016-06-08,linear,10.0,50.005
2016-06-08,linear,15.0,50.9075
2016-06-08,linear,20.0,50.92
2016-06-08,linear,25.0,50.0835
2016-06-08,linear,30.0,48.681
2016-06-08,linear,35.0,47.278499999999994
2016-06-08,linear,40.0,45.876
2016-06-08,linear,45.0,45.317142857142855
2016-06-08,linear,50.0,45.32071428571428
2016-06-08,linear,55.0,45.324285714285715
2016-06-08,linear,60.0,45.32785714285714
2016-06-08,linear,65.0,45.33142857142857
2016-06-08,linear,70.0,45.335
2016-06-08,linear,75.0,45.33857142857143
2016-06-08,linear,80.0,45.34214285714285
2016-06-08,linear,85.0,45.42586956521739
2016-06-08,linear,90.0,45.830217391304345
2016-06-08,linear,95.0,46.2345652173913
2016-06-08,linear,100.0,46.63891304347826
2016-06-08,linear,105.0,47.043260869565216
2016-06-08,linear,110.0,47.12863636363636
2016-06-08,linear,115.0,47.001363636363635
2016-06-08,linear,120.0,46.8740909090909
2016-06-08,linear,125.0,46.74681818181818
2016-06-08,linear,130.0,46.61954545454545
2016-06-08,linear,135.0,46.49227272727272
2016-06-08,linear,140.0,46.364999999999995
2016-06-08,linear,145.0,45.315
2016-06-08,linear,150.0,44.265
2016-06-08,linear,155.0,44.257
2016-06-08,linear,160.0,44.249
2016-06-08,linear,165.0,44.241
2016-06-08,linear,170.0,44.233
2016-06-08,linear,175.0,44.224999999999994
2016-06-08,linear,180.0,44.217
2016-06-08,linear,185.0,44.208999999999996
2016-06-08,linear,190.0,44.20099999999999
2016-06-08,linear,195.0,44.193
2016-06-08,linear,200.0,44.184999999999995
2016-06-08,linear,205.0,44.17999999999999
2016-06-08,linear,210.0,44.175
2016-06-08,linear,215.0,44.169999999999995
2016-06-08,linear,220.0,44.165
2016-06-08,linear,225.0,44.16
2016-06-08,linear,230.0,44.154999999999994
2016-06-08,linear,235.0,44.15
2016-06-08,linear,240.0,44.144999999999996
2016-06-08,linear,245.0,44.14
2016-06-08,linear,250.0,44.135
2016-06-08,linear,255.0,44.85393617021276
2016-06-08,linear,260.0,44.87627659574468
2016-06-08,linear,265.0,44.89861702127659
2016-06-08,linear,270.0,44.92095744680851
2016-06-08,linear,275.0,44.94329787234042
2016-06-08,linear,280.0,44.96563829787234
2016-06-08,linear,285.0,44.987978723404254
2016-06-08,linear,290.0,45.01031914893617
2016-06-08,linear,295.0,45.032659574468084
2016-06-08,linear,300.0,45.055
2016-06-08,linear,305.0,45.0625
2016-06-08,linear,310.0,45.07
2016-06-08,linear,315.0,45.0775
2016-06-08,linear,320.0,45.085
2016-06-08,linear,325.0,45.0925
2016-06-08,linear,330.0,45.1
2016-06-08,linear,335.0,45.1075
2016-06-08,linear,340.0,45.115
2016-06-08,linear,345.0,45.1225
2016-06-08,linear,350.0,45.129999999999995
2016-06-08,linear,355.0,45.137499999999996
2016-06-08,linear,360.0,45.144999999999996
2016-06-08,linear,365.0,45.152499999999996
2016-06-08,linear,370.0,45.16
2016-06-08,linear,375.0,45.1675
2016-06-08,linear,380.0,45.175
2016-06-08,linear,385.0,45.1825
2016-06-08,linear,390.0,45.19
2016-06-08,linear,395.0,45.1975
2016-06-08,linear,400.0,45.205
2016-06-08,linear,405.0,45.205
2016-06-08,linear,410.0,45.205
2016-06-08,linear,415.0,45.205
2016-06-08,linear,420.0,45.205
2016-06-08,linear,425.0,45.205
2016-06-08,linear,430.0,45.205
2016-06-08,linear,435.0,45.205
2016-06-08,linear,440.0,45.205
2016-06-08,linear,445.0,45.205
2016-06-08,linear,450.0,45.205
2016-06-08,linear,455.0,45.205
2016-06-08,linear,460.0,45.205
2016-06-08,linear,465.0,45.205
2016-06-08,linear,470.0,45.205
2016-06-08,linear,475.0,45.205
2016-06-08,linear,480.0,45.205
2016-06-08,linear,485.0,45.205
2016-06-08,linear,490.0,45.205
2016-06-08,linear,495.0,45.205
2016-06-08,linear,500.0,45.205
2016-06-08,linear,505.0,45.2085
2016-06-08,linear,510.0,45.211999999999996
2016-06-08,linear,515.0,45.2155
2016-06-08,linear,520.0,45.219
2016-06-08,linear,525.0,45.2225
2016-06-08,linear,530.0,45.226
2016-06-08,linear,535.0,45.2295
2016-06-08,linear,540.0,45.233
2016-06-08,linear,545.0,45.2365
2016-06-08,linear,550.0,45.239999999999995
2016-06-08,linear,555.0,45.2435
2016-06-08,linear,560.0,45.247
2016-06-08,linear,565.0,45.250499999999995
2016-06-08,linear,570.0,45.254
2016-06-08,linear,575.0,45.2575
