year,start_date,end_date,method,distance_m,elevation_change_m
2020,2020-07-10,2020-07-29,linear,1680.0,0.6047058823529383
2020,2020-07-10,2020-07-29,linear,1685.0,0.6282352941176441
2020,2020-07-10,2020-07-29,linear,1690.0,0.6517647058823499
2020,2020-07-10,2020-07-29,linear,1695.0,0.255294117647054
2020,2020-07-10,2020-07-29,linear,1700.0,0.09647058823529164
2020,2020-07-10,2020-07-29,linear,1705.0,0.06705882352940762
2020,2020-07-10,2020-07-29,linear,1710.0,0.037647058823523594
2020,2020-07-10,2020-07-29,linear,1715.0,0.030457516339865265
2020,2020-07-10,2020-07-29,linear,1720.0,0.028823529411759807
2020,2020-07-10,2020-07-29,linear,1725.0,0.02718954248365435
2020,2020-07-10,2020-07-29,linear,1730.0,0.03111111111110887
2020,2020-07-10,2020-07-29,linear,1735.0,0.05725490196078198
2020,2020-07-10,2020-07-29,linear,1740.0,0.08339869281045509
2020,2020-07-10,2020-07-29,linear,1745.0,0.1095424836601282
2020,2020-07-10,2020-07-29,linear,1750.0,0.13764705882352501
2020,2020-07-10,2020-07-29,linear,1755.0,0.16705882352940904
2020,2020-07-10,2020-07-29,linear,1760.0,0.19647058823529306
2020,2020-07-10,2020-07-29,linear,1765.0,0.21999999999999886
2020,2020-07-10,2020-07-29,linear,1770.0,0.21999999999999886
2020,2020-07-10,2020-07-29,linear,1775.0,0.21999999999999886
2020,2020-07-10,2020-07-29,linear,1780.0,0.21999999999999886
2020,2020-07-10,2020-07-29,linear,1785.0,0.21999999999999886
2020,2020-07-10,2020-07-29,linear,1790.0,0.21999999999999886
2020,2020-07-10,2020-07-29,linear,1795.0,0.21999999999999886
2020,2020-07-10,2020-07-29,linear,1800.0,0.21999999999999886
2020,2020-07-10,2020-07-29,linear,1805.0,0.21999999999999176
2020,2020-07-10,2020-07-29,linear,1810.0,0.21999999999999176
2020,2020-07-10,2020-07-29,linear,1815.0,0.21999999999999176
2020,2020-07-10,2020-07-29,linear,1820.0,0.21999999999999176
2020,2020-07-10,2020-07-29,linear,1825.0,0.21999999999999176
2020,2020-07-10,2020-07-29,linear,1830.0,0.21999999999999176
2020,2020-07-10,2020-07-29,linear,1835.0,0.21999999999999176
2020,2020-07-10,2020-07-29,linear,1840.0,0.21999999999999886
2020,2020-07-10,2020-07-29,linear,1845.0,0.21999999999999886
2020,2020-07-10,2020-07-29,linear,1850.0,0.18666666666666742
2020,2020-07-10,2020-07-29,linear,1855.0,0.15333333333332888
2020,2020-07-10,2020-07-29,linear,1860.0,0.11999999999999744
2020,2020-07-10,2020-07-29,linear,1865.0,0.11999999999999744
2020,2020-07-10,2020-07-29,linear,1870.0,0.11999999999999744
2020,2020-07-10,2020-07-29,linear,1875.0,0.11999999999999744
2020,2020-07-10,2020-07-29,linear,1880.0,0.11999999999999744
2020,2020-07-10,2020-07-29,linear,1885.0,0.11999999999999744
2020,2020-07-10,2020-07-29,linear,1890.0,0.11999999999999744
2020,2020-07-10,2020-07-29,linear,1895.0,0.086666666666666
2020,2020-07-10,2020-07-29,linear,1900.0,0.05333333333332746
2020,2020-07-10,2020-07-29,linear,1905.0,0.01999999999999602
2020,2020-07-10,2020-07-29,linear,1910.0,-0.013333333333335418
2020,2020-07-10,2020-07-29,linear,1915.0,-0.04666666666667396
2020,2020-07-10,2020-07-29,linear,1920.0,-0.0800000000000054
2020,2020-07-10,2020-07-29,linear,1925.0,-0.0487500000000054
2020,2020-07-10,2020-07-29,linear,1930.0,-0.0175000000000054
2020,2020-07-10,2020-07-29,linear,1935.0,0.0137499999999946
2020,2020-07-10,2020-07-29,linear,1940.0,-0.005000000000002558
2020,2020-07-10,2020-07-29,linear,1945.0,-0.03625000000000256
2020,2020-07-10,2020-07-29,linear,1950.0,-0.06750000000000256
