year,survey_date,method,distance_m,bed_elevation_m
2020,2020-07-10,linear,1680.0,43.440000000000005
2020,2020-07-10,linear,1685.0,42.74
2020,2020-07-10,linear,1690.0,42.040000000000006
2020,2020-07-10,linear,1695.0,41.760000000000005
2020,2020-07-10,linear,1700.0,41.760000000000005
2020,2020-07-10,linear,1705.0,41.760000000000005
2020,2020-07-10,linear,1710.0,41.760000000000005
2020,2020-07-10,linear,1715.0,41.73777777777778
2020,2020-07-10,linear,1720.0,41.71000000000001
2020,2020-07-10,linear,1725.0,41.68222222222223
2020,2020-07-10,linear,1730.0,41.64888888888889
2020,2020-07-10,linear,1735.0,41.593333333333334
2020,2020-07-10,linear,1740.0,41.53777777777778
2020,2020-07-10,linear,1745.0,41.48222222222223
2020,2020-07-10,linear,1750.0,41.44235294117647
2020,2020-07-10,linear,1755.0,41.41294117647059
2020,2020-07-10,linear,1760.0,41.383529411764705
2020,2020-07-10,linear,1765.0,41.36
2020,2020-07-10,linear,1770.0,41.36
2020,2020-07-10,linear,1775.0,41.36
2020,2020-07-10,linear,1780.0,41.36
2020,2020-07-10,linear,1785.0,41.36
2020,2020-07-10,linear,1790.0,41.36
2020,2020-07-10,linear,1795.0,41.36
2020,2020-07-10,linear,1800.0,41.3475
2020,2020-07-10,linear,1805.0,41.316250000000004
2020,2020-07-10,linear,1810.0,41.285000000000004
2020,2020-07-10,linear,1815.0,41.260000000000005
2020,2020-07-10,linear,1820.0,41.260000000000005
2020,2020-07-10,linear,1825.0,41.260000000000005
2020,2020-07-10,linear,1830.0,41.260000000000005
2020,2020-07-10,linear,1835.0,41.226666666666674
2020,2020-07-10,linear,1840.0,41.193333333333335
2020,2020-07-10,linear,1845.0,41.160000000000004
2020,2020-07-10,linear,1850.0,41.160000000000004
2020,2020-07-10,linear,1855.0,41.160000000000004
2020,2020-07-10,linear,1860.0,41.160000000000004
2020,2020-07-10,linear,1865.0,41.12666666666667
2020,2020-07-10,linear,1870.0,41.093333333333334
2020,2020-07-10,linear,1875.0,41.06
2020,2020-07-10,linear,1880.0,41.06
2020,2020-07-10,linear,1885.0,41.06
2020,2020-07-10,linear,1890.0,41.06
2020,2020-07-10,linear,1895.0,41.06
2020,2020-07-10,linear,1900.0,41.06
2020,2020-07-10,linear,1905.0,41.06
2020,2020-07-10,linear,1910.0,41.06
2020,2020-07-10,linear,1915.0,41.06
2020,2020-07-10,linear,1920.0,41.06
2020,2020-07-10,linear,1925.0,41.02875
2020,2020-07-10,linear,1930.0,40.9975
2020,2020-07-10,linear,1935.0,40.96625
2020,2020-07-10,linear,1940.0,40.96
2020,2020-07-10,linear,1945.0,40.96
2020,2020-07-10,linear,1950.0,40.96
2020,2020-07-10,linear,1955.0,40.96
