scope,year,method,start_distance_m,end_distance_m,width_m,direction,mean_change_m,max_abs_change_m
within_year_q75,2020,linear_pchip_consensus,1680.0,1690.0,15.0,deposition,0.7027008308238555,0.8103987683122185
within_year_q75,2020,linear_pchip_consensus,1765.0,1800.0,40.0,deposition,0.21999999999999886,0.21999999999999886
within_year_q75,2020,linear_pchip_consensus,1840.0,1845.0,10.0,deposition,0.22370370370370196,0.22740740740740506
within_year_q75,2020,linear_pchip_consensus,2010.0,2035.0,30.0,deposition,0.3565420859276145,0.4255090006780051
within_year_q75,2020,linear_pchip_consensus,2055.0,2075.0,25.0,erosion,-0.3599146372260506,0.41716546306862057
within_year_q75,2021,linear_pchip_consensus,1825.0,1880.0,60.0,deposition,0.544263223354525,0.5986259960396332
within_year_q75,2021,linear_pchip_consensus,2020.0,2035.0,20.0,deposition,0.7352870852610573,0.865853549156796
within_year_q75,2021,linear_pchip_consensus,2070.0,2075.0,10.0,deposition,1.16484511730531,1.459900107912592
within_year_q75,2022,linear_pchip_consensus,1675.0,1675.0,5.0,erosion,-0.7084815740196433,0.7084815740196433
within_year_q75,2022,linear_pchip_consensus,1895.0,1905.0,15.0,erosion,-0.5899085611672312,0.5966599326599358
within_year_q75,2022,linear_pchip_consensus,1925.0,1960.0,40.0,erosion,-0.660703358417726,0.6984369742583176
within_year_q75,2022,linear_pchip_consensus,2005.0,2040.0,40.0,erosion,-0.8501425431885368,0.9426787292371301
cross_year_q75_recurrence,2020-2022,linear_pchip_consensus,1680.0,1685.0,10.0,deposition,0.16522712864034855,0.1717726808600671
cross_year_q75_recurrence,2020-2022,linear_pchip_consensus,1830.0,1855.0,30.0,deposition,0.08508397757270063,0.10300111155194121
cross_year_q75_recurrence,2020-2022,linear_pchip_consensus,1865.0,1875.0,15.0,deposition,0.05902735590487357,0.06667623971493224
cross_year_q75_recurrence,2020-2022,linear_pchip_consensus,2010.0,2040.0,35.0,deposition,0.018610220121498766,0.12353119166026379
cross_year_q75_recurrence,2020-2022,linear_pchip_consensus,2070.0,2075.0,10.0,deposition,0.2764960482126657,0.35690642600634465
