日期,起点距离(m),水位(m),水深(m),河底高程(m)
2018-04-04,1962.0,43.17,0.0,43.17
2018-04-04,1972.0,43.17,3.3,39.870000000000005
2018-04-04,1981.0,43.17,2.7,40.47
2018-04-04,1990.0,43.17,2.2,40.97
2018-04-04,1999.0,43.17,3.2,39.97
2018-04-04,2008.0,43.17,3.3,39.870000000000005
2018-04-04,2017.0,43.17,3.3,39.870000000000005
2018-04-04,2026.0,43.17,3.45,39.72
2018-04-04,2035.0,43.17,3.6,39.57
2018-04-04,2044.0,43.17,3.6,39.57
2018-04-04,2053.0,43.17,3.65,39.52
2018-04-04,2062.0,43.17,3.65,39.52
2018-04-04,2071.0,43.17,3.6,39.57
2018-04-04,2080.0,43.17,3.5,39.67
2018-04-04,2090.0,43.17,3.5,39.67
2018-04-04,2099.0,43.17,3.3,39.870000000000005
2018-04-04,2110.0,43.17,2.95,40.22
2018-04-04,2120.0,43.17,2.8,40.370000000000005
2018-04-04,2131.0,43.17,2.6,40.57
2018-04-04,2142.0,43.17,1.8,41.370000000000005
2018-04-04,2153.0,43.17,1.0,42.17
2018-04-04,2164.0,43.17,0.8,42.370000000000005
2018-04-04,2179.0,43.17,0.0,43.17
2019-04-17,1692.0,43.09,0.0,43.09
2019-04-17,1703.0,43.09,2.05,41.040000000000006
2019-04-17,1720.0,43.09,2.35,40.74
2019-04-17,1737.0,43.09,2.65,40.440000000000005
2019-04-17,1753.0,43.09,2.35,40.74
2019-04-17,1769.0,43.09,2.25,40.84
2019-04-17,1785.0,43.09,2.1,40.99
2019-04-17,1800.0,43.09,2.0,41.09
2019-04-17,1818.0,43.09,1.95,41.14
2019-04-17,1835.0,43.09,2.0,41.09
2019-04-17,1852.0,43.09,2.0,41.09
2019-04-17,1869.0,43.09,2.1,40.99
2019-04-17,1885.0,43.09,2.05,41.040000000000006
2019-04-17,1901.0,43.09,2.1,40.99
2019-04-17,1917.0,43.09,2.15,40.940000000000005
2019-04-17,1932.0,43.09,2.15,40.940000000000005
2019-04-17,1948.0,43.09,2.15,40.940000000000005
2019-04-17,1963.0,43.09,2.2,40.89
2019-04-17,1980.0,43.09,2.2,40.89
2019-04-17,1997.0,43.09,2.1,40.99
2019-04-17,2013.0,43.09,1.95,41.14
2019-04-17,2030.0,43.09,1.75,41.34
2019-04-17,2048.0,43.09,1.8,41.290000000000006
2019-04-17,2056.0,43.09,1.6,41.49
2019-04-17,2072.0,43.09,0.0,43.09
2020-04-17,1693.0,43.16,0.0,43.16
