日期,平均流量_m3s,最大流量_m3s,平均含沙量_kgm3,最大含沙量_kgm3,含沙观测数
2016-01-01,363.42857142857144,384,0.8105,0.825,2
2016-01-02,348.42857142857144,368,0.84,0.84,1
2016-01-03,331.3333333333333,357,0.672,0.672,1
2016-01-04,315.0,334,0.651,0.651,1
2016-01-05,328.57142857142856,340,0.693,0.693,1
2016-01-06,358.7142857142857,383,0.734,0.734,1
2016-01-07,381.42857142857144,392,0.711,0.711,1
2016-01-08,389.375,407,0.92,0.92,1
2016-01-09,392.2857142857143,402,0.952,0.952,1
2016-01-10,373.0,388,0.959,0.959,1
2016-01-11,338.2857142857143,355,0.874,0.874,1
2016-01-12,333.625,350,0.861,0.861,1
2016-01-13,362.14285714285717,378,0.851,0.851,1
2016-01-14,365.8333333333333,388,0.883,0.883,1
2016-01-15,360.125,378,0.831,0.831,1
2016-01-16,357.7142857142857,369,0.866,0.866,1
2016-01-17,331.8333333333333,350,0.888,0.888,1
2016-01-18,332.57142857142856,350,0.878,0.878,1
2016-01-19,363.5,383,0.943,0.943,1
2016-01-20,363.125,369,0.875,0.875,1
2016-01-21,363.125,378,1.12,1.12,1
2016-01-22,328.85714285714283,355,1.18,1.18,1
2016-01-23,299.5,319,0.773,0.773,1
2016-01-24,265.5,296,0.7,0.7,1
2016-01-25,253.33333333333334,293,0.742,0.742,1
2016-01-26,260.3333333333333,278,1.57,1.57,1
2016-01-27,273.8333333333333,290,1.05,1.05,1
2016-01-28,260.1666666666667,274,1.57,1.57,1
2016-01-29,263.42857142857144,294,1.65,1.65,1
2016-01-30,296.2857142857143,321,1.51,1.51,1
2016-01-31,277.3333333333333,298,1.34,1.34,1
2016-02-01,268.57142857142856,298,1.38,1.38,1
2016-02-02,313.2857142857143,351,1.01,1.01,1
2016-02-03,313.0,329,1.35,1.35,1
2016-02-04,282.625,304,1.16,1.16,1
2016-02-05,279.1666666666667,334,1.36,1.36,1
2016-02-06,315.5,324,1.17,1.17,1
2016-02-07,304.1666666666667,318,1.09,1.09,1
2016-02-08,293.85714285714283,302,0.934,0.934,1
2016-02-09,283.7142857142857,299,1.25,1.25,1
2016-02-10,282.57142857142856,296,1.18,1.18,1
2016-02-11,274.0,287,0.904,0.904,1
2016-02-12,268.42857142857144,273,0.771,0.771,1
2016-02-13,284.3333333333333,287,1.37,1.37,1
2016-02-14,294.7142857142857,305,1.06,1.06,1
2016-02-15,300.7142857142857,311,0.852,0.852,1
2016-02-16,304.2857142857143,318,0.825,0.825,1
2016-02-17,297.7142857142857,308,1.14,1.14,1
2016-02-18,275.42857142857144,302,0.888,0.888,1
2016-02-19,250.0,256,0.81,0.81,1
2016-02-20,242.42857142857142,249,0.59,0.59,1
2016-02-21,243.28571428571428,252,0.7,0.7,1
2016-02-22,246.85714285714286,263,0.87,0.87,1
2016-02-23,242.57142857142858,260,0.942,0.942,1
2016-02-24,235.5,246,0.912,0.912,1
2016-02-25,241.5,256,0.739,0.739,1
2016-02-26,271.8333333333333,284,0.936,0.936,1
2016-02-27,270.14285714285717,278,0.994,0.994,1
2016-02-28,258.125,267,0.717,0.717,1
2016-02-29,265.14285714285717,273,0.779,0.779,1
2016-03-01,257.7142857142857,284,0.681,0.681,1
2016-03-02,347.0,446,1.45,1.45,1
2016-03-03,369.0,437,1.6,1.6,1
2016-03-04,294.8333333333333,326,1.39,1.39,1
2016-03-05,285.3333333333333,308,1.02,1.02,1
2016-03-06,491.75,585,3.81,3.81,1
2016-03-07,570.5714285714286,604,3.02,3.02,1
2016-03-08,625.625,728,2.74,2.74,1
2016-03-09,647.0,699,2.06,2.06,1
2016-03-10,673.5,728,2.6,2.6,1
2016-03-11,659.4285714285714,709,2.04,2.04,1
2016-03-12,659.1428571428571,829,2.28,2.28,1
2016-03-13,677.8333333333334,829,1.66,1.66,1
2016-03-14,653.0,728,1.62,1.62,1
2016-03-15,618.8571428571429,690,1.95,1.95,1
2016-03-16,658.375,699,2.22,2.22,1
2016-03-17,643.3333333333334,651,1.79,1.79,1
2016-03-18,652.5,680,1.79,1.79,1
2016-03-19,659.2857142857143,699,1.73,1.73,1
2016-03-20,660.8571428571429,709,1.8,1.8,1
2016-03-21,686.3333333333334,718,2.6,2.6,1
2016-03-22,712.1666666666666,758,2.47,2.47,1
2016-03-23,762.2857142857143,788,2.34,2.34,1
2016-03-24,815.7142857142857,849,2.53,2.53,1
2016-03-25,797.0,829,2.11,2.11,1
2016-03-26,768.0,808,1.67,1.67,1
2016-03-27,724.875,788,1.61,1.61,1
2016-03-28,705.375,738,1.69,1.69,1
2016-03-29,784.0,923,1.81,1.81,1
2016-03-30,694.375,718,1.52,1.52,1
2016-03-31,666.2857142857143,699,1.75,1.75,1
2016-04-01,677.2857142857143,709,2.0,2.0,1
2016-04-02,680.0,709,1.52,1.52,1
2016-04-03,684.1428571428571,709,2.18,2.18,1
2016-04-04,707.1666666666666,728,2.4,2.4,1
2016-04-05,715.5,758,2.21,2.21,1
2016-04-06,721.1428571428571,738,2.26,2.26,1
2016-04-07,729.5714285714286,768,2.42,2.42,1
2016-04-08,723.8571428571429,748,2.12,2.12,1
2016-04-09,733.25,778,1.87,1.87,1
2016-04-10,691.1428571428571,738,1.52,1.52,1
2016-04-11,674.5714285714286,699,1.6,1.6,1
2016-04-12,702.875,748,1.71,1.71,1
2016-04-13,668.8333333333334,709,0.98,0.98,1
2016-04-14,641.7142857142857,680,1.3,1.3,1
2016-04-15,609.1428571428571,632,1.56,1.56,1
2016-04-16,599.8,613,1.35,1.35,1
2016-04-17,601.8,623,1.34,1.34,1
2016-04-18,607.6,632,1.35,1.35,1
2016-04-19,602.0,604,1.44,1.44,1
2016-04-20,590.6,604,1.65,1.65,1
2016-04-21,570.6,585,1.21,1.21,1
2016-04-22,528.2,549,1.36,1.36,1
2016-04-23,504.0,512,1.18,1.18,1
2016-04-24,504.2,512,1.41,1.41,1
2016-04-25,532.0,567,1.05,1.05,1
2016-04-26,521.0,530,1.08,1.08,1
2016-04-27,509.6,539,1.35,1.35,1
2016-04-28,482.0,493,0.779,0.779,1
2016-04-29,486.8333333333333,512,0.687,0.687,1
2016-04-30,469.6,475,1.02,1.02,1
2016-05-01,439.6,448,0.866,0.866,1
2016-05-02,440.8,512,0.833,0.833,1
2016-05-03,430.0,457,0.908,0.908,1
2016-05-04,393.2,398,1.0,1.0,1
2016-05-05,375.0,390,1.19,1.19,1
2016-05-06,439.6,539,0.716,0.716,1
2016-05-07,480.0,500,0.676,0.676,1
2016-05-08,461.2,480,0.792,0.792,1
2016-05-09,472.8,510,0.638,0.638,1
2016-05-10,453.4,461,0.526,0.526,1
2016-05-11,425.5,442,0.823,0.823,1
2016-05-12,422.4,470,0.71,0.71,1
2016-05-13,411.4,433,0.692,0.692,1
2016-05-14,411.4,424,0.77,0.77,1
2016-05-15,421.0,433,0.5925,0.632,2
2016-05-16,404.2,415,0.598,0.598,1
2016-05-17,384.8,397,0.792,0.792,1
2016-05-18,376.4,380,0.769,0.769,1
2016-05-19,374.4,388,0.713,0.713,1
2016-05-20,372.8,380,0.539,0.539,1
2016-05-21,367.4,371,0.622,0.622,1
2016-05-22,362.6,380,0.578,0.578,1
2016-05-23,378.3333333333333,399,0.738,0.738,1
2016-05-24,386.4,392,0.536,0.536,1
2016-05-25,374.4,385,0.55,0.55,1
2016-05-26,360.4,372,0.493,0.493,1
2016-05-27,344.6,353,0.477,0.477,1
2016-05-28,342.2,347,0.502,0.502,1
2016-05-29,348.2,353,0.497,0.497,1
2016-05-30,338.6,347,0.51,0.51,1
2016-05-31,338.0,347,0.597,0.597,1
2016-06-01,345.5,359,0.543,0.543,1
2016-06-02,345.0,353,0.518,0.518,1
2016-06-03,348.7142857142857,359,0.589,0.589,1
2016-06-04,354.7142857142857,359,0.522,0.522,1
2016-06-05,350.42857142857144,359,0.625,0.625,1
2016-06-06,320.85714285714283,341,0.518,0.518,1
2016-06-07,300.0,317,0.495,0.495,1
2016-06-08,280.7142857142857,285,0.564,0.564,1
2016-06-09,285.0,290,0.498,0.498,1
2016-06-10,291.0,301,0.479,0.479,1
2016-06-11,300.0,306,0.408,0.408,1
2016-06-12,296.0,301,0.517,0.517,1
2016-06-13,296.3333333333333,306,0.429,0.429,1
2016-06-14,303.2857142857143,335,0.419,0.419,1
2016-06-15,286.42857142857144,295,0.402,0.402,1
2016-06-16,278.3333333333333,285,0.419,0.419,1
2016-06-17,187.42857142857142,196,0.393,0.393,1
2016-06-18,203.5,216,0.424,0.424,1
2016-06-19,280.0,345,0.429,0.429,1
2016-06-20,430.0,480,1.04,1.04,1
2016-06-21,609.4285714285714,708,1.62,1.62,1
2016-06-22,744.8571428571429,760,1.7999999999999998,1.93,2
2016-06-23,768.7142857142857,791,1.48,1.48,1
2016-06-24,756.8571428571429,781,1.69,1.69,1
2016-06-25,740.5714285714286,770,1.28,1.28,1
2016-06-26,696.2857142857143,718,1.17,1.17,1
2016-06-27,737.3333333333334,749,1.61,1.61,1
2016-06-28,737.75,749,1.335,1.39,2
2016-06-29,743.5714285714286,760,1.53,1.53,1
2016-06-30,742.0,760,1.3,1.3,1
2016-07-01,752.5714285714286,802,1.52,1.52,1
2016-07-02,677.5,718,1.27,1.27,1
2016-07-03,577.7142857142857,637,1.27,1.27,1
2016-07-04,528.1666666666666,553,0.942,0.942,1
2016-07-05,621.375,698,0.936,0.936,1
2016-07-06,773.8333333333334,823,1.46,1.46,1
2016-07-07,796.8571428571429,860,1.81,1.81,1
2016-07-08,942.6666666666666,1010,2.63,2.63,1
2016-07-09,984.5714285714286,1020,2.65,2.65,1
2016-07-10,821.7142857142857,916,1.75,1.75,1
2016-07-11,729.4285714285714,750,1.55,1.55,1
2016-07-12,699.0,705,1.57,1.57,1
2016-07-13,697.2857142857143,705,1.61,1.61,1
2016-07-14,699.8571428571429,705,1.27,1.27,1
2016-07-15,739.875,759,1.54,1.54,1
2016-07-16,773.1428571428571,795,1.38,1.38,1
2016-07-17,796.2857142857143,804,1.78,1.78,1
2016-07-18,831.8333333333334,841,1.42,1.42,1
2016-07-19,874.2857142857143,906,1.47,1.47,1
2016-07-20,1007.6666666666666,1050,3.11,3.11,1
2016-07-21,946.5,1050,1.82,1.82,1
2016-07-22,922.3333333333334,974,1.75,1.75,1
2016-07-23,1089.0,1210,2.21,2.21,1
2016-07-24,1307.142857142857,1400,2.76,2.76,1
2016-07-25,1390.0,1430,3.23,3.23,1
2016-07-26,1480.0,1520,2.91,2.91,1
2016-07-27,1477.5,1520,2.8,2.8,1
2016-07-28,1367.142857142857,1400,1.92,1.92,1
2016-07-29,1295.7142857142858,1350,2.18,2.18,1
2016-07-30,1140.0,1210,1.95,1.95,1
2016-07-31,1025.5,1060,1.88,1.88,1
2016-08-01,972.4285714285714,993,1.58,1.58,1
2016-08-02,982.5714285714286,1020,1.86,1.86,1
2016-08-03,1091.6666666666667,1170,2.12,2.12,1
2016-08-04,1185.0,1230,1.64,1.64,1
2016-08-05,1167.142857142857,1200,1.57,1.57,1
2016-08-06,1007.5,1100,1.92,1.92,1
2016-08-07,847.1666666666666,899,1.84,1.84,1
2016-08-08,762.75,787,1.635,1.67,2
2016-08-09,722.8571428571429,738,1.3,1.3,1
2016-08-10,740.0,768,1.3,1.3,1
2016-08-11,734.0,768,1.14,1.14,1
2016-08-12,571.1666666666666,634,1.04,1.04,1
2016-08-13,482.2857142857143,510,0.926,0.926,1
2016-08-14,442.85714285714283,458,0.671,0.671,1
2016-08-15,423.14285714285717,432,0.665,0.665,1
2016-08-16,445.75,458,0.62,0.62,1
2016-08-17,446.0,458,0.655,0.655,1
2016-08-18,463.2857142857143,474,0.753,0.753,1
2016-08-19,418.42857142857144,458,0.699,0.699,1
2016-08-20,347.875,372,0.47,0.47,1
2016-08-21,344.625,355,0.433,0.433,1
2016-08-22,325.57142857142856,347,0.452,0.452,1
2016-08-23,328.85714285714283,338,0.528,0.528,1
2016-08-24,317.42857142857144,330,0.516,0.516,1
2016-08-25,325.57142857142856,347,0.4,0.4,1
2016-08-26,328.0,338,0.544,0.544,1
2016-08-27,326.57142857142856,338,0.532,0.532,1
2016-08-28,318.2857142857143,338,0.476,0.476,1
2016-08-29,289.0,297,0.455,0.455,1
2016-08-30,291.6666666666667,312,0.384,0.384,1
2016-08-31,307.7142857142857,312,0.462,0.462,1
2016-09-01,288.0,300,0.425,0.425,1
2016-09-02,282.75,288,0.367,0.367,1
2016-09-03,288.0,294,0.333,0.333,1
2016-09-04,281.8333333333333,288,0.286,0.286,1
2016-09-05,275.6666666666667,282,0.248,0.248,1
2016-09-06,281.0,282,0.328,0.328,1
2016-09-07,274.7142857142857,282,0.36,0.36,1
2016-09-08,276.5,298,0.33,0.33,1
2016-09-09,294.7142857142857,298,0.312,0.312,1
2016-09-10,299.7142857142857,310,0.302,0.302,1
2016-09-11,285.57142857142856,298,0.322,0.322,1
2016-09-12,282.0,292,0.358,0.358,1
2016-09-13,297.0,304,0.409,0.409,1
2016-09-14,297.0,304,0.41,0.41,1
2016-09-15,284.3333333333333,286,0.426,0.426,1
2016-09-16,279.3333333333333,281,0.322,0.322,1
2016-09-17,289.0,292,0.38,0.38,1
2016-09-18,294.57142857142856,304,0.35,0.35,1
2016-09-19,285.3333333333333,292,0.397,0.397,1
2016-09-20,281.8333333333333,286,0.343,0.343,1
2016-09-21,277.8333333333333,286,0.422,0.422,1
2016-09-22,272.7142857142857,281,0.329,0.329,1
2016-09-23,270.7142857142857,281,0.371,0.371,1
2016-09-24,260.1666666666667,262,0.338,0.338,1
2016-09-25,256.5,262,0.43,0.43,1
2016-09-26,254.14285714285714,258,0.387,0.387,1
2016-09-27,253.5,262,0.426,0.426,1
2016-09-28,287.5,331,0.441,0.441,1
2016-09-29,326.2857142857143,354,0.614,0.614,1
2016-09-30,366.8333333333333,375,0.673,0.673,1
2016-10-01,362.0,368,0.692,0.692,1
2016-10-02,355.0,368,0.67,0.67,1
2016-10-03,354.0,361,0.557,0.557,1
2016-10-04,350.5,361,0.486,0.486,1
2016-10-05,343.0,361,0.496,0.496,1
2016-10-06,330.2857142857143,338,0.535,0.535,1
2016-10-07,324.7142857142857,331,0.421,0.421,1
2016-10-08,329.2857142857143,347,0.64,0.64,1
2016-10-09,339.0,354,0.975,0.975,1
2016-10-10,336.1666666666667,347,0.703,0.703,1
2016-10-11,322.6666666666667,331,0.457,0.457,1
2016-10-12,316.0,325,0.661,0.661,1
2016-10-13,308.0,344,0.54,0.54,1
2016-10-14,332.0,338,0.724,0.728,2
2016-10-15,336.2857142857143,344,0.668,0.668,1
2016-10-16,354.14285714285717,372,0.649,0.649,1
2016-10-17,366.0,372,0.751,0.751,1
