window,year,domain,pre_date,post_date,lower_distance_m,upper_distance_m,net_section_change_m2,erosion_area_m2,deposition_area_m2,mean_change_m,max_erosion_m,max_erosion_distance_m,max_deposition_m,max_deposition_distance_m
april_to_late_july,2020,full_common,2020-04-17,2020-07-29,1695.0,2065.0,87.1726085094796,14.544328106463151,101.71693661594277,0.22476709817984394,0.9026641771689796,1695.0,0.9430865891068052,1740.0
april_to_late_july,2020,interior_1725_2050,2020-04-17,2020-07-29,1725.0,2050.0,72.19217212647125,10.935048444324842,83.12722057079608,0.2291827286347934,0.15285895015986029,1995.0,0.9430865891068052,1740.0
april_to_late_july,2021,full_common,2021-04-16,2021-07-22,1690.0,2065.0,126.33926763493045,38.87179834482051,165.21106597975094,0.33674213334114367,0.5,1965.0,1.292711203722014,1735.0
april_to_late_july,2021,interior_1725_2050,2021-04-16,2021-07-22,1725.0,2050.0,92.06285406023197,38.87179834482051,130.93465240505247,0.2909266258394494,0.5,1965.0,1.292711203722014,1735.0
april_to_late_july,2022,full_common,2022-04-18,2022-07-23,1705.0,2075.0,43.16489900431518,35.801725716318714,78.96662472063392,0.11576915732074838,1.2450764896648892,1705.0,1.3840558695023617,2070.0
april_to_late_july,2022,interior_1725_2050,2022-04-18,2022-07-23,1725.0,2050.0,30.969528674713764,15.920414703848902,46.88994337856266,0.09520138464410427,0.7640235220466067,1725.0,0.9427948251828653,2050.0
july_first_to_last,2020,full_common,2020-07-10,2020-07-29,1680.0,2075.0,36.716666718705966,17.27241472537374,53.9890814440797,0.0963999036884613,0.489402107886761,2065.0,1.0160916542714986,1680.0
july_first_to_last,2020,interior_1725_2050,2020-07-10,2020-07-29,1725.0,2050.0,35.87778277078657,7.220811342420621,43.09859411320719,0.10730689819925691,0.20547018634730563,2050.0,0.48003760919915095,2025.0
july_first_to_last,2021,full_common,2021-07-07,2021-07-22,1680.0,2075.0,115.10873769957115,1.0571711599755673,116.16590885954673,0.2974431551445321,0.12090163240946339,2060.0,1.4718835491585267,2075.0
july_first_to_last,2021,interior_1725_2050,2021-07-07,2021-07-22,1725.0,2050.0,102.42883837528737,1.0658141036401503e-13,102.42883837528747,0.31178737715333005,7.105427357601002e-15,1965.0,0.8692070983135949,2030.0
july_first_to_last,2022,full_common,2022-07-07,2022-07-23,1675.0,2075.0,-182.7532641541414,185.32135120751286,2.5680870533714995,-0.4551249674594015,0.9454328874044009,2025.0,0.22200352869855067,2065.0
july_first_to_last,2022,interior_1725_2050,2022-07-07,2022-07-23,1725.0,2050.0,-169.90458572410043,169.90458572410043,0.0,-0.5190831326715396,0.9454328874044009,2025.0,0.0,
