date,year,month,vertical_count,velocity_point_count,simple_mean_velocity_mps,median_vertical_velocity_mps,area_weighted_velocity_mps,weighted_area_proxy_m2,main_channel_vertical_count,main_channel_mean_velocity_mps,main_channel_min_distance_m,main_channel_max_distance_m,daily_mean_discharge_m3s,daily_max_discharge_m3s,daily_mean_sediment_kgm3,daily_max_sediment_kgm3
2018-04-04,2018,4,13,24,1.2761538461538462,1.6099999999999999,1.7030237224649962,560.65,2,2.0025000000000004,2008.0,2026.0,1047.142857142857,1090.0,3.02,3.02
2019-04-17,2019,4,14,26,1.2060714285714285,1.425,1.4957130145725606,744.5500000000001,1,1.06,2030.0,2030.0,1125.7142857142858,1150.0,2.705,2.81
2020-04-17,2020,4,14,26,1.474285714285714,1.7525,1.7799732993612787,716.2750000000001,1,1.615,2016.0,2016.0,1251.6666666666667,1310.0,7.93,7.93
2020-07-10,2020,7,14,26,1.7785714285714285,2.165,2.1635090473436343,1210.3,1,1.87,2019.0,2019.0,2678.5714285714284,2720.0,16.7,18.2
2020-07-11,2020,7,25,117,1.89128,2.186,2.1095279799247173,1195.5,2,1.58,2019.0,2037.0,2595.0,2650.0,24.3,25.7
2020-07-29,2020,7,14,26,1.9185714285714286,2.3499999999999996,2.335228000388086,1030.6999999999998,1,2.04,2019.0,2019.0,2396.153846153846,2500.0,17.166666666666668,17.5
2021-04-16,2021,4,14,26,1.1650000000000003,1.4275000000000002,1.3920969100500953,563.925,1,1.365,2007.0,2007.0,794.5714285714286,807.0,2.09,2.24
2021-07-07,2021,7,14,26,1.622142857142857,2.035,2.0167856713065104,1246.45,1,1.73,2030.0,2030.0,2627.5,2810.0,11.956,16.0
2021-07-08,2021,7,14,26,1.6307142857142856,1.96,2.0009718772002074,1129.155,1,1.77,2028.0,2028.0,2303.5,2420.0,45.1,46.8
2021-07-09,2021,7,25,117,1.6488,1.86,1.844784610900612,1029.3000000000002,2,1.6560000000000001,2013.0,2028.0,1897.857142857143,2220.0,23.375,29.0
2021-07-22,2021,7,14,26,2.2239285714285715,2.69,2.663278932288833,1378.65,1,2.295,2028.0,2028.0,3713.75,4030.0,14.4,15.6
2022-04-18,2022,4,14,26,1.1560714285714284,1.395,1.5260323497771626,650.7,1,1.6099999999999999,2018.0,2018.0,,,,
2022-07-07,2022,7,14,26,2.2860714285714288,2.735,2.7651582101628898,1458.345,1,2.3449999999999998,2029.0,2029.0,,,,
2022-07-08,2022,7,14,26,2.0914285714285716,2.51,2.52462994705367,1312.6499999999999,1,1.9100000000000001,2029.0,2029.0,,,,
2022-07-09,2022,7,14,26,1.055,1.27,1.293069160158789,1000.0699999999999,1,0.835,2029.0,2029.0,,,,
2022-07-20,2022,7,14,26,1.7771428571428571,2.0725,2.1385745072183595,1171.6650000000002,1,1.8599999999999999,2021.0,2021.0,,,,
2022-07-22,2022,7,14,26,1.8278571428571428,2.2275,2.2066376038116373,1135.47,1,1.98,2021.0,2021.0,,,,
2022-07-23,2022,7,14,26,1.9107142857142858,2.26,2.3021957296286955,1168.985,1,2.08,2021.0,2021.0,,,,
2023-02-26,2023,2,11,21,0.5440909090909091,0.515,0.6874034104459814,419.3,1,0.94,2020.0,2020.0,,,,
