日期,起点距离(m),水位(m),水深(m),测点水深(m),测点水流速(m/s),测点含沙量(kg/m3),垂线距离(m),垂线总水深(m),断面水位(m)
2023-02-26,2065.0,,3.5,0.7,0.3,,2065.0,3.5,42.1
2023-02-26,,,,2.8,0.16,,2065.0,3.5,42.1
2023-02-26,2043.0,,3.8,0.76,0.64,,2043.0,3.8,42.1
2023-02-26,,,,3.04,0.39,,2043.0,3.8,42.1
2023-02-26,2020.0,,2.9,0.58,1.04,,2020.0,2.9,42.1
2023-02-26,,,,2.32,0.84,,2020.0,2.9,42.1
2023-02-26,2000.0,,2.7,0.54,1.19,,2000.0,2.7,42.1
2023-02-26,,,,2.16,0.89,,2000.0,2.7,42.1
2023-02-26,1980.0,,2.6,0.52,1.14,,1980.0,2.6,42.1
2023-02-26,,,,2.08,0.83,,1980.0,2.6,42.1
2023-02-26,1958.0,,2.1,0.42,1.03,,1958.0,2.1,42.1
2023-02-26,,,,1.68,0.63,,1958.0,2.1,42.1
2023-02-26,1935.0,,1.3,0.26,0.63,,1935.0,1.3,42.1
2023-02-26,,,,1.4,0.43,,1935.0,1.3,42.1
2023-02-26,1912.0,,0.65,0.13,0.43,,1912.0,0.65,42.1
2023-02-26,,,,0.52,0.29,,1912.0,0.65,42.1
2023-02-26,1889.0,,0.6,0.12,0.29,,1889.0,0.6,42.1
2023-02-26,,,,0.48,0.15,,1889.0,0.6,42.1
2023-02-26,1865.0,,0.5,0.1,0.24,,1865.0,0.5,42.1
2023-02-26,,,,0.4,0.15,,1865.0,0.5,42.1
2023-02-26,1838.0,,0.4,0.24,0.14,,1838.0,0.4,42.1
2022-07-23,2076.0,44.3,0.0,,0.0,,2076.0,0.0,44.3
2022-07-23,2054.0,,2.0,0.4,1.54,,2054.0,2.0,44.3
2022-07-23,,,,1.6,1.57,,2054.0,2.0,44.3
2022-07-23,2021.0,,3.7,0.74,2.33,,2021.0,3.7,44.3
2022-07-23,,,,2.96,1.83,,2021.0,3.7,44.3
2022-07-23,1991.0,,3.6,0.72,2.69,,1991.0,3.6,44.3
2022-07-23,,,,2.88,2.16,,1991.0,3.6,44.3
