日期,垂线距离(m),垂线平均流速_mps,垂线流速中位数_mps,流速测点数,总水深_m,最浅测点_m,最深测点_m
2018-04-04,1962.0,0.0,0.0,1,0.0,,
2018-04-04,1972.0,0.9850000000000001,0.9850000000000001,2,3.3,0.66,2.64
2018-04-04,1990.0,1.6099999999999999,1.6099999999999999,2,2.2,0.44,1.76
2018-04-04,2008.0,1.9900000000000002,1.9900000000000002,2,3.3,0.66,2.64
2018-04-04,2026.0,2.015,2.015,2,3.45,0.69,2.76
2018-04-04,2044.0,2.06,2.06,2,3.6,0.72,2.88
2018-04-04,2062.0,2.06,2.06,2,3.65,0.73,2.92
2018-04-04,2080.0,1.835,1.835,2,3.5,0.7,2.8
2018-04-04,2099.0,1.825,1.825,2,3.3,0.66,2.64
2018-04-04,2120.0,1.49,1.49,2,2.8,0.56,2.24
2018-04-04,2142.0,0.465,0.465,2,1.8,0.36,1.44
2018-04-04,2164.0,0.255,0.255,2,0.8,0.16,0.64
2018-04-04,2179.0,0.0,0.0,1,0.0,,
2019-04-17,1692.0,0.0,0.0,1,0.0,,
2019-04-17,1703.0,0.61,0.61,2,2.05,0.41,1.64
2019-04-17,1737.0,1.375,1.375,2,2.65,0.53,2.12
2019-04-17,1769.0,1.6150000000000002,1.6150000000000002,2,2.25,0.45,1.8
2019-04-17,1800.0,1.78,1.78,2,2.0,0.4,1.6
2019-04-17,1835.0,1.835,1.835,2,2.0,0.4,1.6
2019-04-17,1869.0,1.825,1.825,2,2.1,0.42,1.68
2019-04-17,1901.0,1.7149999999999999,1.7149999999999999,2,2.1,0.42,1.68
2019-04-17,1932.0,1.62,1.62,2,2.15,0.43,1.72
2019-04-17,1963.0,1.475,1.475,2,2.2,0.44,1.76
2019-04-17,1997.0,1.2999999999999998,1.2999999999999998,2,2.1,0.42,1.68
2019-04-17,2030.0,1.06,1.06,2,1.75,0.35,1.4
2019-04-17,2056.0,0.675,0.675,2,1.6,0.32,1.28
2019-04-17,2072.0,0.0,0.0,1,0.0,,
2020-04-17,1693.0,0.0,0.0,1,0.0,,
2020-04-17,1710.0,0.9650000000000001,0.9650000000000001,2,2.05,0.41,1.64
2020-04-17,1741.0,1.605,1.605,2,2.5,0.5,2.0
2020-04-17,1771.0,1.705,1.705,2,2.2,0.44,1.76
2020-04-17,1801.0,1.8,1.8,2,2.0,0.4,1.6
2020-04-17,1831.0,1.88,1.88,2,1.9,0.38,1.52
2020-04-17,1861.0,1.92,1.92,2,1.9,0.38,1.52
2020-04-17,1891.0,2.035,2.035,2,1.95,0.39,1.56
2020-04-17,1921.0,1.985,1.985,2,2.1,0.42,1.68
2020-04-17,1952.0,2.06,2.06,2,2.2,0.44,1.76
2020-04-17,1984.0,1.96,1.96,2,2.35,0.47,1.88
2020-04-17,2016.0,1.615,1.615,2,2.2,0.44,1.76
2020-04-17,2049.0,1.1099999999999999,1.1099999999999999,2,1.8,0.36,1.44
2020-04-17,2066.0,0.0,0.0,1,0.0,,
2020-07-10,1672.0,0.0,0.0,1,0.0,,
2020-07-10,1692.0,1.19,1.19,2,2.8,0.56,2.24
2020-07-10,1729.0,2.105,2.105,2,2.9,0.58,2.32
