date,year,month,vertical_count,velocity_point_count,area_weighted_velocity_mps
2018-04-04,2018,4,11,22,1.7030237224649962
2019-04-17,2019,4,12,24,1.4957130145725606
2020-04-17,2020,4,12,24,1.7799732993612787
2020-07-10,2020,7,12,24,2.1635090473436343
2020-07-11,2020,7,23,115,2.1095279799247173
2020-07-29,2020,7,12,24,2.335228000388086
2021-04-16,2021,4,12,24,1.3920969100500953
2021-07-07,2021,7,12,24,2.0167856713065104
2021-07-08,2021,7,12,24,2.0009718772002074
2021-07-09,2021,7,23,115,1.844784610900612
2021-07-22,2021,7,12,24,2.663278932288833
2022-04-18,2022,4,12,24,1.5260323497771626
2022-07-07,2022,7,12,24,2.7651582101628898
2022-07-08,2022,7,12,24,2.52462994705367
2022-07-09,2022,7,12,24,1.293069160158789
2022-07-20,2022,7,12,24,2.1385745072183595
2022-07-22,2022,7,12,24,2.2066376038116373
2022-07-23,2022,7,12,24,2.3021957296286955
2023-02-26,2023,2,11,21,0.6874034104459814
