date,daily_mean_discharge_m3s,daily_max_discharge_m3s,daily_mean_sediment_kgm3,sediment_observations,sediment_interpolated_kgm3,year
2016-06-01,345.5,359,0.543,1,0.543,2016
2016-06-02,345.0,353,0.518,1,0.518,2016
2016-06-03,348.7142857142857,359,0.589,1,0.589,2016
2016-06-04,354.7142857142857,359,0.522,1,0.522,2016
2016-06-05,350.42857142857144,359,0.625,1,0.625,2016
2016-06-06,320.85714285714283,341,0.518,1,0.518,2016
2016-06-07,300.0,317,0.495,1,0.495,2016
2016-06-08,280.7142857142857,285,0.564,1,0.564,2016
2016-06-09,285.0,290,0.498,1,0.498,2016
2016-06-10,291.0,301,0.479,1,0.479,2016
2016-06-11,300.0,306,0.408,1,0.408,2016
2016-06-12,296.0,301,0.517,1,0.517,2016
2016-06-13,296.3333333333333,306,0.429,1,0.429,2016
2016-06-14,303.2857142857143,335,0.419,1,0.419,2016
2016-06-15,286.42857142857144,295,0.402,1,0.402,2016
2016-06-16,278.3333333333333,285,0.419,1,0.419,2016
2016-06-17,187.42857142857142,196,0.393,1,0.393,2016
2016-06-18,203.5,216,0.424,1,0.424,2016
2016-06-19,280.0,345,0.429,1,0.429,2016
2016-06-20,430.0,480,1.04,1,1.04,2016
2016-06-21,609.4285714285714,708,1.62,1,1.62,2016
2016-06-22,744.8571428571429,760,1.7999999999999998,2,1.7999999999999998,2016
2016-06-23,768.7142857142857,791,1.48,1,1.48,2016
2016-06-24,756.8571428571429,781,1.69,1,1.69,2016
2016-06-25,740.5714285714286,770,1.28,1,1.28,2016
2016-06-26,696.2857142857143,718,1.17,1,1.17,2016
2016-06-27,737.3333333333334,749,1.61,1,1.61,2016
2016-06-28,737.75,749,1.335,2,1.335,2016
2016-06-29,743.5714285714286,760,1.53,1,1.53,2016
2016-06-30,742.0,760,1.3,1,1.3,2016
2016-07-01,752.5714285714286,802,1.52,1,1.52,2016
2016-07-02,677.5,718,1.27,1,1.27,2016
2016-07-03,577.7142857142857,637,1.27,1,1.27,2016
2016-07-04,528.1666666666666,553,0.942,1,0.942,2016
2016-07-05,621.375,698,0.936,1,0.936,2016
2016-07-06,773.8333333333334,823,1.46,1,1.46,2016
2016-07-07,796.8571428571429,860,1.81,1,1.81,2016
2016-07-08,942.6666666666666,1010,2.63,1,2.63,2016
2016-07-09,984.5714285714286,1020,2.65,1,2.65,2016
2016-07-10,821.7142857142857,916,1.75,1,1.75,2016
2016-07-11,729.4285714285714,750,1.55,1,1.55,2016
2016-07-12,699.0,705,1.57,1,1.57,2016
2016-07-13,697.2857142857143,705,1.61,1,1.61,2016
2016-07-14,699.8571428571429,705,1.27,1,1.27,2016
2016-07-15,739.875,759,1.54,1,1.54,2016
2016-07-16,773.1428571428571,795,1.38,1,1.38,2016
2016-07-17,796.2857142857143,804,1.78,1,1.78,2016
2016-07-18,831.8333333333334,841,1.42,1,1.42,2016
2016-07-19,874.2857142857143,906,1.47,1,1.47,2016
2016-07-20,1007.6666666666666,1050,3.11,1,3.11,2016
2016-07-21,946.5,1050,1.82,1,1.82,2016
2016-07-22,922.3333333333334,974,1.75,1,1.75,2016
2016-07-23,1089.0,1210,2.21,1,2.21,2016
2016-07-24,1307.142857142857,1400,2.76,1,2.76,2016
2016-07-25,1390.0,1430,3.23,1,3.23,2016
2016-07-26,1480.0,1520,2.91,1,2.91,2016
2016-07-27,1477.5,1520,2.8,1,2.8,2016
2016-07-28,1367.142857142857,1400,1.92,1,1.92,2016
2016-07-29,1295.7142857142858,1350,2.18,1,2.18,2016
2016-07-30,1140.0,1210,1.95,1,1.95,2016
2016-07-31,1025.5,1060,1.88,1,1.88,2016
2017-06-01,579.6666666666666,590,0.978,1,0.978,2017
2017-06-02,573.2857142857143,579,0.955,1,0.955,2017
2017-06-03,567.1666666666666,573,1.12,1,1.12,2017
2017-06-04,573.5,590,0.948,1,0.948,2017
2017-06-05,576.5,601,0.934,1,0.934,2017
2017-06-06,564.5,573,0.931,1,0.931,2017
2017-06-07,591.1666666666666,607,1.11,1,1.11,2017
2017-06-08,603.0,618,1.44,1,1.44,2017
2017-06-09,612.5,618,1.04,1,1.04,2017
2017-06-10,614.0,627,1.01,1,1.01,2017
2017-06-11,604.5,618,1.06,1,1.06,2017
2017-06-12,595.3333333333334,607,1.12,1,1.12,2017
2017-06-13,600.6666666666666,618,1.09,1,1.09,2017
2017-06-14,572.6666666666666,581,0.901,1,0.901,2017
2017-06-15,600.1666666666666,618,1.22,1,1.22,2017
2017-06-16,647.8333333333334,665,1.38,1,1.38,2017
2017-06-17,688.6666666666666,726,1.3,1,1.3,2017
2017-06-18,739.5,757,1.49,1,1.49,2017
2017-06-19,749.6666666666666,757,1.36,1,1.36,2017
2017-06-20,773.5,779,1.45,1,1.45,2017
2017-06-21,755.1666666666666,768,1.49,1,1.49,2017
2017-06-22,757.0,768,1.3,1,1.3,2017
2017-06-23,760.6666666666666,768,1.31,1,1.31,2017
2017-06-24,779.0,790,1.35,1,1.35,2017
2017-06-25,775.3333333333334,779,1.39,1,1.39,2017
2017-06-26,771.6666666666666,801,1.35,1,1.35,2017
2017-06-27,790.0,801,1.52,1,1.52,2017
2017-06-28,780.8333333333334,801,1.28,1,1.28,2017
2017-06-29,768.0,779,1.36,1,1.36,2017
2017-06-30,808.3333333333334,823,1.44,1,1.44,2017
2017-07-01,762.6666666666666,790,1.29,1,1.29,2017
2017-07-02,687.1666666666666,726,1.07,1,1.07,2017
2017-07-03,641.5,646,1.2,1,1.2,2017
2017-07-04,620.3333333333334,627,1.23,1,1.23,2017
2017-07-05,604.3333333333334,618,1.14,1,1.14,2017
2017-07-06,627.1666666666666,637,1.03,1,1.03,2017
2017-07-07,635.1666666666666,646,1.24,1,1.24,2017
2017-07-08,543.8333333333334,590,0.915,1,0.915,2017
