date,daily_mean_discharge_m3s,daily_max_discharge_m3s,discharge_observations,daily_mean_sediment_kgm3,sediment_observations,sediment_interpolated_kgm3,year
2016-06-01,345.5,359,8,0.543,1,0.543,2016
2016-06-02,345.0,353,6,0.518,1,0.518,2016
2016-06-03,348.7142857142857,359,7,0.589,1,0.589,2016
2016-06-04,354.7142857142857,359,7,0.522,1,0.522,2016
2016-06-05,350.42857142857144,359,7,0.625,1,0.625,2016
2016-06-06,320.85714285714283,341,7,0.518,1,0.518,2016
2016-06-07,300.0,317,6,0.495,1,0.495,2016
2016-06-08,280.7142857142857,285,7,0.564,1,0.564,2016
2016-06-09,285.0,290,7,0.498,1,0.498,2016
2016-06-10,291.0,301,6,0.479,1,0.479,2016
2016-06-11,300.0,306,8,0.408,1,0.408,2016
2016-06-12,296.0,301,7,0.517,1,0.517,2016
2016-06-13,296.3333333333333,306,6,0.429,1,0.429,2016
2016-06-14,303.2857142857143,335,7,0.419,1,0.419,2016
2016-06-15,286.42857142857144,295,7,0.402,1,0.402,2016
2016-06-16,278.3333333333333,285,6,0.419,1,0.419,2016
2016-06-17,187.42857142857142,196,7,0.393,1,0.393,2016
2016-06-18,203.5,216,6,0.424,1,0.424,2016
2016-06-19,280.0,345,7,0.429,1,0.429,2016
2016-06-20,430.0,480,7,1.04,1,1.04,2016
2016-06-21,609.4285714285714,708,7,1.62,1,1.62,2016
2016-06-22,744.8571428571429,760,7,1.7999999999999998,2,1.7999999999999998,2016
2016-06-23,768.7142857142857,791,7,1.48,1,1.48,2016
2016-06-24,756.8571428571429,781,7,1.69,1,1.69,2016
2016-06-25,740.5714285714286,770,7,1.28,1,1.28,2016
2016-06-26,696.2857142857143,718,7,1.17,1,1.17,2016
2016-06-27,737.3333333333334,749,6,1.61,1,1.61,2016
2016-06-28,737.75,749,8,1.335,2,1.335,2016
2016-06-29,743.5714285714286,760,7,1.53,1,1.53,2016
2016-06-30,742.0,760,7,1.3,1,1.3,2016
2016-07-01,752.5714285714286,802,7,1.52,1,1.52,2016
2016-07-02,677.5,718,6,1.27,1,1.27,2016
2016-07-03,577.7142857142857,637,7,1.27,1,1.27,2016
2016-07-04,528.1666666666666,553,6,0.942,1,0.942,2016
2016-07-05,621.375,698,8,0.936,1,0.936,2016
2016-07-06,773.8333333333334,823,6,1.46,1,1.46,2016
2016-07-07,796.8571428571429,860,7,1.81,1,1.81,2016
2016-07-08,942.6666666666666,1010,6,2.63,1,2.63,2016
2016-07-09,984.5714285714286,1020,7,2.65,1,2.65,2016
2016-07-10,821.7142857142857,916,7,1.75,1,1.75,2016
2016-07-11,729.4285714285714,750,7,1.55,1,1.55,2016
2016-07-12,699.0,705,6,1.57,1,1.57,2016
2016-07-13,697.2857142857143,705,7,1.61,1,1.61,2016
2016-07-14,699.8571428571429,705,7,1.27,1,1.27,2016
2016-07-15,739.875,759,8,1.54,1,1.54,2016
2016-07-16,773.1428571428571,795,7,1.38,1,1.38,2016
2016-07-17,796.2857142857143,804,7,1.78,1,1.78,2016
2016-07-18,831.8333333333334,841,6,1.42,1,1.42,2016
2016-07-19,874.2857142857143,906,7,1.47,1,1.47,2016
2016-07-20,1007.6666666666666,1050,6,3.11,1,3.11,2016
2016-07-21,946.5,1050,6,1.82,1,1.82,2016
2016-07-22,922.3333333333334,974,6,1.75,1,1.75,2016
2016-07-23,1089.0,1210,7,2.21,1,2.21,2016
2016-07-24,1307.142857142857,1400,7,2.76,1,2.76,2016
2016-07-25,1390.0,1430,7,3.23,1,3.23,2016
