method,distance_m,base_date,target_date,horizon_days,base_bed_elevation_m,central_daily_rate_m,central_bed_elevation_m,central_change_m,scenario_1_bed_elevation_m,scenario_2_bed_elevation_m,sensitivity_lower_bed_elevation_m,sensitivity_upper_bed_elevation_m
pchip,1820.0,2023-02-26,2033-02-26,3653,42.04196616541354,-0.002382311501708856,33.33938224967109,-8.702583915742451,34.97379735599113,31.759447646895048,31.759447646895048,34.97379735599113
pchip,1825.0,2023-02-26,2033-02-26,3653,41.90878399122808,-0.002466290018832371,32.899426552433425,-9.00935743879465,34.21648973835464,31.626265472709584,31.626265472709584,34.21648973835464
pchip,1830.0,2023-02-26,2033-02-26,3653,41.800030075187976,-0.0024818296845574178,32.73390623749973,-9.066123837688247,33.992245562496535,31.517511556669483,31.517511556669483,33.992245562496535
pchip,1835.0,2023-02-26,2033-02-26,3653,41.72498543233083,-0.0024007010198117246,32.9552246069586,-8.76976082537223,34.43095821094566,31.528682123104446,31.528682123104446,34.43095821094566
pchip,1840.0,2023-02-26,2033-02-26,3653,41.69012812011664,-0.0021898218250939643,33.69070899304839,-7.9994191270682515,35.272139658714615,32.16199268290437,32.16199268290437,35.272139658714615
pchip,1845.0,2023-02-26,2033-02-26,3653,41.67297212636734,-0.002013438731739579,34.31788043932266,-7.355091687044681,35.93454300759334,32.75510662332766,32.75510662332766,35.93454300759334
pchip,1850.0,2023-02-26,2033-02-26,3653,41.65968786428882,-0.0018498842083637973,34.90206085113587,-6.757627013152952,36.38779769826064,33.465848565581915,33.465848565581915,36.38779769826064
pchip,1855.0,2023-02-26,2033-02-26,3653,41.642288414447506,-0.0016969702291758574,35.443256167268096,-6.1990322471794075,36.836937201165156,34.09603116783428,34.09603116783428,36.836937201165156
pchip,1860.0,2023-02-26,2033-02-26,3653,41.621377362641574,-0.001653933158295833,35.5795595353869,-6.041817827254678,37.282565102105146,33.93332082089259,33.93332082089259,37.282565102105146
pchip,1865.0,2023-02-26,2033-02-26,3653,41.6,-0.0016702133559910277,35.49871061056478,-6.101289389435224,37.83140201504179,33.243775586237,33.243775586237,37.83140201504179
pchip,1870.0,2023-02-26,2033-02-26,3653,41.579166666666666,-0.0016650638862832005,35.49668829007413,-6.082478376592531,38.38078295728677,32.70873011176859,32.70873011176859,38.38078295728677
pchip,1875.0,2023-02-26,2033-02-26,3653,41.55833333333334,-0.0016219027158716113,35.63352271225434,-5.924810621078996,38.645579372351506,32.72186794082708,32.72186794082708,38.645579372351506
pchip,1880.0,2023-02-26,2033-02-26,3653,41.53515625,-0.0014704090438295424,36.16375201289068,-5.371404237109318,38.86486640362055,33.55267476851847,33.55267476851847,38.86486640362055
pchip,1885.0,2023-02-26,2033-02-26,3653,41.50925925925927,-0.0012454894785077204,36.95948619427057,-4.5497730649887025,39.19867809413317,34.794934024403375,34.794934024403375,39.19867809413317
pchip,1890.0,2023-02-26,2033-02-26,3653,41.5,-0.00104677218849504,37.67614119542762,-3.823858804572381,39.680379131990726,35.738711190083286,35.738711190083286,39.680379131990726
pchip,1895.0,2023-02-26,2033-02-26,3653,41.5,-0.0007613658149150616,38.71873067811528,-2.78126932188472,40.59140534159923,36.90847850341413,36.90847850341413,40.59140534159923
pchip,1900.0,2023-02-26,2033-02-26,3653,41.5,-0.0004971316240004633,39.683978177526306,-1.8160218224736926,41.48963246771669,37.938512363675606,37.938512363675606,41.48963246771669
pchip,1905.0,2023-02-26,2033-02-26,3653,41.48900067552012,-0.00041431261770245945,39.97551668305303,-1.5134839924670844,42.04884741881512,37.971296971816344,37.971296971816344,42.04884741881512
