method,rate_source,start_date,end_date,days,distance_m,natural_increment_m,daily_natural_rate_m_per_day,annualized_rate_m_per_year
pchip,rate_1,2020-07-29,2021-04-16,261,1820.0,-0.5050074074074047,-0.001934894281254424,-0.7067201362281783
pchip,rate_1,2020-07-29,2021-04-16,261,1825.0,-0.549599999999991,-0.002105747126436747,-0.7691241379310219
pchip,rate_1,2020-07-29,2021-04-16,261,1830.0,-0.5578515624999909,-0.0021373623084290838,-0.7806715831537229
pchip,rate_1,2020-07-29,2021-04-16,261,1835.0,-0.521144567418979,-0.0019967224805324865,-0.7293028860144907
pchip,rate_1,2020-07-29,2021-04-16,261,1840.0,-0.45855324074074133,-0.0017569089683553308,-0.6417110006917845
pchip,rate_1,2020-07-29,2021-04-16,261,1845.0,-0.4100000000000037,-0.001570881226053654,-0.5737643678160971
pchip,rate_1,2020-07-29,2021-04-16,261,1850.0,-0.37666666666667226,-0.0014431673052362922,-0.5271168582375557
pchip,rate_1,2020-07-29,2021-04-16,261,1855.0,-0.3433333333333408,-0.0013154533844189303,-0.4804693486590143
pchip,rate_1,2020-07-29,2021-04-16,261,1860.0,-0.3100000000000023,-0.0011877394636015412,-0.4338218390804629
pchip,rate_1,2020-07-29,2021-04-16,261,1865.0,-0.26925925925926464,-0.0010316446714914353,-0.37680821626224675
pchip,rate_1,2020-07-29,2021-04-16,261,1870.0,-0.2285185185185199,-0.0008755498793813022,-0.31979459344402067
pchip,rate_1,2020-07-29,2021-04-16,261,1875.0,-0.2081108086001251,-0.000797359419923851,-0.29123552812718656
pchip,rate_1,2020-07-29,2021-04-16,261,1880.0,-0.19078720227348356,-0.0007309854493236918,-0.26699243536547845
pchip,rate_1,2020-07-29,2021-04-16,261,1885.0,-0.1650866915132525,-0.0006325160594377491,-0.23102649070963785
pchip,rate_1,2020-07-29,2021-04-16,261,1890.0,-0.13000849891881217,-0.0004981168540950658,-0.18193718095822278
pchip,rate_1,2020-07-29,2021-04-16,261,1895.0,-0.06491738457229701,-0.00024872561138811113,-0.09084702955950759
pchip,rate_1,2020-07-29,2021-04-16,261,1900.0,-0.0007407407407455935,-2.8380871292934615e-06,-0.001036611323974437
pchip,rate_1,2020-07-29,2021-04-16,261,1905.0,0.03999999999999915,0.00015325670498083965,0.05597701149425168
pchip,rate_1,2020-07-29,2021-04-16,261,1910.0,0.08074074074073678,0.00030935149709094553,0.11299063431246785
pchip,rate_1,2020-07-29,2021-04-16,261,1915.0,0.12702084008206072,0.00048666988537188015,0.17775617563207924
pchip,rate_1,2020-07-29,2021-04-16,261,1920.0,0.19000000000000483,0.0007279693486590223,0.2658908045977079
pchip,rate_1,2020-07-29,2021-04-16,261,1925.0,0.2344606413994228,0.0008983166337142636,0.3281101504641348
pchip,rate_1,2020-07-29,2021-04-16,261,1930.0,0.2357823814137774,0.0009033807717002965,0.3299598268635333
pchip,rate_1,2020-07-29,2021-04-16,261,1935.0,0.21621960187212608,0.0008284275933797934,0.30258317848196953
pchip,rate_1,2020-07-29,2021-04-16,261,1940.0,0.2045447769506339,0.0007836964634123903,0.2862451332613756
