model,shift,domain,base_date,target_date,lower_distance_m,upper_distance_m,grid_points,mean_change_m,net_section_change_m2,deposition_area_m2,erosion_area_m2,positive_grid_fraction,negative_grid_fraction,minimum_change_m,maximum_change_m,dominant_outcome
raw_interval,1.5,strict_common_1820_2050,2023-02-26,2033-02-26,1820.0,2050.0,47,377.0697451447973,81679.34489796434,81679.34489796434,0.0,1.0,0.0,16.054068341038928,2210.450588691974,net_deposition_dominant
raw_interval,1.5,main_channel_2005_2040,2023-02-26,2033-02-26,2005.0,2040.0,8,67.80939700533709,2392.498973445115,2392.498973445115,0.0,1.0,0.0,16.054068341038928,111.91858659439906,net_deposition_dominant
raw_interval,2.0,strict_common_1820_2050,2023-02-26,2033-02-26,1820.0,2050.0,47,173.78377830596014,39098.543976380504,39098.543976380504,0.0,1.0,0.0,15.753142649823987,589.7829980470929,net_deposition_dominant
raw_interval,2.0,main_channel_2005_2040,2023-02-26,2033-02-26,2005.0,2040.0,8,54.52562784102513,1923.0137542250247,1923.0137542250247,0.0,1.0,0.0,15.753142649823987,86.657656043946,net_deposition_dominant
raw_interval,3.0,strict_common_1820_2050,2023-02-26,2033-02-26,1820.0,2050.0,47,94.31796190549683,21559.425521910336,21559.425521910336,0.0,1.0,0.0,15.294707673544522,200.25966235499848,net_deposition_dominant
raw_interval,3.0,main_channel_2005_2040,2023-02-26,2033-02-26,2005.0,2040.0,8,43.48791203492598,1532.9372251218954,1532.9372251218954,0.0,1.0,0.0,15.294707673544522,66.09518105067886,net_deposition_dominant
annualized,2.5,strict_common_1820_2050,2023-02-26,2033-02-26,1820.0,2050.0,47,-479.22675089684833,-16473.212640464466,87011.90128710415,103485.11392756861,0.9787234042553191,0.02127659574468085,-41394.04557102745,2936.0160429095063,spatially_mixed
annualized,2.5,main_channel_2005_2040,2023-02-26,2033-02-26,2005.0,2040.0,8,88.12298045764618,3099.527903884354,3099.527903884354,0.0,1.0,0.0,44.34355406086759,122.89588707497816,net_deposition_dominant
annualized,3.0,strict_common_1820_2050,2023-02-26,2033-02-26,1820.0,2050.0,47,280.8006528031024,58940.26586033244,58940.26586033244,0.0,1.0,0.0,43.49704352935512,1751.91229147181,net_deposition_dominant
annualized,3.0,main_channel_2005_2040,2023-02-26,2033-02-26,2005.0,2040.0,8,81.28117640633221,2857.063889500614,2857.063889500614,0.0,1.0,0.0,43.49704352935512,111.13800912909507,net_deposition_dominant
annualized,4.0,strict_common_1820_2050,2023-02-26,2033-02-26,1820.0,2050.0,47,155.58906182096723,34956.29165987619,34956.29165987619,0.0,1.0,0.0,42.12916283735723,383.0268149874968,net_deposition_dominant
annualized,4.0,main_channel_2005_2040,2023-02-26,2033-02-26,2005.0,2040.0,8,72.73428628069897,2554.534121915391,2554.534121915391,0.0,1.0,0.0,42.12916283735723,96.7463523576462,net_deposition_dominant
annualized,5.0,strict_common_1820_2050,2023-02-26,2033-02-26,1820.0,2050.0,47,120.71422688101768,27458.92402572906,27458.92402572906,0.0,1.0,0.0,41.13387371371501,233.49070629490325,net_deposition_dominant
annualized,5.0,main_channel_2005_2040,2023-02-26,2033-02-26,2005.0,2040.0,8,67.66565945236111,2375.325997555648,2375.325997555648,0.0,1.0,0.0,41.13387371371501,88.38447863063692,net_deposition_dominant
