model,shift,year,distance_m,annual_change_m,cumulative_change_m,bed_elevation_m
raw_interval,1.5,2023,1820.0,0.0,0.0,42.04196616541354
raw_interval,1.5,2024,1820.0,2.0910295181643423,2.0910295181643423,44.13299568357788
raw_interval,1.5,2025,1820.0,5.243035478995564,7.334064997159906,49.37603116257345
raw_interval,1.5,2026,1820.0,11.161696942618143,18.49576193977805,60.53772810519159
raw_interval,1.5,2027,1820.0,22.275430214788994,40.771192154567046,82.81315831998059
raw_interval,1.5,2028,1820.0,43.144180354344996,83.91537250891204,125.95733867432558
raw_interval,1.5,2029,1820.0,82.3303585468462,166.24573105575826,208.2876972211718
raw_interval,1.5,2030,1820.0,155.9119842343308,322.1577152900891,364.1996814555026
raw_interval,1.5,2031,1820.0,294.0794679888254,616.2371832789145,658.279149444328
raw_interval,1.5,2032,1820.0,553.5226834476468,1169.7598667265613,1211.8018328919748
raw_interval,1.5,2033,1820.0,1040.690721965413,2210.450588691974,2252.492554857388
raw_interval,1.5,2023,1825.0,0.0,0.0,41.90878399122808
raw_interval,1.5,2024,1825.0,2.013921442460803,2.013921442460803,43.92270543368888
raw_interval,1.5,2025,1825.0,4.7670598040126695,6.7809812464734724,48.68976523770155
raw_interval,1.5,2026,1825.0,9.67726711601336,16.45824836248683,58.367032353714905
raw_interval,1.5,2027,1825.0,18.434595183330252,34.89284354581709,76.80162753704516
raw_interval,1.5,2028,1825.0,34.05324221910436,68.94608576492145,110.85486975614953
raw_interval,1.5,2029,1825.0,61.909014362494744,130.8551001274162,172.76388411864428
raw_interval,1.5,2030,1825.0,111.5896326597904,242.4447327872066,284.35351677843465
raw_interval,1.5,2031,1825.0,200.1947455138329,442.6394783010395,484.54826229226757
raw_interval,1.5,2032,1825.0,358.22148296095725,800.8609612619967,842.7697452532249
raw_interval,1.5,2033,1825.0,640.0613107519239,1440.9222720139205,1482.8310560051486
raw_interval,1.5,2023,1830.0,0.0,0.0,41.800030075187976
raw_interval,1.5,2024,1830.0,1.88975932359196,1.88975932359196,43.689789398779936
raw_interval,1.5,2025,1830.0,4.20158015525957,6.0913394788515305,47.89136955403951
raw_interval,1.5,2026,1830.0,8.090066185702693,14.181405664554223,55.981435739742196
raw_interval,1.5,2027,1830.0,14.630505393547594,28.811911058101817,70.61194113328979
raw_interval,1.5,2028,1830.0,25.63153373635476,54.44344479445658,96.24347486964456
raw_interval,1.5,2029,1830.0,44.13527954811717,98.57872434257375,140.37875441776174
raw_interval,1.5,2030,1830.0,75.2586071495938,173.83733149216755,215.63736156735553
raw_interval,1.5,2031,1830.0,127.60808983504393,301.4454213272115,343.24545140239945
raw_interval,1.5,2032,1830.0,215.65999651176583,517.1054178389772,558.9054479141653
raw_interval,1.5,2033,1830.0,363.76343271938015,880.8688505583574,922.6688806335453
raw_interval,1.5,2023,1835.0,0.0,0.0,41.72498543233083
raw_interval,1.5,2024,1835.0,1.7991737066171698,1.7991737066171698,43.524159138948
raw_interval,1.5,2025,1835.0,3.946307484514705,5.745481191131875,47.470466623462706
raw_interval,1.5,2026,1835.0,7.490816444853195,13.23629763598507,54.9612830683159
raw_interval,1.5,2027,1835.0,13.342125710837522,26.57842334682259,68.30340877915341
raw_interval,1.5,2028,1835.0,23.00152296707256,49.57994631389515,91.30493174622598
raw_interval,1.5,2029,1835.0,38.94734827085012,88.52729458474528,130.25228001707612
raw_interval,1.5,2030,1835.0,65.27086907381378,153.79816365855908,195.52314909088992
raw_interval,1.5,2031,1835.0,108.72598878467028,262.52415244322935,304.24913787556017
raw_interval,1.5,2032,1835.0,180.46211569639718,442.98626813962653,484.71125357195734
raw_interval,1.5,2033,1835.0,298.8847995720019,741.8710677116285,783.5960531439594
raw_interval,1.5,2023,1840.0,0.0,0.0,41.69012812011664
raw_interval,1.5,2024,1840.0,1.7460079393453727,1.7460079393453727,43.436136059462015
raw_interval,1.5,2025,1840.0,3.8077424091381165,5.553750348483489,47.24387846860013
raw_interval,1.5,2026,1840.0,7.179008187344378,12.732758535827866,54.42288665594451
raw_interval,1.5,2027,1840.0,12.69156720686113,25.424325742688996,67.11445386280563
raw_interval,1.5,2028,1840.0,21.705483327062225,47.12980906975122,88.81993718986786
raw_interval,1.5,2029,1840.0,36.44467859633006,83.57448766608127,125.26461578619791
raw_interval,1.5,2030,1840.0,60.54562143722697,144.12010910330824,185.81023722342488
raw_interval,1.5,2031,1840.0,99.95451963069266,244.0746287340009,285.76475685411754
raw_interval,1.5,2032,1840.0,164.3943744146116,408.4690031486125,450.15913126872914
raw_interval,1.5,2033,1840.0,269.7638486939275,678.23285184254,719.9229799626567
raw_interval,1.5,2023,1845.0,0.0,0.0,41.67297212636734
raw_interval,1.5,2024,1845.0,1.6999936884312543,1.6999936884312543,43.3729658147986
raw_interval,1.5,2025,1845.0,3.6197738524015524,5.319767540832807,46.99273966720015
raw_interval,1.5,2026,1845.0,6.691292499887622,12.011060040720428,53.68403216708777
raw_interval,1.5,2027,1845.0,11.605514960830082,23.61657500155051,65.28954712791784
raw_interval,1.5,2028,1845.0,19.467939112282643,43.08451411383315,84.75748624020049
raw_interval,1.5,2029,1845.0,32.04728691931882,75.13180103315197,116.80477315951931
raw_interval,1.5,2030,1845.0,52.17339410995557,127.30519514310754,168.97816726947488
raw_interval,1.5,2031,1845.0,84.37380679132181,211.67900193442935,253.3519740607967
raw_interval,1.5,2032,1845.0,135.89229305540456,347.5712949898339,389.2442671162013
raw_interval,1.5,2033,1845.0,218.3183927829536,565.8896877727875,607.5626598991548
raw_interval,1.5,2023,1850.0,0.0,0.0,41.65968786428882
raw_interval,1.5,2024,1850.0,1.6918981795052854,1.6918981795052854,43.35158604379411
raw_interval,1.5,2025,1850.0,3.5985801451223285,5.290478324627614,46.950166188916434
raw_interval,1.5,2026,1850.0,6.644219531546783,11.934697856174397,53.594385720463215
raw_interval,1.5,2027,1850.0,11.50917312077219,23.443870976946585,65.10355884123541
raw_interval,1.5,2028,1850.0,19.280209157019065,42.72408013396565,84.38376799825447
raw_interval,1.5,2029,1850.0,31.693277435901074,74.41735756986672,116.07704543415554
raw_interval,1.5,2030,1850.0,51.52129822714224,125.93865579700896,167.59834366129778
raw_interval,1.5,2031,1850.0,83.19359710321817,209.13225290022712,250.79194076451594
raw_interval,1.5,2032,1850.0,133.7853594710801,342.9176123713072,384.577300235596
raw_interval,1.5,2033,1850.0,214.5981362606912,557.5157486319983,599.1754364962871
raw_interval,1.5,2023,1855.0,0.0,0.0,41.642288414447506
raw_interval,1.5,2024,1855.0,1.6920415621314309,1.6920415621314309,43.334329976578935
raw_interval,1.5,2025,1855.0,3.600150246652319,5.29219180878375,46.934480223231255
raw_interval,1.5,2026,1855.0,6.648870255016039,11.941062063799789,53.5833504782473
raw_interval,1.5,2027,1855.0,11.520025532908939,23.46108759670873,65.10337601115623
raw_interval,1.5,2028,1855.0,19.303014353216888,42.76410194992562,84.40639036437312
raw_interval,1.5,2029,1855.0,31.738445276954778,74.5025472268804,116.1448356413279
raw_interval,1.5,2030,1855.0,51.60741153520753,126.10995876208793,167.75224717653543
raw_interval,1.5,2031,1855.0,83.35346220225767,209.4634209643456,251.1057093787931
raw_interval,1.5,2032,1855.0,134.07636946656075,343.53979043090635,385.1820788453539
raw_interval,1.5,2033,1855.0,215.11994078591954,558.6597312168259,600.3020196312734
raw_interval,1.5,2023,1860.0,0.0,0.0,41.621377362641574
raw_interval,1.5,2024,1860.0,1.6893166182338408,1.6893166182338408,43.31069398087541
raw_interval,1.5,2025,1860.0,3.5706846239648904,5.260001242198731,46.88137860484031
raw_interval,1.5,2026,1860.0,6.561865795548552,11.821867037747284,53.443244400388856
raw_interval,1.5,2027,1860.0,11.317535485891717,23.139402523639,64.76077988628057
raw_interval,1.5,2028,1860.0,18.87856001309376,42.01796253673276,83.63933989937433
raw_interval,1.5,2029,1860.0,30.89980951598443,72.9177720527172,114.53914941535876
raw_interval,1.5,2030,1860.0,50.01235690831875,122.93012896103595,164.55150632367753
raw_interval,1.5,2031,1860.0,80.3993368754497,203.32946583648567,244.95084319912723
raw_interval,1.5,2032,1860.0,128.71150231150074,332.0409681479864,373.662345510628
raw_interval,1.5,2033,1860.0,205.52286466620257,537.563832814189,579.1852101768307
raw_interval,1.5,2023,1865.0,0.0,0.0,41.6
raw_interval,1.5,2024,1865.0,1.6158137943419417,1.6158137943419417,43.21581379434194
raw_interval,1.5,2025,1865.0,3.384452884668473,5.000266679010415,46.60026667901042
raw_interval,1.5,2026,1865.0,6.1570300914226905,11.157296770433106,52.75729677043311
raw_interval,1.5,2027,1865.0,10.503413935055729,21.660710705488835,63.26071070548883
raw_interval,1.5,2028,1865.0,17.31694917951131,38.97765988500015,80.57765988500014
raw_interval,1.5,2029,1865.0,27.99807265999847,66.97573254499862,108.57573254499863
raw_interval,1.5,2030,1865.0,44.74215553507419,111.71788808007281,153.3178880800728
raw_interval,1.5,2031,1865.0,70.99073433294959,182.7086224130224,224.3086224130224
raw_interval,1.5,2032,1865.0,112.13887568226534,294.84749809528773,336.44749809528776
raw_interval,1.5,2033,1865.0,176.64406468854867,471.4915627838364,513.0915627838364
raw_interval,1.5,2023,1870.0,0.0,0.0,41.579166666666666
raw_interval,1.5,2024,1870.0,1.5069984238351868,1.5069984238351868,43.08616509050185
raw_interval,1.5,2025,1870.0,3.188461043990559,4.695459467825746,46.27462613449241
raw_interval,1.5,2026,1870.0,5.8101690997832804,10.505628567609026,52.08479523427569
raw_interval,1.5,2027,1870.0,9.89789192360282,20.403520491211847,61.982687157878516
raw_interval,1.5,2028,1870.0,16.27140015898969,36.674920650201535,78.25408731686821
raw_interval,1.5,2029,1870.0,26.20886631736976,62.8837869675713,104.46295363423796
raw_interval,1.5,2030,1870.0,41.70319534336102,104.58698231093231,146.166148977599
raw_interval,1.5,2031,1870.0,65.86169089337858,170.4486732043109,212.02783987097757
raw_interval,1.5,2032,1870.0,103.52920823221848,273.9778814365294,315.55704810319605
raw_interval,1.5,2033,1870.0,162.25976368151197,436.23764511804137,477.816811784708
raw_interval,1.5,2023,1875.0,0.0,0.0,41.55833333333334
raw_interval,1.5,2024,1875.0,1.4822437295384683,1.4822437295384683,43.040577062871805
raw_interval,1.5,2025,1875.0,3.085975826053053,4.568219555591521,46.126552888924856
raw_interval,1.5,2026,1875.0,5.552131275802127,10.120350831393647,51.67868416472699
raw_interval,1.5,2027,1875.0,9.344487066114596,19.464837897508243,61.023171230841584
raw_interval,1.5,2028,1875.0,15.17622100720892,34.64105890471716,76.1993922380505
raw_interval,1.5,2029,1875.0,24.14402957796269,58.78508848267985,100.34342181601319
raw_interval,1.5,2030,1875.0,37.93436901628647,96.71945749896632,138.27779083229967
raw_interval,1.5,2031,1875.0,59.14060466725614,155.86006216622246,197.4183954995558
raw_interval,1.5,2032,1875.0,91.75071064004362,247.61077280626608,289.1691061395994
raw_interval,1.5,2033,1875.0,141.8972349482283,389.5080077544944,431.0663410878277
raw_interval,1.5,2023,1880.0,0.0,0.0,41.53515625
raw_interval,1.5,2024,1880.0,1.529501596804594,1.529501596804594,43.06465784680459
raw_interval,1.5,2025,1880.0,3.081896493292403,4.611398090096997,46.146554340097
raw_interval,1.5,2026,1880.0,5.429778646556471,10.041176736653469,51.57633298665347
raw_interval,1.5,2027,1880.0,8.980776281299892,19.02195301795336,60.557109267953365
raw_interval,1.5,2028,1880.0,14.351396857133796,33.37334987508716,74.90850612508716
raw_interval,1.5,2029,1880.0,22.47406218570557,55.84741206079273,97.38256831079272
raw_interval,1.5,2030,1880.0,34.75899110748797,90.6064031682807,132.1415594182807
raw_interval,1.5,2031,1880.0,53.339035034988086,143.9454382032688,185.4805944532688
raw_interval,1.5,2032,1880.0,81.43997355452069,225.38541175778948,266.9205680077895
raw_interval,1.5,2033,1880.0,123.9405590622753,349.32597082006475,390.86112707006475
raw_interval,1.5,2023,1885.0,0.0,0.0,41.50925925925927
raw_interval,1.5,2024,1885.0,1.5709223500367173,1.5709223500367173,43.080181609295984
raw_interval,1.5,2025,1885.0,3.1898322869803692,4.760754637017087,46.27001389627635
raw_interval,1.5,2026,1885.0,5.662189196916861,10.422943833933948,51.932203093193216
raw_interval,1.5,2027,1885.0,9.437908000428948,19.860851834362897,61.370111093622164
raw_interval,1.5,2028,1885.0,15.204086995823669,35.06493883018656,76.57419808944583
raw_interval,1.5,2029,1885.0,24.010044731872213,59.074983562058776,100.58424282131804
raw_interval,1.5,2030,1885.0,37.45827304927366,96.53325661133243,138.0425158705917
raw_interval,1.5,2031,1885.0,57.99605557082751,154.52931218215994,196.0385714414192
raw_interval,1.5,2032,1885.0,89.36081983177127,243.8901320139312,285.3993912731905
raw_interval,1.5,2033,1885.0,137.2602674041729,381.15039941810414,422.6596586773634
raw_interval,1.5,2023,1890.0,0.0,0.0,41.5
raw_interval,1.5,2024,1890.0,1.5741866874243948,1.5741866874243948,43.074186687424394
raw_interval,1.5,2025,1890.0,3.213789934629162,4.787976622053557,46.287976622053556
raw_interval,1.5,2026,1890.0,5.727867988208407,10.515844610261965,52.015844610261965
raw_interval,1.5,2027,1890.0,9.582817940438762,20.098662550700727,61.59866255070072
raw_interval,1.5,2028,1890.0,15.49378761500559,35.59245016570632,77.09245016570631
raw_interval,1.5,2029,1890.0,24.55734561877,60.14979578447632,101.64979578447631
raw_interval,1.5,2030,1890.0,38.45491035185613,98.60470613633245,140.10470613633245
raw_interval,1.5,2031,1890.0,59.76467693911705,158.3693830754495,199.8693830754495
raw_interval,1.5,2032,1890.0,92.43990894738735,250.80929202283684,292.30929202283687
raw_interval,1.5,2033,1890.0,142.54232477734456,393.35161680018143,434.85161680018143
raw_interval,1.5,2023,1895.0,0.0,0.0,41.5
raw_interval,1.5,2024,1895.0,1.584711823565108,1.584711823565108,43.08471182356511
raw_interval,1.5,2025,1895.0,3.2772961523206128,4.862007975885721,46.36200797588572
raw_interval,1.5,2026,1895.0,5.898603121571496,10.760611097457216,52.260611097457215
raw_interval,1.5,2027,1895.0,9.958223732673002,20.71883483013022,62.21883483013022
raw_interval,1.5,2028,1895.0,16.245362056953276,36.964196887083496,78.46419688708349
raw_interval,1.5,2029,1895.0,25.982259194715247,62.94645608179874,104.44645608179874
raw_interval,1.5,2030,1895.0,41.06180110732464,104.00825718912338,145.50825718912338
raw_interval,1.5,2031,1895.0,64.41550209408568,168.42375928320905,209.92375928320905
raw_interval,1.5,2032,1895.0,100.58340115493152,269.00716043814055,310.50716043814055
raw_interval,1.5,2033,1895.0,156.59666103254466,425.6038214706852,467.1038214706852
raw_interval,1.5,2023,1900.0,0.0,0.0,41.5
raw_interval,1.5,2024,1900.0,1.5940833930457785,1.5940833930457785,43.09408339304578
raw_interval,1.5,2025,1900.0,3.3242166242999094,4.918300017345688,46.418300017345686
raw_interval,1.5,2026,1900.0,6.021796629812828,10.940096647158516,52.44009664715851
raw_interval,1.5,2027,1900.0,10.227795193789465,21.16789184094798,62.66789184094798
raw_interval,1.5,2028,1900.0,16.78568184924375,37.95357369019173,79.45357369019173
raw_interval,1.5,2029,1900.0,27.01057297358232,64.96414666377405,106.46414666377405
raw_interval,1.5,2030,1900.0,42.952964783239906,107.91711144701395,149.41711144701395
raw_interval,1.5,2031,1900.0,67.8099391531336,175.72705060014755,217.22705060014755
raw_interval,1.5,2032,1900.0,106.5663053372379,282.29335593738546,323.79335593738546
raw_interval,1.5,2033,1900.0,166.99425193461826,449.2876078720037,490.7876078720037
raw_interval,1.5,2023,1905.0,0.0,0.0,41.48900067552012
raw_interval,1.5,2024,1905.0,1.6046086300474762,1.6046086300474762,43.0936093055676
raw_interval,1.5,2025,1905.0,3.309708031433054,4.91431666148053,46.403317337000644
raw_interval,1.5,2026,1905.0,5.951274574108831,10.865591235589362,52.35459191110948
raw_interval,1.5,2027,1905.0,10.043630593771855,20.909221829361215,62.39822250488133
raw_interval,1.5,2028,1905.0,16.383572261380905,37.29279409074212,78.78179476626224
raw_interval,1.5,2029,1905.0,26.20550861187349,63.49830270261561,104.98730337813572
raw_interval,1.5,2030,1905.0,41.42180534311913,104.92010804573474,146.40910872125485
