scenario,initial_net_aggradation_rate_m2_per_year,tau_years,effective_linear_years,domain,base_date,target_date,lower_distance_m,upper_distance_m,grid_points,mean_change_m,net_section_change_m2,deposition_area_m2,erosion_area_m2,positive_grid_fraction,negative_grid_fraction,minimum_change_m,minimum_change_distance_m,maximum_change_m,maximum_change_distance_m,dominant_outcome
low,11.801196510427388,5.0,4.323323583816936,strict_common_1820_2050,2023-02-26,2033-02-26,1820.0,2050.0,47,0.19635390232746538,51.02039119078886,112.81044045455414,61.79004926376528,0.5319148936170213,0.46808510638297873,-2.0427200845994546,2050.0,2.81754079706465,2030.0,net_deposition_dominant
low,11.801196510427388,5.0,4.323323583816936,main_channel_2005_2040,2023-02-26,2033-02-26,2005.0,2040.0,8,1.9483597478187291,69.56094598099243,69.56094598099243,0.0,1.0,0.0,0.7082798596488221,2010.0,2.81754079706465,2030.0,net_deposition_dominant
low,11.801196510427388,10.0,6.321205588285577,strict_common_1820_2050,2023-02-26,2033-02-26,1820.0,2050.0,47,0.2870924094879433,74.59778933016986,164.9420805066623,90.34429117649245,0.5319148936170213,0.46808510638297873,-2.9866960831724816,2050.0,4.119574740668268,2030.0,net_deposition_dominant
low,11.801196510427388,10.0,6.321205588285577,main_channel_2005_2040,2023-02-26,2033-02-26,2005.0,2040.0,8,2.8487302158005496,101.70625259404574,101.70625259404574,0.0,1.0,0.0,1.0355881349342546,2010.0,4.119574740668268,2030.0,net_deposition_dominant
low,11.801196510427388,20.0,7.8693868057473315,strict_common_1820_2050,2023-02-26,2033-02-26,1820.0,2050.0,47,0.35740669840598843,92.86818011118876,205.33947423843895,112.47129412725019,0.5319148936170213,0.46808510638297873,-3.718193692869483,2050.0,5.128535475824847,2030.0,net_deposition_dominant
low,11.801196510427388,20.0,7.8693868057473315,main_channel_2005_2040,2023-02-26,2033-02-26,2005.0,2040.0,8,3.54643740980345,126.61601193747319,126.61601193747319,0.0,1.0,0.0,1.289222995743504,2010.0,5.128535475824847,2030.0,net_deposition_dominant
central,88.79404568305267,5.0,4.323323583816936,strict_common_1820_2050,2023-02-26,2033-02-26,1820.0,2050.0,47,1.6435930354286445,383.8853918040601,386.6481382441312,2.7627464400710866,0.9361702127659575,0.06382978723404255,-0.5954809514982756,2050.0,4.26477993016583,2030.0,net_deposition_dominant
central,88.79404568305267,5.0,4.323323583816936,main_channel_2005_2040,2023-02-26,2033-02-26,2005.0,2040.0,8,3.3955988809199082,120.21431563953368,120.21431563953368,0.0,1.0,0.0,2.1555189927500016,2010.0,4.26477993016583,2030.0,net_deposition_dominant
central,88.79404568305267,10.0,6.321205588285577,strict_common_1820_2050,2023-02-26,2033-02-26,1820.0,2050.0,47,2.4031255766532804,561.2854177781973,565.3248767493843,4.039458971186949,0.9361702127659575,0.06382978723404255,-0.8706629160071445,2050.0,6.2356079078336055,2030.0,net_deposition_dominant
central,88.79404568305267,10.0,6.321205588285577,main_channel_2005_2040,2023-02-26,2033-02-26,2005.0,2040.0,8,4.964763382965887,175.76741344483253,175.76741344483253,0.0,1.0,0.0,3.1516213020995916,2010.0,6.2356079078336055,2030.0,net_deposition_dominant
central,88.79404568305267,20.0,7.8693868057473315,strict_common_1820_2050,2023-02-26,2033-02-26,1820.0,2050.0,47,2.991695878475343,698.7546915271406,703.7834893863853,5.028797859244721,0.9361702127659575,0.06382978723404255,-1.0839045128001275,2050.0,7.762824655894203,2030.0,net_deposition_dominant
central,88.79404568305267,20.0,7.8693868057473315,main_channel_2005_2040,2023-02-26,2033-02-26,2005.0,2040.0,8,6.1807265898728065,218.81613323990064,218.81613323990064,0.0,1.0,0.0,3.92351217581286,2010.0,7.762824655894203,2030.0,net_deposition_dominant
high,160.90550136525815,5.0,4.323323583816936,strict_common_1820_2050,2023-02-26,2033-02-26,1820.0,2050.0,47,2.9990763267949436,695.6465488183089,695.6465488183089,0.0,1.0,0.0,0.7600023398680235,2050.0,5.620263221532128,2030.0,net_deposition_dominant
high,160.90550136525815,5.0,4.323323583816936,main_channel_2005_2040,2023-02-26,2033-02-26,2005.0,2040.0,8,4.751082172286208,167.65623083735414,167.65623083735414,0.0,1.0,0.0,3.5110022841163007,2010.0,5.620263221532128,2030.0,net_deposition_dominant
high,160.90550136525815,10.0,6.321205588285577,strict_common_1820_2050,2023-02-26,2033-02-26,1820.0,2050.0,47,4.385000953339216,1017.1167544159624,1017.1167544159624,0.0,1.0,0.0,1.1112124606787903,2050.0,8.21748328451954,2030.0,net_deposition_dominant
high,160.90550136525815,10.0,6.321205588285577,main_channel_2005_2040,2023-02-26,2033-02-26,2005.0,2040.0,8,6.9466387596518215,245.13305162884024,245.13305162884024,0.0,1.0,0.0,5.1334966787855265,2010.0,8.21748328451954,2030.0,net_deposition_dominant
high,160.90550136525815,20.0,7.8693868057473315,strict_common_1820_2050,2023-02-26,2033-02-26,1820.0,2050.0,47,5.458969521470045,1266.2276294159217,1266.2276294159217,0.0,1.0,0.0,1.3833691301945739,2050.0,10.230098298888905,2030.0,net_deposition_dominant
high,160.90550136525815,20.0,7.8693868057473315,main_channel_2005_2040,2023-02-26,2033-02-26,2005.0,2040.0,8,8.648000232867506,305.17071074471517,305.17071074471517,0.0,1.0,0.0,6.390785818807561,2010.0,10.230098298888905,2030.0,net_deposition_dominant
