scenario,tau_years,year,distance_m,cumulative_change_m,bed_elevation_m
low,5.0,2023,1820.0,0.0,42.04196616541354
low,5.0,2024,1820.0,0.019251430104641004,42.06121759551818
low,5.0,2025,1820.0,0.035013167972041855,42.07697933338558
low,5.0,2026,1820.0,0.0479177874860367,42.08988395289958
low,5.0,2027,1820.0,0.05848319633891453,42.10044936175245
low,5.0,2028,1820.0,0.06713342148560797,42.10909958689915
low,5.0,2029,1820.0,0.07421562683425437,42.116181792247794
low,5.0,2030,1820.0,0.08001404615280457,42.121980211566346
low,5.0,2031,1820.0,0.08476139036814309,42.126727555781684
low,5.0,2032,1820.0,0.08864818707268758,42.130614352486226
low,5.0,2033,1820.0,0.09183042706566032,42.1337965924792
low,5.0,2023,1825.0,-0.0,41.90878399122808
low,5.0,2024,1825.0,-0.029401916597393826,41.87938207463068
low,5.0,2025,1825.0,-0.05347416991511407,41.855309821312964
low,5.0,2026,1825.0,-0.07318286400221512,41.835601127225864
low,5.0,2027,1825.0,-0.08931897795433094,41.81946501327375
low,5.0,2028,1825.0,-0.10253011068209884,41.80625388054598
low,5.0,2029,1825.0,-0.11334647132931742,41.79543751989876
low,5.0,2030,1825.0,-0.12220215842757777,41.7865818328005
low,5.0,2031,1825.0,-0.12945258179455943,41.77933140943352
low,5.0,2032,1825.0,-0.1353887263779425,41.77339526485014
low,5.0,2033,1825.0,-0.1402488305030755,41.768535160725
low,5.0,2023,1830.0,-0.0,41.800030075187976
low,5.0,2024,1830.0,-0.07486000875583865,41.725170066432135
low,5.0,2025,1830.0,-0.1361502000999307,41.66387987508804
low,5.0,2026,1830.0,-0.1863303646153728,41.613699710572604
low,5.0,2027,1830.0,-0.22741440849867778,41.5726156666893
low,5.0,2028,1830.0,-0.2610511786867449,41.538978896501234
low,5.0,2029,1830.0,-0.28859063687393205,41.51143943831404
low,5.0,2030,1830.0,-0.31113803821488745,41.48889203697309
low,5.0,2031,1830.0,-0.3295982890947194,41.47043178609326
low,5.0,2032,1830.0,-0.34471226419957257,41.455317810988404
low,5.0,2033,1830.0,-0.35708654041917093,41.44294353476881
low,5.0,2023,1835.0,-0.0,41.72498543233083
low,5.0,2024,1835.0,-0.06691784417806339,41.65806758815277
low,5.0,2025,1835.0,-0.12170554113632422,41.60327989119451
low,5.0,2026,1835.0,-0.16656191352636937,41.55842351880446
low,5.0,2027,1835.0,-0.2032872050736175,41.52169822725722
low,5.0,2028,1835.0,-0.23335533067910433,41.49163010165173
low,5.0,2029,1835.0,-0.2579730297997279,41.467012402531104
low,5.0,2030,1835.0,-0.2781282971398033,41.44685713519103
low,5.0,2031,1835.0,-0.29463003434763124,41.4303553979832
low,5.0,2032,1835.0,-0.30814051407889115,41.41684491825194
low,5.0,2033,1835.0,-0.31920195932371037,41.40578347300712
low,5.0,2023,1840.0,-0.0,41.69012812011664
low,5.0,2024,1840.0,-0.00265941784757184,41.687468702269065
low,5.0,2025,1840.0,-0.004836765024663357,41.68529135509198
low,5.0,2026,1840.0,-0.006619426118675712,41.683508693997965
low,5.0,2027,1840.0,-0.008078945578659269,41.68204917453798
low,5.0,2028,1840.0,-0.009273899045263575,41.68085422107138
low,5.0,2029,1840.0,-0.010252244196869662,41.67987587591977
low,5.0,2030,1840.0,-0.011053245459614308,41.679074874657026
low,5.0,2031,1840.0,-0.011709049826677646,41.67841907028996
low,5.0,2032,1840.0,-0.01224597702999524,41.67788214308664
low,5.0,2033,1840.0,-0.01268557584351551,41.67744254427313
low,5.0,2023,1845.0,0.0,41.67297212636734
low,5.0,2024,1845.0,0.066851740880511,41.73982386724785
low,5.0,2025,1845.0,0.12158531703618586,41.79455744340353
low,5.0,2026,1845.0,0.1663973790607726,41.83936950542812
low,5.0,2027,1845.0,0.20308639234913978,41.87605851871648
low,5.0,2028,1845.0,0.23312481582841268,41.90609694219575
low,5.0,2029,1845.0,0.25771819690487313,41.930690323272216
low,5.0,2030,1845.0,0.2778535543143374,41.95082568068168
low,5.0,2031,1845.0,0.2943389906496824,41.967311117017026
low,5.0,2032,1845.0,0.3078361243553385,41.98080825072268
low,5.0,2033,1845.0,0.31888664279856455,41.99185876916591
low,5.0,2023,1850.0,0.0,41.65968786428882
low,5.0,2024,1850.0,0.07070073673346626,41.730388601022284
low,5.0,2025,1850.0,0.1285856041624252,41.788273468451244
low,5.0,2026,1850.0,0.1759777252643559,41.83566558955317
low,5.0,2027,1850.0,0.21477911226410257,41.874466976552924
low,5.0,2028,1850.0,0.24654700106287533,41.90623486535169
low,5.0,2029,1850.0,0.27255634858279215,41.93224421287161
low,5.0,2030,1850.0,0.29385100126484065,41.95353886555366
low,5.0,2031,1850.0,0.31128558829174824,41.970973452580566
low,5.0,2032,1850.0,0.32555982085789187,41.98524768514671
low,5.0,2033,1850.0,0.3372465740363809,41.9969344383252
low,5.0,2023,1855.0,0.0,41.642288414447506
low,5.0,2024,1855.0,0.0184774777424551,41.660765892189964
low,5.0,2025,1855.0,0.033605557009517,41.67589397145702
low,5.0,2026,1855.0,0.045991380740461996,41.68827979518797
low,5.0,2027,1855.0,0.05613203553118974,41.6984204499787
low,5.0,2028,1855.0,0.06443450146470611,41.70672291591221
low,5.0,2029,1855.0,0.07123198565085824,41.71352040009837
low,5.0,2030,1855.0,0.07679729499762228,41.71908570944513
low,5.0,2031,1855.0,0.08135378491021031,41.72364219935772
low,5.0,2032,1855.0,0.08508432332773573,41.72737273777524
low,5.0,2033,1855.0,0.08813862985570267,41.73042704430321
low,5.0,2023,1860.0,-0.0,41.621377362641574
low,5.0,2024,1860.0,-0.09017110133314798,41.53120626130843
low,5.0,2025,1860.0,-0.1639969550335072,41.45738040760807
low,5.0,2026,1860.0,-0.2244404518302272,41.39693691081135
low,5.0,2027,1860.0,-0.2739274014812724,41.3474499611603
low,5.0,2028,1860.0,-0.3144438890366048,41.30693347360497
low,5.0,2029,1860.0,-0.3476159834048567,41.27376137923672
low,5.0,2030,1860.0,-0.3747749972081496,41.246602365433425
low,5.0,2031,1860.0,-0.3970109170321749,41.2243664456094
low,5.0,2032,1860.0,-0.41521614841508064,41.20616121422649
low,5.0,2033,1860.0,-0.430121331215166,41.191256031426406
low,5.0,2023,1865.0,-0.0,41.6
low,5.0,2024,1865.0,-0.16010878525117564,41.439891214748826
low,5.0,2025,1865.0,-0.2911947715742715,41.30880522842573
low,5.0,2026,1865.0,-0.39851889987454975,41.20148110012545
low,5.0,2027,1865.0,-0.4863884642612747,41.11361153573873
low,5.0,2028,1865.0,-0.5583299788842521,41.04167002111575
low,5.0,2029,1865.0,-0.617230709329093,40.98276929067091
low,5.0,2030,1865.0,-0.6654545487230409,40.93454545127696
low,5.0,2031,1865.0,-0.7049368890663595,40.89506311093364
low,5.0,2032,1865.0,-0.7372622953089258,40.86273770469108
low,5.0,2033,1865.0,-0.7637280995054538,40.836271900494545
low,5.0,2023,1870.0,-0.0,41.579166666666666
low,5.0,2024,1870.0,-0.1358833473220705,41.443283319344594
low,5.0,2025,1870.0,-0.24713522260582615,41.33203144406084
low,5.0,2026,1870.0,-0.33822055423823316,41.24094611242843
low,5.0,2027,1870.0,-0.4127949163999916,41.16637175026668
low,5.0,2028,1870.0,-0.4738512400929981,41.10531542657367
low,5.0,2029,1870.0,-0.5238399299703463,41.05532673669632
low,5.0,2030,1870.0,-0.5647672076790095,41.014399458987654
low,5.0,2031,1870.0,-0.598275628578855,40.98089103808781
low,5.0,2032,1870.0,-0.6257100032566393,40.95345666341002
low,5.0,2033,1870.0,-0.6481713694968052,40.93099529716986
