scenario,tau_years,distance_m,base_bed_elevation_m,initial_change_rate_m_per_year,ten_year_change_m,forecast_2033_bed_elevation_m
low,5.0,1820.0,42.04196616541354,0.021240701808534514,0.09183042706566032,42.1337965924792
low,5.0,1825.0,41.90878399122808,-0.03244004937036286,-0.1402488305030755,41.768535160725
low,5.0,1830.0,41.800030075187976,-0.08259537679664256,-0.35708654041917093,41.44294353476881
low,5.0,1835.0,41.72498543233083,-0.07383253951162644,-0.31920195932371037,41.40578347300712
low,5.0,1840.0,41.69012812011664,-0.002934218454292932,-0.01268557584351551,41.67744254427313
low,5.0,1845.0,41.67297212636734,0.07375960568675011,0.31888664279856455,41.99185876916591
low,5.0,1850.0,41.65968786428882,0.07800632256599117,0.3372465740363809,41.9969344383252
low,5.0,1855.0,41.642288414447506,0.02038677608718051,0.08813862985570267,41.73042704430321
low,5.0,1860.0,41.621377362641574,-0.0994885816146624,-0.430121331215166,41.191256031426406
low,5.0,1865.0,41.6,-0.17665300426834593,-0.7637280995054538,40.836271900494545
low,5.0,1870.0,41.579166666666666,-0.14992432486965354,-0.6481713694968052,40.93099529716986
low,5.0,1875.0,41.55833333333334,-0.06736301610752557,-0.29123211621470546,41.26710121711863
low,5.0,1880.0,41.53515625,0.0013612018006089258,0.005884915846906647,41.541041165846906
low,5.0,1885.0,41.50925925925927,-0.020528771818513432,-0.08875252334977561,41.42050673590949
low,5.0,1890.0,41.5,-0.1573031362729408,-0.6800723588571743,40.819927641142826
low,5.0,1895.0,41.5,-0.3078604406043399,-1.330980303389016,40.16901969661098
low,5.0,1900.0,41.5,-0.3766264734637141,-1.6282781150154786,39.871721884984524
low,5.0,1905.0,41.48900067552012,-0.3518147402025144,-1.521008963451959,39.967991712068155
low,5.0,1910.0,41.46018235253434,-0.2776392775105541,-1.2003244362552739,40.25985791627907
low,5.0,1915.0,41.43925559359996,-0.1910091629086636,-0.8257944187281565,40.6134611748718
low,5.0,1920.0,41.423032546285256,-0.08506861985629971,-0.36777917046749825,41.055253375817756
low,5.0,1925.0,41.383644762335045,-0.025784110564949163,-0.11147305329318814,41.27217170904186
low,5.0,1930.0,41.123250764839916,-0.013627061257972577,-0.058914195314710927,41.0643365695252
low,5.0,1935.0,40.800000000000004,-0.03232037845599361,-0.139731454416686,40.66026854558332
low,5.0,1940.0,40.550389846764496,-0.002848128898160815,-0.012313382835169197,40.53807646392933
low,5.0,1945.0,40.33431950215053,0.01528999074981198,0.06610357760500493,40.400423079755534
low,5.0,1950.0,40.18783526435339,0.05531235992083823,0.23913323012233062,40.426968494475716
low,5.0,1955.0,40.07270266460046,0.05272470655498478,0.2279459672989931,40.300648631899456
low,5.0,1960.0,39.945397244673764,0.049637763414328226,0.21460011321709072,40.15999735789085
low,5.0,1965.0,39.80133779511371,0.04329406611232163,0.18717425706272972,39.98851205217644
low,5.0,1970.0,39.67837178364891,0.0744288714282489,0.321780095162627,40.00015187881154
low,5.0,1975.0,39.57846070072168,0.13800991278054187,0.596661510724635,40.175122211446315
low,5.0,1980.0,39.5,0.16467343633843615,0.7119365509501379,40.211936550950135
low,5.0,1985.0,39.433944954128435,0.1921867841222651,0.830885656293723,40.26483061042216
low,5.0,1990.0,39.4,0.2163944679242928,0.9355433065846126,40.33554330658461
low,5.0,1995.0,39.4,0.23014331118522846,0.9949840049048183,40.39498400490481
low,5.0,2000.0,39.4,0.19716078286496355,0.852389862363907,40.252389862363906
low,5.0,2005.0,39.4,0.17102073375108306,0.7393779715477345,40.13937797154773
low,5.0,2010.0,39.4,0.16382763073762396,0.7082798596488221,40.10827985964882
low,5.0,2015.0,39.33,0.26986732102921634,1.1667237535071073,40.496723753507105
low,5.0,2020.0,39.2,0.476522735379079,2.0601619800893296,41.260161980089336
low,5.0,2025.0,39.06503916449087,0.6388055535959297,2.761763115334517,41.82680227982539
low,5.0,2030.0,38.9,0.6517071281944447,2.81754079706465,41.71754079706465
low,5.0,2035.0,38.63377772443078,0.6298466564926009,2.723030904202706,41.35680862863349
low,5.0,2040.0,38.36192232227427,0.6037021172610619,2.6099996011549664,40.971921923429235
low,5.0,2045.0,38.300000000000004,-0.0945456902850571,-0.4087516125576392,37.89124838744237
low,5.0,2050.0,38.300000000000004,-0.4724883634076718,-2.0427200845994546,36.25727991540055
low,10.0,1820.0,42.04196616541354,0.021240701808534514,0.13426684297121594,42.176233008384756
low,10.0,1825.0,41.90878399122808,-0.03244004937036286,-0.2050602213641977,41.70372376986388
low,10.0,1830.0,41.800030075187976,-0.08259537679664256,-0.5221023573734898,41.277927717814485
low,10.0,1835.0,41.72498543233083,-0.07383253951162644,-0.46671066135820866,41.258274770972626
low,10.0,1840.0,41.69012812011664,-0.002934218454292932,-0.01854779809052715,41.67158032202611
low,10.0,1845.0,41.67297212636734,0.07375960568675011,0.46624963165682537,42.13922175802416
low,10.0,1850.0,41.65968786428882,0.07800632256599117,0.49309400212575066,42.15278186641457
low,10.0,1855.0,41.642288414447506,0.02038677608718051,0.12886900292941222,41.77115741737692
low,10.0,1860.0,41.621377362641574,-0.0994885816146624,-0.6288877780732096,40.99248958456837
low,10.0,1865.0,41.6,-0.17665300426834593,-1.1166599577685041,40.4833400422315
low,10.0,1870.0,41.579166666666666,-0.14992432486965354,-0.9477024801859962,40.63146418648067
low,10.0,1875.0,41.55833333333334,-0.06736301610752557,-0.42581547386266194,41.132517859470674
low,10.0,1880.0,41.53515625,0.0013612018006089258,0.00860443642879353,41.54376068642879
low,10.0,1885.0,41.50925925925927,-0.020528771818513432,-0.12976658713982656,41.37949267211944
low,10.0,1890.0,41.5,-0.1573031362729408,-0.9943454640633609,40.50565453593664
low,10.0,1895.0,41.5,-0.3078604406043399,-1.9460491375602134,39.553950862439784
low,10.0,1900.0,41.5,-0.3766264734637141,-2.380733368755119,39.119266631244884
low,10.0,1905.0,41.48900067552012,-0.3518147402025144,-2.2238933018093725,39.26510737371075
low,10.0,1910.0,41.46018235253434,-0.2776392775105541,-1.7550149525272847,39.705167400007056
low,10.0,1915.0,41.43925559359996,-0.1910091629086636,-1.2074081879919945,40.231847405607965
low,10.0,1920.0,41.423032546285256,-0.08506861985629971,-0.5377362352233831,40.88529631106187
low,10.0,1925.0,41.383644762335045,-0.025784110564949163,-0.16298666379212984,41.22065809854291
low,10.0,1930.0,41.123250764839916,-0.013627061257972577,-0.08613945577580613,41.03711130906411
low,10.0,1935.0,40.800000000000004,-0.03232037845599361,-0.20430375691153155,40.595696243088476
low,10.0,1940.0,40.550389846764496,-0.002848128898160815,-0.018003608307211785,40.532386238457285
low,10.0,1945.0,40.33431950215053,0.01528999074981198,0.09665117497254626,40.43097067712307
