mirror_id,x_m,y_m,z_m
1,-47.2,-346.1347934103785,3.175
2,-35.400000000000006,-346.1347934103785,3.175
3,-23.6,-346.1347934103785,3.175
4,-11.8,-346.1347934103785,3.175
5,0.0,-346.1347934103785,3.175
6,11.8,-346.1347934103785,3.175
7,23.6,-346.1347934103785,3.175
8,35.400000000000006,-346.1347934103785,3.175
9,47.2,-346.1347934103785,3.175
10,-88.5,-335.9156936457221,3.175
11,-76.7,-335.9156936457221,3.175
12,-64.9,-335.9156936457221,3.175
13,-53.1,-335.9156936457221,3.175
14,-41.300000000000004,-335.9156936457221,3.175
15,-29.500000000000007,-335.9156936457221,3.175
16,-17.700000000000003,-335.9156936457221,3.175
17,-5.9,-335.9156936457221,3.175
18,5.9,-335.9156936457221,3.175
19,17.700000000000003,-335.9156936457221,3.175
20,29.5,-335.9156936457221,3.175
21,41.300000000000004,-335.9156936457221,3.175
22,53.1,-335.9156936457221,3.175
23,64.9,-335.9156936457221,3.175
24,76.70000000000002,-335.9156936457221,3.175
25,88.50000000000001,-335.9156936457221,3.175
26,-118.0,-325.6965938810658,3.175
27,-106.2,-325.6965938810658,3.175
28,-94.4,-325.6965938810658,3.175
29,-82.60000000000001,-325.6965938810658,3.175
30,-70.80000000000001,-325.6965938810658,3.175
31,-59.0,-325.6965938810658,3.175
32,-47.2,-325.6965938810658,3.175
33,-35.400000000000006,-325.6965938810658,3.175
34,-23.6,-325.6965938810658,3.175
35,-11.8,-325.6965938810658,3.175
36,0.0,-325.6965938810658,3.175
37,11.8,-325.6965938810658,3.175
38,23.6,-325.6965938810658,3.175
39,35.400000000000006,-325.6965938810658,3.175
40,47.2,-325.6965938810658,3.175
41,59.0,-325.6965938810658,3.175
42,70.80000000000001,-325.6965938810658,3.175
43,82.60000000000001,-325.6965938810658,3.175
44,94.4,-325.6965938810658,3.175
45,106.2,-325.6965938810658,3.175
46,118.0,-325.6965938810658,3.175
47,-147.5,-315.4774941164094,3.175
48,-135.70000000000002,-315.4774941164094,3.175
49,-123.9,-315.4774941164094,3.175
50,-112.1,-315.4774941164094,3.175
51,-100.3,-315.4774941164094,3.175
52,-88.5,-315.4774941164094,3.175
53,-76.7,-315.4774941164094,3.175
54,-64.9,-315.4774941164094,3.175
55,-53.1,-315.4774941164094,3.175
56,-41.300000000000004,-315.4774941164094,3.175
57,-29.500000000000007,-315.4774941164094,3.175
58,-17.700000000000003,-315.4774941164094,3.175
59,-5.9,-315.4774941164094,3.175
60,5.9,-315.4774941164094,3.175
61,17.700000000000003,-315.4774941164094,3.175
62,29.5,-315.4774941164094,3.175
63,41.300000000000004,-315.4774941164094,3.175
64,53.1,-315.4774941164094,3.175
65,64.9,-315.4774941164094,3.175
66,76.70000000000002,-315.4774941164094,3.175
67,88.50000000000001,-315.4774941164094,3.175
68,100.30000000000001,-315.4774941164094,3.175
69,112.10000000000001,-315.4774941164094,3.175
70,123.9,-315.4774941164094,3.175
71,135.70000000000002,-315.4774941164094,3.175
72,147.50000000000003,-315.4774941164094,3.175
73,-165.20000000000002,-305.258394351753,3.175
74,-153.4,-305.258394351753,3.175
75,-141.60000000000002,-305.258394351753,3.175
76,-129.8,-305.258394351753,3.175
77,-118.0,-305.258394351753,3.175
78,-106.2,-305.258394351753,3.175
79,-94.4,-305.258394351753,3.175
80,-82.60000000000001,-305.258394351753,3.175
81,-70.80000000000001,-305.258394351753,3.175
82,-59.0,-305.258394351753,3.175
83,-47.2,-305.258394351753,3.175
84,-35.400000000000006,-305.258394351753,3.175
85,-23.6,-305.258394351753,3.175
86,-11.8,-305.258394351753,3.175
87,0.0,-305.258394351753,3.175
88,11.8,-305.258394351753,3.175
89,23.6,-305.258394351753,3.175
90,35.400000000000006,-305.258394351753,3.175
91,47.2,-305.258394351753,3.175
92,59.0,-305.258394351753,3.175
93,70.80000000000001,-305.258394351753,3.175
94,82.60000000000001,-305.258394351753,3.175
95,94.4,-305.258394351753,3.175
