month,avg_optical_efficiency,avg_cosine_efficiency,avg_shadow_blocking_efficiency,avg_truncation_efficiency,field_power_mw,unit_area_power_kw_m2
1,0.44789125656084317,0.7685905240790045,0.7363344852442333,0.9343713934700558,49.78592873099673,0.3911078167234435
2,0.4832878386525731,0.7809521781730597,0.7854207301560381,0.9207856965773578,58.01368035308856,0.4557433082263994
3,0.4977685650770611,0.7916578979636781,0.798915578358209,0.9119929049652047,63.023768492951056,0.4951015101103319
4,0.5077333469797175,0.7984660967456115,0.8037271031207599,0.9089613258372793,66.51444887570702,0.5225235632522078
5,0.5134423005846754,0.7999945673134581,0.8068714488636364,0.9085843764717143,68.29165376244744,0.5364849121883485
6,0.5151824543597671,0.7997965935824634,0.8082328061397558,0.9085344593193897,68.81457733800819,0.5405928901484633
7,0.5133855546533984,0.7999937208812791,0.8068210969301222,0.9086009806948674,68.27391079220745,0.5363455271345868
8,0.5073464550488098,0.7982773004331206,0.8035445111092265,0.909035268069767,66.38731240616364,0.521524805806149
9,0.49722113149351943,0.7911745532781749,0.7986198270013569,0.9123140629710438,62.81146859306265,0.4934337266130188
10,0.48031784099770736,0.7794627753360119,0.7812767660278155,0.9225821362519268,57.188433280965285,0.4492603402701424
11,0.44348183842735833,0.7674811389201556,0.7303007335481683,0.9354026925113101,48.89857529485507,0.384136954194262
12,0.42356266429301614,0.7628613872037417,0.703601753307327,0.938310886474835,45.03009411774602,0.35374697723129594
