source,tower_y_m,width_m,height_m,mirror_count,total_area_m2,field_power_mw,unit_area_power_kw_m2
screen,-60.0,7.2,7.2,2730.0,141523.2,60.55015071280586,0.4278461108341661
screen,-80.0,7.2,7.2,2730.0,141523.2,60.367744306218086,0.4265572309431816
screen,-80.0,8.0,8.0,2420.0,154880.0,58.12551145016281,0.37529384975569996
screen,-80.0,6.8,6.8,2948.0,136315.52,61.754770860510995,0.4530281721443824
screen,-80.0,6.8,6.2,2948.0,124287.68,59.72602185077008,0.48054659843011055
screen,-60.0,6.8,6.8,2948.0,136315.52,61.85536023957404,0.4537660879669023
screen,-100.0,6.8,6.2,2942.0,124034.71999999999,59.46197462420481,0.4793978220308379
screen,-120.0,7.2,7.2,2730.0,141523.2,59.551876146094095,0.4207923234218425
targeted,-60.0,6.8,6.25,2948.0,125290.0,59.96110270621433,0.47857851948451047
targeted,-60.0,6.8,6.35,2948.0,127294.64,60.3380693510579,0.4740032208037817
targeted,-60.0,6.8,6.45,2948.0,129299.28,60.702031756943235,0.46946921712899886
targeted,-60.0,6.8,6.55,2948.0,131303.91999999998,61.03953461403136,0.46487214253794834
targeted,-80.0,6.8,6.25,2948.0,125290.0,59.8934830005593,0.47803881395609626
targeted,-80.0,6.8,6.35,2948.0,127294.64,60.26615994510971,0.4734383155890124
targeted,-80.0,6.8,6.45,2948.0,129299.28,60.6260737261754,0.4688817580900326
targeted,-80.0,6.8,6.55,2948.0,131303.91999999998,60.95732530818996,0.46424604313557405
targeted,-100.0,6.8,6.25,2942.0,125035.0,59.62580002478958,0.47687287579309456
targeted,-100.0,6.8,6.35,2942.0,127035.56,59.99229102784948,0.47224801486961193
targeted,-100.0,6.8,6.45,2942.0,129036.12,60.34112232383128,0.467629701852716
targeted,-100.0,6.8,6.55,2942.0,131036.68,60.6589408714068,0.46291573375795847
