design_id,tower_y_m,width_m,height_m,center_z_m,clearance_m,rotation_deg,offset_u,offset_v,mirror_count,total_area_m2,proxy_avg_optical_efficiency,proxy_avg_cosine_efficiency,proxy_avg_shadow_blocking_efficiency,proxy_avg_truncation_efficiency,proxy_field_power_mw,proxy_unit_area_power_kw_m2
1,-45.0,6.3,5.9,3.1,0.05,0.0,0,0,3165,117643.05,0.570737294790264,0.7718855622523851,0.9570992302974725,0.8717511564705901,60.284441070716575,0.5124352103308829
2,-45.0,6.3,5.9,3.1,0.05,14.999999999999998,0.25,0.5,3168,117754.56000000001,0.5706508765984467,0.7719621986479634,0.9570964534310465,0.871568043515004,60.33199406503729,0.5123537811617426
3,-45.0,6.3,5.9,3.1,0.05,29.999999999999996,0.5,0.25,3162,117531.54000000001,0.5709369712206486,0.7719918624164737,0.9571016634064002,0.8718979144775681,60.248144119320806,0.5126125644173539
4,-45.0,6.3,5.9,3.1,0.05,45.0,0.75,0.5,3163,117568.71,0.5706402059983602,0.7717011183393417,0.9570996936200316,0.8717956276106863,60.236483091042224,0.512351314316898
5,-45.0,6.3,5.930000000000001,3.1,0.05,0.0,0,0,3165,118241.235,0.5701425799187368,0.7718855622523851,0.9568810907905103,0.8710770794563937,60.52845928670162,0.5119065213307491
6,-45.0,6.3,5.930000000000001,3.1,0.05,14.999999999999998,0.25,0.5,3168,118353.312,0.570055884606717,0.7719621986479634,0.9568782998044247,0.8708940412859857,60.57616718593195,0.5118248586565279
7,-45.0,6.3,5.930000000000001,3.1,0.05,29.999999999999996,0.5,0.25,3162,118129.15800000001,0.5703456246989922,0.7719918624164737,0.9568835362711786,0.8712294286718897,60.49239487833951,0.5120869047279547
8,-45.0,6.3,5.930000000000001,3.1,0.05,45.0,0.75,0.5,3163,118166.517,0.5700497169257515,0.7717011183393417,0.9568815564689471,0.8711287408063083,60.48074640662352,0.5118264288573684
9,-45.0,6.3,5.960000000000001,3.1,0.05,0.0,0,0,3165,118839.42000000001,0.5695083188710985,0.7718855622523851,0.9566629512835486,0.8703403538661301,60.76762599035008,0.5113423306033476
10,-45.0,6.3,5.960000000000001,3.1,0.05,14.999999999999998,0.25,0.5,3168,118952.06400000001,0.5694195054906537,0.7719621986479634,0.956660146177803,0.8701545990665502,60.81528759481265,0.5112587839990119
11,-45.0,6.3,5.960000000000001,3.1,0.05,29.999999999999996,0.5,0.25,3162,118726.77600000001,0.5697120539790038,0.7719918624164737,0.9566654091359569,0.870494366868958,60.731517766581355,0.5115233463981314
12,-45.0,6.3,5.960000000000001,3.1,0.05,45.0,0.75,0.5,3163,118764.32400000001,0.569416118521135,0.7717011183393417,0.9566634193178624,0.870392902512225,60.71978433803281,0.5112628295516826
13,-45.0,6.3,5.990000000000001,3.1,0.05,0.0,0,0,3165,119437.60500000003,0.568827103200946,0.7718855622523851,0.9564448117765865,0.8695274055419713,61.00107815035611,0.5107359457714854
14,-45.0,6.3,5.990000000000001,3.1,0.05,14.999999999999998,0.25,0.5,3168,119550.81600000004,0.5687392675662619,0.7719621986479634,0.9564419925511812,0.8693436309980911,61.04901761314943,0.5106532908411885
15,-45.0,6.3,5.990000000000001,3.1,0.05,29.999999999999996,0.5,0.25,3162,119324.39400000003,0.5690357935256866,0.7719918624164737,0.9564472820007351,0.8696894299534338,60.96538808092919,0.5109214137800622
16,-45.0,6.3,5.990000000000001,3.1,0.05,45.0,0.75,0.5,3163,119362.13100000002,0.5687381673209807,0.7717011183393417,0.9564452821667779,0.8695845701196537,60.95338980267359,0.5106593631666444
17,-45.0,6.3,6.020000000000001,3.1,0.05,0.0,0,0,3165,120035.79000000002,0.5681063051232405,0.7718855622523851,0.9562266722696244,0.8686494057346547,61.229532849055495,0.510093971548448
18,-45.0,6.3,6.020000000000001,3.1,0.05,14.999999999999998,0.25,0.5,3168,120149.56800000003,0.5680122452989749,0.7719621986479634,0.9562238389245592,0.8684559429917468,61.27696887171916,0.5100057361148327
19,-45.0,6.3,6.020000000000001,3.1,0.05,29.999999999999996,0.5,0.25,3162,119922.01200000003,0.5683122902415828,0.7719918624164737,0.9562291548655134,0.8688071492268525,61.19344588165227,0.5102770113767959
20,-45.0,6.3,6.020000000000001,3.1,0.05,45.0,0.75,0.5,3163,119959.93800000002,0.5680133363065554,0.7717011183393417,0.9562271450156933,0.8686993696702034,61.181217925940636,0.5100137508068787
21,-45.0,6.3,6.050000000000002,3.1,0.05,0.0,0,0,3165,120633.97500000003,0.5673356639872345,0.7718855622523851,0.9560085327626625,0.8676898414974843,61.451813850900244,0.5094071869131415
22,-45.0,6.3,6.050000000000002,3.1,0.05,14.999999999999998,0.25,0.5,3168,120748.32000000004,0.5672430405143134,0.7719621986479634,0.9560056852979376,0.8674990813453237,61.49956516717938,0.5093202552812276
23,-45.0,6.3,6.050000000000002,3.1,0.05,29.999999999999996,0.5,0.25,3162,120519.63000000003,0.5675465233612083,0.7719918624164737,0.9560110277302919,0.8678555686920864,61.41615370833233,0.509594608847806
