id,tower_y_m,width_m,height_m,center_z_m,clearance_m,rotation_deg,offset_u,offset_v,mirror_count,total_area_m2,annual_avg_optical_efficiency,annual_avg_cosine_efficiency,annual_avg_shadow_blocking_efficiency,annual_avg_truncation_efficiency,annual_field_power_mw,annual_unit_area_power_kw_m2,annual_total_area_m2
target-1,-55.0,6.3,6.08,3.1,0.05,0.0,0,0,3165,121232.16,0.49728236640169254,0.777203371915121,0.7874243022643497,0.945234487149969,57.83047305900977,0.47702254137029126,121232.16
target-2,-55.0,6.3,6.1,3.1,0.05,0.0,0,0,3165,121630.95,0.49625498054973755,0.777203371915121,0.7861835176408637,0.9449282309975439,57.901895500679224,0.47604573918627796,121630.95
target-3,-55.0,6.3,6.12,3.1,0.05,0.0,0,0,3165,122029.73999999999,0.49529926887476633,0.777203371915121,0.7850200763559768,0.9446420617954977,57.980398051822526,0.47513334087102477,122029.73999999999
target-4,-55.0,6.3,6.14,3.1,0.05,0.0,0,0,3165,122428.52999999998,0.4942984344293173,0.777203371915121,0.7837216956292786,0.9444079167351286,58.05342565190239,0.4741821669499944,122428.52999999998
target-5,-60.0,6.3,6.08,3.1,0.05,0.0,0,0,3168,121347.072,0.49731861824502394,0.7794873289588242,0.7851924189814815,0.9453300292857979,57.88555986446482,0.47702477620939066,121347.072
target-6,-60.0,6.3,6.1,3.1,0.05,0.0,0,0,3168,121746.24,0.49628684687664637,0.7794873289588242,0.7839445891203703,0.9450277716198645,57.956578800058004,0.47604409631096617,121746.24
target-7,-60.0,6.3,6.12,3.1,0.05,0.0,0,0,3168,122145.408,0.4953283606207195,0.7794873289588242,0.7827756734006734,0.9447456468852066,58.03489991941388,0.47512960879719585,122145.408
target-8,-60.0,6.3,6.14,3.1,0.05,0.0,0,0,3168,122544.57599999999,0.4943249749834826,0.7794873289588242,0.7814752341119529,0.9445124978910097,58.10769415470824,0.4741759778475078,122544.57599999999
target-9,-65.0,6.3,6.08,3.1,0.05,0.0,0,0,3159,121002.33600000001,0.4975922757038937,0.7821659745290434,0.7829597314551018,0.9453952196681303,57.748899131637295,0.4772544154158915,121002.33600000001
target-10,-65.0,6.3,6.1,3.1,0.05,0.0,0,0,3159,121400.37,0.4965526827986968,0.7821659745290434,0.7817050490661602,0.9450893296730586,57.81887422550318,0.47626604618670587,121400.37
target-11,-65.0,6.3,6.12,3.1,0.05,0.0,0,0,3159,121798.404,0.49558844014961556,0.7821659745290434,0.7805328031022475,0.9448002635166294,57.89635297217844,0.47534574403929336,121798.404
target-12,-65.0,6.3,6.14,3.1,0.05,0.0,0,0,3159,122196.43799999998,0.49459343880287526,0.7821659745290434,0.7792467948717948,0.9445674709217365,57.97005377112155,0.4744005203418577,122196.43799999998
target-13,-64.12889422638956,6.294697245318493,6.061960965270077,3.1,0.05,1.7849024334579642,0.06820248481342028,0.4098535375042234,3167,120847.04786915676,0.49823351134581445,0.7815613056211698,0.7846871381959791,0.9449417186402109,57.760450444901544,0.4779632722798475,120847.04786915676
target-14,-64.12889422638956,6.294697245318493,6.081960965270078,3.1,0.05,1.7849024334579642,0.06820248481342028,0.4098535375042234,3167,121245.75399267524,0.49725768692964495,0.7815613056211698,0.7835162088201243,0.9446440182862664,57.83861515045862,0.4770362115439754,121245.75399267524
target-15,-64.12889422638956,6.294697245318493,6.101960965270077,3.1,0.05,1.7849024334579642,0.06820248481342028,0.4098535375042234,3167,121644.4601161937,0.49623343577188517,0.7815613056211698,0.7822729186401433,0.9443422025252227,57.90953657491426,0.4760556832559377,121644.4601161937
target-16,-64.12889422638956,6.294697245318493,6.121960965270078,3.1,0.05,1.7849024334579642,0.06820248481342028,0.4098535375042234,3167,122043.16623971218,0.4952315199199521,0.7815613056211698,0.7810855436269866,0.9440078321423048,57.98284140053671,0.4751010907620113,122043.16623971218
