id,tower_y_m,width_m,height_m,center_z_m,clearance_m,rotation_deg,offset_u,offset_v,mirror_count,total_area_m2,annual_avg_optical_efficiency,annual_avg_cosine_efficiency,annual_avg_shadow_blocking_efficiency,annual_avg_truncation_efficiency,annual_field_power_mw,annual_unit_area_power_kw_m2,annual_total_area_m2
target-1,-55.0,6.15,6.15,3.1,0.05,0.0,0,0,3243,122658.36750000002,0.4935097024789424,0.7767307029742233,0.780718406311029,0.9473227527160999,58.0804997354972,0.47351437100691224,122658.36750000002
target-2,-55.0,6.15,6.1000000000000005,3.1,0.05,0.0,0,0,3243,121661.14500000002,0.4960459486565292,0.7767307029742233,0.7839272407236099,0.9480025921361106,57.901137773638816,0.47592136152950726,121661.14500000002
target-3,-55.0,6.15,6.050000000000001,3.1,0.05,0.0,0,0,3243,120663.92250000002,0.49859103410713407,0.7767307029742233,0.7870043812313702,0.9487895270465422,57.71868283913502,0.478342504066491,120663.92250000002
target-4,-55.0,6.15,6.0,3.1,0.05,0.0,0,0,3243,119666.70000000001,0.5011110547292955,0.7767307029742233,0.7900815217391304,0.9495488665595433,57.52854717355407,0.48073981461470944,119666.70000000001
target-5,-55.0,6.2,6.2,3.1,0.05,0.0,0,0,3219,123738.36000000002,0.4910288169675636,0.7770434414001413,0.7778651496323908,0.9459629999500688,58.29625503268011,0.4711251630672986,123738.36000000002
target-6,-55.0,6.2,6.15,3.1,0.05,0.0,0,0,3219,122740.47,0.49356497117424,0.7770434414001413,0.7810704022988507,0.9466354185822579,58.12131041422966,0.47353012754660034,122740.47
target-7,-55.0,6.2,6.1000000000000005,3.1,0.05,0.0,0,0,3219,121742.58000000003,0.4960880026823881,0.7770434414001413,0.7842125530703116,0.9473390595517034,57.940761694748424,0.47592848529042514,121742.58000000003
target-8,-55.0,6.2,6.05,3.1,0.05,0.0,0,0,3219,120744.68999999999,0.4985921344098776,0.7770434414001413,0.7872738039763901,0.94806230298328,57.75387741102563,0.4783140145626747,120744.68999999999
target-9,-55.0,6.25,6.25,3.125,0.05,0.0,0,0,3195,124804.6875,0.4887455786725711,0.7771792686641198,0.7761476264997392,0.9437743025174559,58.52546255480198,0.46893641358464205,124804.6875
target-10,-55.0,6.25,6.2,3.1,0.05,0.0,0,0,3195,123806.25,0.49131111625590634,0.7771983389774627,0.7793541340636412,0.94446496390354,58.35908861466635,0.47137433380517013,123806.25
target-11,-55.0,6.25,6.15,3.1,0.05,0.0,0,0,3195,122807.8125,0.4938020303688151,0.7771983389774627,0.7825231481481479,0.9451201502737105,58.178351404403124,0.47373493770523045,122807.8125
target-12,-55.0,6.25,6.1,3.1,0.05,0.0,0,0,3195,121809.375,0.4963261653422642,0.7771983389774627,0.785636737089202,0.9458385651979158,57.998114591631776,0.47613834806747657,121809.375
target-13,-55.0,6.3,6.3,3.15,0.05,0.0,0,0,3165,125618.84999999999,0.4862162846128841,0.7771652474123205,0.7735419957872565,0.9423281892249112,58.60181487486475,0.4665049463107229,125618.84999999999
target-14,-55.0,6.3,6.25,3.125,0.05,0.0,0,0,3165,124621.875,0.48874445429613683,0.7771843111129,0.7767756055818853,0.9429131583485849,58.436043665242494,0.46890679236885563,124621.875
target-15,-55.0,6.3,6.2,3.1,0.05,0.0,0,0,3165,123624.90000000001,0.4913407267528163,0.777203371915121,0.7800470642443392,0.9435736156579363,58.27347742271027,0.4713733028112482,123624.90000000001
target-16,-55.0,6.3,6.1499999999999995,3.1,0.05,0.0,0,0,3165,122627.92499999999,0.4938146380003226,0.777203371915121,0.7831358609794629,0.9442642099869589,58.09118176873974,0.4737190307080524,122627.92499999999
target-17,-60.0,6.15,6.15,3.1,0.05,0.0,0,0,3243,122658.36750000002,0.4935268131994957,0.7796044373707433,0.7779255319148936,0.9474103175806845,58.07800592344952,0.4734940396418492,122658.36750000002
target-18,-60.0,6.15,6.1000000000000005,3.1,0.05,0.0,0,0,3243,121661.14500000002,0.49606841391843753,0.7796044373707433,0.7811311542810154,0.9480860855205598,57.8993066675061,0.47590631065905303,121661.14500000002
target-19,-60.0,6.15,6.050000000000001,3.1,0.05,0.0,0,0,3243,120663.92250000002,0.4986314769821955,0.7796044373707433,0.7842227489978414,0.9488732298254733,57.7191235991862,0.47834615685716814,120663.92250000002
