candidate_id,margin_m,rotation_deg,phase_1,phase_2,baseline_core_count,replacement_count,mirror_count,mirror_delta,minimum_center_distance_m,maximum_site_radius_m,minimum_tower_distance_m,spacing_constraint_satisfied,site_constraint_satisfied,tower_exclusion_satisfied
m11.35-r0.0-p0.00-0.00,11.35,0.0,0.0,0.0,590,589,3167,-1,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
m11.35-r0.0-p0.00-0.25,11.35,0.0,0.0,0.25,590,364,2942,-226,11.349999999999937,349.99298507216747,100.88100663653194,True,True,True
m11.35-r0.0-p0.00-0.50,11.35,0.0,0.0,0.5,590,364,2942,-226,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
m11.35-r0.0-p0.00-0.75,11.35,0.0,0.0,0.75,590,364,2942,-226,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
m11.35-r0.0-p0.25-0.00,11.35,0.0,0.25,0.0,590,359,2937,-231,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
m11.35-r0.0-p0.25-0.25,11.35,0.0,0.25,0.25,590,418,2996,-172,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
m11.35-r0.0-p0.25-0.50,11.35,0.0,0.25,0.5,590,418,2996,-172,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
m11.35-r0.0-p0.25-0.75,11.35,0.0,0.25,0.75,590,366,2944,-224,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
m11.35-r0.0-p0.50-0.00,11.35,0.0,0.5,0.0,590,359,2937,-231,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
m11.35-r0.0-p0.50-0.25,11.35,0.0,0.5,0.25,590,418,2996,-172,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
m11.35-r0.0-p0.50-0.50,11.35,0.0,0.5,0.5,590,366,2944,-224,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
m11.35-r0.0-p0.50-0.75,11.35,0.0,0.5,0.75,590,416,2994,-174,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
m11.35-r0.0-p0.75-0.00,11.35,0.0,0.75,0.0,590,359,2937,-231,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
m11.35-r0.0-p0.75-0.25,11.35,0.0,0.75,0.25,590,366,2944,-224,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
m11.35-r0.0-p0.75-0.50,11.35,0.0,0.75,0.5,590,416,2994,-174,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
m11.35-r0.0-p0.75-0.75,11.35,0.0,0.75,0.75,590,416,2994,-174,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
m11.35-r5.0-p0.00-0.00,11.35,5.0,0.0,0.0,590,387,2965,-203,11.34999999999992,349.99298507216747,100.88100663653194,True,True,True
m11.35-r5.0-p0.00-0.25,11.35,5.0,0.0,0.25,590,380,2958,-210,11.34999999999993,349.99298507216747,100.88100663653194,True,True,True
m11.35-r5.0-p0.00-0.50,11.35,5.0,0.0,0.5,590,381,2959,-209,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
m11.35-r5.0-p0.00-0.75,11.35,5.0,0.0,0.75,590,382,2960,-208,11.34999999999992,349.99298507216747,100.88100663653194,True,True,True
m11.35-r5.0-p0.25-0.00,11.35,5.0,0.25,0.0,590,377,2955,-213,11.34999999999992,349.99298507216747,100.88100663653194,True,True,True
m11.35-r5.0-p0.25-0.25,11.35,5.0,0.25,0.25,590,376,2954,-214,11.349999999999927,349.99298507216747,100.88100663653194,True,True,True
m11.35-r5.0-p0.25-0.50,11.35,5.0,0.25,0.5,590,378,2956,-212,11.349999999999927,349.99298507216747,100.88100663653194,True,True,True
m11.35-r5.0-p0.25-0.75,11.35,5.0,0.25,0.75,590,380,2958,-210,11.349999999999927,349.99298507216747,100.88100663653194,True,True,True
m11.35-r5.0-p0.50-0.00,11.35,5.0,0.5,0.0,590,389,2967,-201,11.34999999999992,349.99298507216747,100.88100663653194,True,True,True
m11.35-r5.0-p0.50-0.25,11.35,5.0,0.5,0.25,590,384,2962,-206,11.349999999999925,349.99298507216747,100.88100663653194,True,True,True
m11.35-r5.0-p0.50-0.50,11.35,5.0,0.5,0.5,590,386,2964,-204,11.349999999999925,349.99298507216747,100.88100663653194,True,True,True
m11.35-r5.0-p0.50-0.75,11.35,5.0,0.5,0.75,590,382,2960,-208,11.349999999999925,349.99298507216747,100.88100663653194,True,True,True
m11.35-r5.0-p0.75-0.00,11.35,5.0,0.75,0.0,590,381,2959,-209,11.34999999999992,349.99298507216747,100.88100663653194,True,True,True
m11.35-r5.0-p0.75-0.25,11.35,5.0,0.75,0.25,590,383,2961,-207,11.349999999999925,349.99298507216747,100.88100663653194,True,True,True
m11.35-r5.0-p0.75-0.50,11.35,5.0,0.75,0.5,590,385,2963,-205,11.349999999999925,349.99298507216747,100.88100663653194,True,True,True
m11.35-r5.0-p0.75-0.75,11.35,5.0,0.75,0.75,590,381,2959,-209,11.349999999999921,349.99298507216747,100.88100663653194,True,True,True
m11.35-r10.0-p0.00-0.00,11.35,10.0,0.0,0.0,590,378,2956,-212,11.349999999999946,349.99298507216747,100.88100663653194,True,True,True
m11.35-r10.0-p0.00-0.25,11.35,10.0,0.0,0.25,590,378,2956,-212,11.349999999999937,349.99298507216747,100.88100663653194,True,True,True
m11.35-r10.0-p0.00-0.50,11.35,10.0,0.0,0.5,590,384,2962,-206,11.349999999999921,349.99298507216747,100.88100663653194,True,True,True
m11.35-r10.0-p0.00-0.75,11.35,10.0,0.0,0.75,590,386,2964,-204,11.349999999999921,349.99298507216747,100.88100663653194,True,True,True
m11.35-r10.0-p0.25-0.00,11.35,10.0,0.25,0.0,590,383,2961,-207,11.349999999999927,349.99298507216747,100.88100663653194,True,True,True
m11.35-r10.0-p0.25-0.25,11.35,10.0,0.25,0.25,590,384,2962,-206,11.349999999999932,349.99298507216747,100.88100663653194,True,True,True
m11.35-r10.0-p0.25-0.50,11.35,10.0,0.25,0.5,590,382,2960,-208,11.349999999999921,349.99298507216747,100.88100663653194,True,True,True
m11.35-r10.0-p0.25-0.75,11.35,10.0,0.25,0.75,590,381,2959,-209,11.349999999999921,349.99298507216747,100.88100663653194,True,True,True
m11.35-r10.0-p0.50-0.00,11.35,10.0,0.5,0.0,590,383,2961,-207,11.349999999999932,349.99298507216747,100.88100663653194,True,True,True
m11.35-r10.0-p0.50-0.25,11.35,10.0,0.5,0.25,590,392,2970,-198,11.349999999999927,349.99298507216747,100.88100663653194,True,True,True
m11.35-r10.0-p0.50-0.50,11.35,10.0,0.5,0.5,590,380,2958,-210,11.349999999999916,349.99298507216747,100.88100663653194,True,True,True
m11.35-r10.0-p0.50-0.75,11.35,10.0,0.5,0.75,590,382,2960,-208,11.349999999999921,349.99298507216747,100.88100663653194,True,True,True
m11.35-r10.0-p0.75-0.00,11.35,10.0,0.75,0.0,590,383,2961,-207,11.349999999999937,349.99298507216747,100.88100663653194,True,True,True
m11.35-r10.0-p0.75-0.25,11.35,10.0,0.75,0.25,590,382,2960,-208,11.349999999999927,349.99298507216747,100.88100663653194,True,True,True
m11.35-r10.0-p0.75-0.50,11.35,10.0,0.75,0.5,590,383,2961,-207,11.349999999999921,349.99298507216747,100.88100663653194,True,True,True
m11.35-r10.0-p0.75-0.75,11.35,10.0,0.75,0.75,590,385,2963,-205,11.349999999999921,349.99298507216747,100.88100663653194,True,True,True
m11.35-r15.0-p0.00-0.00,11.35,15.0,0.0,0.0,590,377,2955,-213,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
m11.35-r15.0-p0.00-0.25,11.35,15.0,0.0,0.25,590,381,2959,-209,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
m11.35-r15.0-p0.00-0.50,11.35,15.0,0.0,0.5,590,380,2958,-210,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
m11.35-r15.0-p0.00-0.75,11.35,15.0,0.0,0.75,590,386,2964,-204,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
m11.35-r15.0-p0.25-0.00,11.35,15.0,0.25,0.0,590,373,2951,-217,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
m11.35-r15.0-p0.25-0.25,11.35,15.0,0.25,0.25,590,382,2960,-208,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
m11.35-r15.0-p0.25-0.50,11.35,15.0,0.25,0.5,590,386,2964,-204,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
