candidate_id,margin_m,rotation_deg,phase_1,phase_2,baseline_core_count,replacement_count,mirror_count,mirror_delta,minimum_center_distance_m,maximum_site_radius_m,minimum_tower_distance_m,spacing_constraint_satisfied,site_constraint_satisfied,tower_exclusion_satisfied
m22.70-r20.0-p0.50-0.25,22.7,20.0,0.5,0.25,258,110,3020,-148,11.349999999999921,349.99298507216747,100.88100663653194,True,True,True
m22.70-r25.0-p0.75-0.00,22.7,25.0,0.75,0.0,258,107,3017,-151,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
m22.70-r10.0-p0.50-0.25,22.7,10.0,0.5,0.25,258,106,3016,-152,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
m22.70-r20.0-p0.75-0.75,22.7,20.0,0.75,0.75,258,106,3016,-152,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
m22.70-r25.0-p0.25-0.25,22.7,25.0,0.25,0.25,258,106,3016,-152,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
m22.70-r30.0-p0.00-0.75,22.7,30.0,0.0,0.75,258,106,3016,-152,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
m22.70-r5.0-p0.25-0.00,22.7,5.0,0.25,0.0,258,105,3015,-153,11.34999999999992,349.99298507216747,100.88100663653194,True,True,True
m22.70-r15.0-p0.00-0.50,22.7,15.0,0.0,0.5,258,105,3015,-153,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
m22.70-r30.0-p0.75-0.00,22.7,30.0,0.75,0.0,258,105,3015,-153,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
m22.70-r15.0-p0.50-0.50,22.7,15.0,0.5,0.5,258,104,3014,-154,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
m22.70-r5.0-p0.50-0.75,22.7,5.0,0.5,0.75,258,103,3013,-155,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
m22.70-r10.0-p0.00-0.75,22.7,10.0,0.0,0.75,258,103,3013,-155,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
m17.02-r25.0-p0.50-0.50,17.025,25.0,0.5,0.5,427,251,2992,-176,11.349999999999936,349.99298507216747,100.88100663653194,True,True,True
m17.02-r15.0-p0.00-0.00,17.025,15.0,0.0,0.0,427,249,2990,-178,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
m17.02-r10.0-p0.50-0.25,17.025,10.0,0.5,0.25,427,248,2989,-179,11.349999999999927,349.99298507216747,100.88100663653194,True,True,True
m17.02-r20.0-p0.00-0.25,17.025,20.0,0.0,0.25,427,248,2989,-179,11.349999999999921,349.99298507216747,100.88100663653194,True,True,True
