candidate_id,margin_m,rotation_deg,phase_1,phase_2,baseline_core_count,replacement_count,mirror_count,mirror_delta,minimum_center_distance_m,maximum_site_radius_m,minimum_tower_distance_m,spacing_constraint_satisfied,site_constraint_satisfied,tower_exclusion_satisfied
zoned-m22.70-o15.0,22.7,15.0,per-zone,per-zone,258,197,3107,-61,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
zoned-m22.70-o45.0,22.7,45.0,per-zone,per-zone,258,190,3100,-68,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
zoned-m17.02-o15.0,17.025,15.0,per-zone,per-zone,427,352,3093,-75,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
zoned-m11.35-o15.0,11.35,15.0,per-zone,per-zone,590,510,3088,-80,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
zoned-m17.02-o45.0,17.025,45.0,per-zone,per-zone,427,340,3081,-87,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
zoned-m11.35-o45.0,11.35,45.0,per-zone,per-zone,590,498,3076,-92,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
zoned-m22.70-o10.0,22.7,10.0,per-zone,per-zone,258,129,3039,-129,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
zoned-m22.70-o0.0,22.7,0.0,per-zone,per-zone,258,128,3038,-130,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
zoned-m22.70-o50.0,22.7,50.0,per-zone,per-zone,258,128,3038,-130,11.34999999999992,349.99298507216747,100.88100663653194,True,True,True
zoned-m22.70-o55.0,22.7,55.0,per-zone,per-zone,258,128,3038,-130,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
zoned-m22.70-o5.0,22.7,5.0,per-zone,per-zone,258,127,3037,-131,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
zoned-m22.70-o30.0,22.7,30.0,per-zone,per-zone,258,124,3034,-134,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
zoned-m22.70-o35.0,22.7,35.0,per-zone,per-zone,258,123,3033,-135,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
zoned-m22.70-o40.0,22.7,40.0,per-zone,per-zone,258,123,3033,-135,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
zoned-m22.70-o20.0,22.7,20.0,per-zone,per-zone,258,121,3031,-137,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
zoned-m22.70-o25.0,22.7,25.0,per-zone,per-zone,258,121,3031,-137,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
