candidate_id,margin_m,rotation_deg,phase_1,phase_2,baseline_core_count,replacement_count,mirror_count,mirror_delta,minimum_center_distance_m,maximum_site_radius_m,minimum_tower_distance_m,spacing_constraint_satisfied,site_constraint_satisfied,tower_exclusion_satisfied
absolute-m11.35-o0.0,11.35,0.0,per-zone,per-zone,590,589,3167,-1,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
absolute-m11.35-o2.5,11.35,2.5,per-zone,per-zone,590,417,2995,-173,11.349999999999932,349.99298507216747,100.88100663653194,True,True,True
absolute-m11.35-o5.0,11.35,5.0,per-zone,per-zone,590,407,2985,-183,11.34999999999992,349.99298507216747,100.88100663653194,True,True,True
absolute-m11.35-o7.5,11.35,7.5,per-zone,per-zone,590,409,2987,-181,11.349999999999927,349.99298507216747,100.88100663653194,True,True,True
absolute-m11.35-o10.0,11.35,10.0,per-zone,per-zone,590,409,2987,-181,11.349999999999927,349.99298507216747,100.88100663653194,True,True,True
absolute-m11.35-o12.5,11.35,12.5,per-zone,per-zone,590,412,2990,-178,11.3499999999999,349.99298507216747,100.88100663653194,True,True,True
absolute-m11.35-o15.0,11.35,15.0,per-zone,per-zone,590,414,2992,-176,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
absolute-m11.35-o20.0,11.35,20.0,per-zone,per-zone,590,409,2987,-181,11.349999999999918,349.99298507216747,100.88100663653194,True,True,True
absolute-m11.35-o25.0,11.35,25.0,per-zone,per-zone,590,412,2990,-178,11.349999999999904,349.99298507216747,100.88100663653194,True,True,True
absolute-m11.35-o30.0,11.35,30.0,per-zone,per-zone,590,419,2997,-171,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
absolute-m17.02-o0.0,17.025,0.0,per-zone,per-zone,427,427,3168,0,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
absolute-m17.02-o2.5,17.025,2.5,per-zone,per-zone,427,276,3017,-151,11.349999999999946,349.99298507216747,100.88100663653194,True,True,True
absolute-m17.02-o5.0,17.025,5.0,per-zone,per-zone,427,264,3005,-163,11.349999999999936,349.99298507216747,100.88100663653194,True,True,True
absolute-m17.02-o7.5,17.025,7.5,per-zone,per-zone,427,268,3009,-159,11.349999999999927,349.99298507216747,100.88100663653194,True,True,True
absolute-m17.02-o10.0,17.025,10.0,per-zone,per-zone,427,268,3009,-159,11.349999999999921,349.99298507216747,100.88100663653194,True,True,True
absolute-m17.02-o12.5,17.025,12.5,per-zone,per-zone,427,265,3006,-162,11.3499999999999,349.99298507216747,100.88100663653194,True,True,True
absolute-m17.02-o15.0,17.025,15.0,per-zone,per-zone,427,272,3013,-155,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
absolute-m17.02-o20.0,17.025,20.0,per-zone,per-zone,427,272,3013,-155,11.349999999999927,349.99298507216747,100.88100663653194,True,True,True
absolute-m17.02-o25.0,17.025,25.0,per-zone,per-zone,427,272,3013,-155,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
absolute-m17.02-o30.0,17.025,30.0,per-zone,per-zone,427,265,3006,-162,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
absolute-m22.70-o0.0,22.7,0.0,per-zone,per-zone,258,257,3167,-1,11.349999999999909,349.99298507216747,100.88100663653194,True,True,True
absolute-m22.70-o2.5,22.7,2.5,per-zone,per-zone,258,128,3038,-130,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
absolute-m22.70-o5.0,22.7,5.0,per-zone,per-zone,258,121,3031,-137,11.34999999999992,349.99298507216747,100.88100663653194,True,True,True
absolute-m22.70-o7.5,22.7,7.5,per-zone,per-zone,258,124,3034,-134,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
absolute-m22.70-o10.0,22.7,10.0,per-zone,per-zone,258,125,3035,-133,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
absolute-m22.70-o12.5,22.7,12.5,per-zone,per-zone,258,122,3032,-136,11.3499999999999,349.99298507216747,100.88100663653194,True,True,True
absolute-m22.70-o15.0,22.7,15.0,per-zone,per-zone,258,126,3036,-132,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
absolute-m22.70-o20.0,22.7,20.0,per-zone,per-zone,258,125,3035,-133,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
absolute-m22.70-o25.0,22.7,25.0,per-zone,per-zone,258,129,3039,-129,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
absolute-m22.70-o30.0,22.7,30.0,per-zone,per-zone,258,130,3040,-128,11.349999999999934,349.99298507216747,100.88100663653194,True,True,True
