mirror_id,x_m,y_m,z_m
1,-51.075,-345.05226165564795,3.15
2,-39.72500000000001,-345.05226165564795,3.15
3,-28.375000000000004,-345.05226165564795,3.15
4,-17.025000000000002,-345.05226165564795,3.15
5,-5.675000000000001,-345.05226165564795,3.15
6,5.675000000000001,-345.05226165564795,3.15
7,17.025000000000002,-345.05226165564795,3.15
8,28.375000000000004,-345.05226165564795,3.15
9,39.72500000000001,-345.05226165564795,3.15
10,51.075,-345.05226165564795,3.15
11,-90.80000000000001,-335.22287332269457,3.15
12,-79.45000000000002,-335.22287332269457,3.15
13,-68.10000000000001,-335.22287332269457,3.15
14,-56.75000000000001,-335.22287332269457,3.15
15,-45.400000000000006,-335.22287332269457,3.15
16,-34.050000000000004,-335.22287332269457,3.15
17,-22.700000000000003,-335.22287332269457,3.15
18,-11.350000000000001,-335.22287332269457,3.15
19,0.0,-335.22287332269457,3.15
20,11.350000000000001,-335.22287332269457,3.15
21,22.700000000000003,-335.22287332269457,3.15
22,34.050000000000004,-335.22287332269457,3.15
23,45.400000000000006,-335.22287332269457,3.15
24,56.75000000000001,-335.22287332269457,3.15
25,68.10000000000001,-335.22287332269457,3.15
26,79.45000000000002,-335.22287332269457,3.15
27,90.80000000000001,-335.22287332269457,3.15
28,-119.17500000000003,-325.39348498974124,3.15
29,-107.82500000000002,-325.39348498974124,3.15
30,-96.47500000000001,-325.39348498974124,3.15
31,-85.12500000000001,-325.39348498974124,3.15
32,-73.77500000000002,-325.39348498974124,3.15
33,-62.42500000000001,-325.39348498974124,3.15
34,-51.075,-325.39348498974124,3.15
35,-39.72500000000001,-325.39348498974124,3.15
36,-28.375000000000004,-325.39348498974124,3.15
37,-17.025000000000002,-325.39348498974124,3.15
38,-5.675000000000001,-325.39348498974124,3.15
39,5.675000000000001,-325.39348498974124,3.15
40,17.025000000000002,-325.39348498974124,3.15
41,28.375000000000004,-325.39348498974124,3.15
42,39.72500000000001,-325.39348498974124,3.15
43,51.075,-325.39348498974124,3.15
44,62.42500000000001,-325.39348498974124,3.15
45,73.775,-325.39348498974124,3.15
46,85.12500000000001,-325.39348498974124,3.15
